Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0299,328,213,541,1231,43.95%,196,82,41,319
"Justice, Supreme Court, Place 4",0300,3017,922,3939,5040,78.15%,3059,266,152,3477
"Justice, Supreme Court, Place 4",0301,450,655,1105,2397,46.10%,482,105,58,645
"Justice, Supreme Court, Place 4",0302,713,635,1348,2724,49.49%,773,113,67,953
"Justice, Supreme Court, Place 4",0303,1775,755,2530,3172,79.76%,2051,146,88,2285
"Justice, Supreme Court, Place 4",0304,970,648,1618,2266,71.40%,969,142,166,1277
"Justice, Supreme Court, Place 4",0305,1321,858,2179,3621,60.18%,909,375,172,1456
"Justice, Supreme Court, Place 4",0306,1014,323,1337,1847,72.39%,1000,93,72,1165
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0307,1242,876,2118,2931,72.26%,1462,194,133,1789
"Justice, Supreme Court, Place 4",0308,444,238,682,1266,53.87%,220,99,56,375
"Justice, Supreme Court, Place 4",0309,1386,612,1998,2529,79.00%,1626,115,61,1802
"Justice, Supreme Court, Place 4",0310,519,348,967,1437,67.29%,674,73,53,800
"Justice, Supreme Court, Place 4",0311,862,699,1561,2997,52.09%,742,193,125,1060
"Justice, Supreme Court, Place 4",0312,1601,718,2319,3669,63.21%,1343,293,185,1821
"Justice, Supreme Court, Place 4",0313,22,1,23,60,38.33%,10,5,0,15
"Justice, Supreme Court, Place 4",0314,2496,1221,3717,5225,71.14%,2364,435,221,3020
"Justice, Supreme Court, Place 4",0315,711,479,1190,1618,73.55%,758,91,102,951
"Justice, Supreme Court, Place 4",0316,682,411,1093,1522,71.81%,637,106,129,872
"Justice, Supreme Court, Place 4",0317,555,336,891,1469,60.65%,300,189,100,589
"Justice, Supreme Court, Place 4",0318,1709,611,2320,3531,65.70%,230,432,257,919
"Justice, Supreme Court, Place 4",0319,965,290,1255,2081,60.31%,117,262,143,522
"Justice, Supreme Court, Place 4",0320,464,300,764,1505,50.76%,369,87,41,497
"Justice, Supreme Court, Place 4",0321,442,305,748,2029,36.87%,309,71,57,437
"Justice, Supreme Court, Place 4",0322,397,237,634,1322,47.96%,167,93,67,327
"Justice, Supreme Court, Place 4",0323,483,332,815,1719,47.41%,362,137,88,587
"Justice, Supreme Court, Place 4",0324,967,718,1685,2339,72.04%,1133,147,128,1408
"Justice, Supreme Court, Place 4",0325,658,397,1055,2251,46.87%,265,140,88,493
"Justice, Supreme Court, Place 4",0326,202,128,330,678,48.67%,160,35,21,216
"Justice, Supreme Court, Place 4",0327,725,244,970,1751,55.40%,38,124,61,223
"Justice, Supreme Court, Place 4",0328,345,270,615,1361,45.19%,269,62,46,377
"Justice, Supreme Court, Place 4",0329,405,307,712,1367,52.08%,272,108,58,438
"Justice, Supreme Court, Place 4",0330,591,376,967,1849,52.30%,469,158,91,718
"Justice, Supreme Court, Place 4",0331,0,1,1,0,0.00%,1,0,0,1
"Justice, Supreme Court, Place 4",0332,24,4,28,128,21.88%,11,4,0,15
"Justice, Supreme Court, Place 4",0333,1019,939,1958,2901,67.49%,1397,171,114,1682
"Justice, Supreme Court, Place 4",0334,255,114,369,755,48.87%,84,67,30,181
"Justice, Supreme Court, Place 4",0335,285,246,531,1227,43.28%,172,87,51,310
"Justice, Supreme Court, Place 4",0336,1825,588,2413,3161,76.34%,304,551,322,1177
"Justice, Supreme Court, Place 4",0337,310,207,517,951,54.36%,107,115,60,282
"Justice, Supreme Court, Place 4",0338,1543,824,2367,4673,50.65%,760,352,201,1313
"Justice, Supreme Court, Place 4",0339,369,373,742,1716,43.24%,194,110,71,375
"Justice, Supreme Court, Place 4",0340,1779,833,2612,3717,70.27%,1941,203,146,2290
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0341,246,316,562,1248,45.03%,180,76,52,308
"Justice, Supreme Court, Place 4",0342,2031,1113,3144,5718,54.98%,581,525,268,1374
"Justice, Supreme Court, Place 4",0343,436,483,919,1904,48.27%,296,119,85,500
"Justice, Supreme Court, Place 4",0344,395,245,640,1207,53.02%,41,69,53,163
"Justice, Supreme Court, Place 4",0345,430,357,787,1708,46.08%,215,187,81,483
"Justice, Supreme Court, Place 4",0346,1,2,3,1,300.00%,3,0,0,3
"Justice, Supreme Court, Place 4",0347,1250,614,1864,3299,56.50%,1189,163,79,1431
"Justice, Supreme Court, Place 4",0348,753,280,1033,1740,59.37%,753,64,34,851
"Justice, Supreme Court, Place 4",0349,407,407,814,1315,61.90%,477,109,58,644
"Justice, Supreme Court, Place 4",0350,1120,780,1900,2906,65.38%,893,311,269,1473
"Justice, Supreme Court, Place 4",0351,2495,793,3288,4537,72.47%,2654,200,90,2944
"Justice, Supreme Court, Place 4",0352,1152,583,1735,3193,54.34%,1210,138,56,1404
"Justice, Supreme Court, Place 4",0353,1544,703,2247,3697,60.78%,484,262,192,938
"Justice, Supreme Court, Place 4",0354,1477,517,1994,3193,62.45%,540,285,160,985
"Justice, Supreme Court, Place 4",0355,703,286,989,1384,71.46%,115,204,104,423
"Justice, Supreme Court, Place 4",0356,1383,618,2001,2836,70.56%,1214,248,131,1593
"Justice, Supreme Court, Place 4",0357,1633,709,2342,3371,69.47%,1723,205,147,2075
"Justice, Supreme Court, Place 4",0358,742,464,1206,2297,52.50%,137,180,99,416
"Justice, Supreme Court, Place 4",0359,707,482,1189,3008,39.53%,139,243,130,512
"Justice, Supreme Court, Place 4",0360,973,515,1488,2190,67.95%,841,179,146,1166
"Justice, Supreme Court, Place 4",0361,136,691,827,1585,52.18%,195,251,175,621
"Justice, Supreme Court, Place 4",0362,2132,1200,3332,4952,67.29%,2443,257,152,2852
"Justice, Supreme Court, Place 4",0363,1348,687,2035,3291,61.84%,980,258,127,1365
"Justice, Supreme Court, Place 4",0364,913,602,1515,2539,59.67%,799,202,113,1114
"Justice, Supreme Court, Place 4",0365,735,245,980,1302,75.27%,120,132,102,354
"Justice, Supreme Court, Place 4",0366,638,466,1104,2089,52.85%,294,169,87,550
"Justice, Supreme Court, Place 4",0367,328,212,540,1019,52.99%,109,92,56,257
"Justice, Supreme Court, Place 4",0368,418,143,561,929,60.39%,172,83,49,304
"Justice, Supreme Court, Place 4",0369,108,53,161,490,32.86%,62,28,19,109
"Justice, Supreme Court, Place 4",0370,3145,1178,4323,5781,74.78%,3269,336,162,3767
"Justice, Supreme Court, Place 4",0371,226,69,295,475,62.11%,10,29,19,58
"Justice, Supreme Court, Place 4",0372,499,231,730,1215,60.08%,118,155,79,352
"Justice, Supreme Court, Place 4",0373,61,16,77,159,48.43%,6,3,5,14
"Justice, Supreme Court, Place 4",0374,139,187,326,748,43.58%,122,46,13,181
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0375,578,524,1102,2607,42.27%,522,99,76,697
"Justice, Supreme Court, Place 4",0376,530,334,964,1916,50.31%,433,106,61,600
"Justice, Supreme Court, Place 4",0377,1055,707,1762,2871,61.37%,1295,125,75,1495
"Justice, Supreme Court, Place 4",0378,559,521,1080,1777,60.78%,681,135,68,884
"Justice, Supreme Court, Place 4",0379,802,338,1140,2017,56.52%,128,202,106,436
"Justice, Supreme Court, Place 4",0380,2505,1183,3688,4753,77.59%,2207,434,252,2893
"Justice, Supreme Court, Place 4",0381,957,424,1381,2715,50.87%,644,176,100,920
"Justice, Supreme Court, Place 4",0382,275,231,507,841,60.29%,366,43,12,421
"Justice, Supreme Court, Place 4",0383,601,493,1094,2076,52.70%,361,141,65,567
"Justice, Supreme Court, Place 4",0384,1176,505,1681,2596,64.75%,408,279,191,878
"Justice, Supreme Court, Place 4",0385,1099,621,1720,2175,79.08%,1316,126,65,1507
"Justice, Supreme Court, Place 4",0386,1466,460,1926,2872,67.06%,1411,118,74,1603
"Justice, Supreme Court, Place 4",0387,1369,802,2171,3727,58.25%,1510,141,68,1719
"Justice, Supreme Court, Place 4",0388,2780,1222,4002,5329,75.10%,2350,494,226,3070
"Justice, Supreme Court, Place 4",0389,290,251,551,975,56.51%,102,142,67,311
"Justice, Supreme Court, Place 4",0390,651,368,1019,1565,65.11%,159,212,131,502
"Justice, Supreme Court, Place 4",0391,856,355,1211,1805,67.09%,792,105,76,973
"Justice, Supreme Court, Place 4",0392,737,197,934,1441,64.82%,37,146,79,262
"Justice, Supreme Court, Place 4",0393,346,318,664,1206,55.06%,313,123,47,483
"Justice, Supreme Court, Place 4",0394,166,176,342,860,39.77%,142,47,20,209
"Justice, Supreme Court, Place 4",0395,830,491,1321,1820,72.58%,922,123,103,1148
"Justice, Supreme Court, Place 4",0396,1158,219,1377,2073,66.43%,49,132,81,262
"Justice, Supreme Court, Place 4",0397,163,148,311,750,41.47%,137,36,19,192
"Justice, Supreme Court, Place 4",0398,1443,840,2283,3816,59.83%,1185,333,184,1702
"Justice, Supreme Court, Place 4",0399,897,593,1490,2542,58.62%,761,181,85,1027
"Justice, Supreme Court, Place 4",0400,1052,506,1558,2238,69.62%,1141,128,71,1340
"Justice, Supreme Court, Place 4",0401,724,284,1008,1876,53.73%,62,122,66,250
"Justice, Supreme Court, Place 4",0402,892,245,1137,1737,65.46%,88,189,119,396
"Justice, Supreme Court, Place 4",0403,792,527,1319,1703,77.45%,804,115,127,1046
"Justice, Supreme Court, Place 4",0404,778,552,1330,2589,51.37%,729,115,68,912
"Justice, Supreme Court, Place 4",0405,0,1,1,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0406,282,72,354,610,58.03%,15,42,18,75
"Justice, Supreme Court, Place 4",0407,1320,1000,2320,3652,63.53%,1508,252,156,1916
"Justice, Supreme Court, Place 4",0408,154,179,333,933,35.69%,149,35,23,207
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0409,277,289,566,1371,41.28%,212,72,42,326
"Justice, Supreme Court, Place 4",0410,337,102,439,849,51.71%,101,59,30,190
"Justice, Supreme Court, Place 4",0411,542,462,1004,2302,43.61%,350,116,65,531
"Justice, Supreme Court, Place 4",0412,193,74,267,433,61.66%,18,29,22,69
"Justice, Supreme Court, Place 4",0413,1493,525,2018,3023,66.75%,844,204,132,1180
"Justice, Supreme Court, Place 4",0414,1453,593,2046,3457,59.18%,1477,140,79,1696
"Justice, Supreme Court, Place 4",0415,951,633,1584,2124,74.58%,1097,113,109,1319
"Justice, Supreme Court, Place 4",0416,1181,916,2097,3582,58.54%,1129,293,148,1570
"Justice, Supreme Court, Place 4",0417,777,619,1396,2465,56.63%,675,192,91,958
"Justice, Supreme Court, Place 4",0418,1059,758,1817,3420,53.13%,738,257,140,1135
"Justice, Supreme Court, Place 4",0419,1006,578,1584,2697,58.73%,1048,124,77,1249
"Justice, Supreme Court, Place 4",0420,2174,1089,3263,4639,70.34%,2638,173,82,2893
"Justice, Supreme Court, Place 4",0421,124,92,216,467,46.25%,55,39,27,121
"Justice, Supreme Court, Place 4",0422,1456,585,2041,3345,61.02%,94,342,185,621
"Justice, Supreme Court, Place 4",0423,190,309,499,894,55.82%,223,44,29,296
"Justice, Supreme Court, Place 4",0424,435,157,592,888,66.67%,350,89,50,489
"Justice, Supreme Court, Place 4",0425,228,234,462,875,52.80%,162,80,48,290
"Justice, Supreme Court, Place 4",0426,415,283,698,1224,57.03%,416,60,40,516
"Justice, Supreme Court, Place 4",0427,325,249,574,1115,51.48%,219,85,51,355
"Justice, Supreme Court, Place 4",0428,1284,907,2191,4316,50.76%,732,262,165,1159
"Justice, Supreme Court, Place 4",0429,1093,777,1870,3929,47.59%,417,312,178,907
"Justice, Supreme Court, Place 4",0430,406,335,741,1654,44.80%,177,113,73,363
"Justice, Supreme Court, Place 4",0431,824,403,1227,3188,38.49%,381,215,121,717
"Justice, Supreme Court, Place 4",0432,312,271,583,1344,43.38%,179,124,80,383
"Justice, Supreme Court, Place 4",0433,139,106,245,573,42.76%,51,57,29,137
"Justice, Supreme Court, Place 4",0434,633,371,1004,1386,72.44%,646,148,72,866
"Justice, Supreme Court, Place 4",0435,1537,768,2305,3097,74.43%,1549,215,148,1912
"Justice, Supreme Court, Place 4",0436,1342,709,2051,3012,68.09%,1296,258,148,1702
"Justice, Supreme Court, Place 4",0437,952,542,1494,2007,74.44%,1054,127,84,1265
"Justice, Supreme Court, Place 4",0438,1047,387,1434,1802,79.58%,1100,91,62,1253
"Justice, Supreme Court, Place 4",0439,1527,905,2432,3416,71.19%,1777,193,140,2110
"Justice, Supreme Court, Place 4",0440,1326,876,2202,2867,76.81%,1748,125,80,1953
"Justice, Supreme Court, Place 4",0441,699,513,1212,1616,75.00%,904,102,44,1050
"Justice, Supreme Court, Place 4",0442,1366,513,1879,2504,75.04%,1540,101,76,1717
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0443,335,148,483,805,79.83%,338,57,22,417
"Justice, Supreme Court, Place 4",0444,1258,731,1989,3172,82.70%,1239,240,132,1811
"Justice, Supreme Court, Place 4",0445,881,443,1304,1938,87.29%,834,132,79,1045
"Justice, Supreme Court, Place 4",0448,70,52,122,288,45.52%,58,18,12,88
"Justice, Supreme Court, Place 4",0447,271,108,379,583,85.01%,140,75,49,284
"Justice, Supreme Court, Place 4",0448,1240,889,2109,3081,88.45%,1307,243,214,1784
"Justice, Supreme Court, Place 4",0449,82,37,99,184,80.37%,14,12,5,31
"Justice, Supreme Court, Place 4",0450,858,537,1393,2822,53.13%,385,211,134,730
"Justice, Supreme Court, Place 4",0451,1575,515,2090,2874,78.18%,1705,120,87,1892
"Justice, Supreme Court, Place 4",0452,1110,839,1749,2810,82.24%,1294,132,88,1514
"Justice, Supreme Court, Place 4",0453,559,475,1034,1885,54.85%,384,181,92,837
"Justice, Supreme Court, Place 4",0454,1227,311,1538,2571,59.82%,37,154,74,285
"Justice, Supreme Court, Place 4",0455,748,218,984,1879,57.42%,44,121,53,218
"Justice, Supreme Court, Place 4",0458,1271,593,1884,3350,55.84%,1023,181,91,1295
"Justice, Supreme Court, Place 4",0457,0,0,0,0,0.00%,0,0,0,0
"Justice, Supreme Court, Place 4",0458,909,271,1180,1893,82.33%,98,197,129,422
"Justice, Supreme Court, Place 4",0459,1839,478,2115,2950,71.89%,1898,128,82,1904
"Justice, Supreme Court, Place 4",0480,1251,402,1853,2348,70.48%,513,249,145,907
"Justice, Supreme Court, Place 4",0481,1959,828,2787,3733,74.88%,1879,215,190,2284
"Justice, Supreme Court, Place 4",0482,1320,885,2185,3387,84.89%,882,334,228,1442
"Justice, Supreme Court, Place 4",0483,1130,555,1788,2982,80.30%,774,353,158,1285
"Justice, Supreme Court, Place 4",0484,788,812,1400,2128,85.85%,979,125,70,1174
"Justice, Supreme Court, Place 4",0485,1488,702,2188,3343,84.85%,1188,288,159,1815
"Justice, Supreme Court, Place 4",0488,2052,729,2781,4072,88.30%,1818,278,142,2038
"Justice, Supreme Court, Place 4",0487,479,229,708,1230,57.58%,195,82,51,328
"Justice, Supreme Court, Place 4",0488,988,793,1779,3354,53.04%,578,284,127,987
"Justice, Supreme Court, Place 4",0489,2039,538,2877,3779,70.84%,2073,188,138,2377
"Justice, Supreme Court, Place 4",0470,443,323,788,1349,58.78%,538,71,27,834
"Justice, Supreme Court, Place 4",0471,793,597,1390,2349,59.17%,1084,98,44,1204
"Justice, Supreme Court, Place 4",0472,372,337,709,1027,89.04%,350,102,107,559
"Justice, Supreme Court, Place 4",0473,914,442,1358,1827,74.22%,958,105,93,1154
"Justice, Supreme Court, Place 4",0474,1149,788,1915,3008,83.71%,1333,184,100,1817
"Justice, Supreme Court, Place 4",0475,485,473,958,1851,58.03%,451,135,72,858
"Justice, Supreme Court, Place 4",0478,809,858,1487,2412,80.82%,892,150,85,1127
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0477,1442,742,2184,3195,68.36%,1664,166,94,1924
"Justice, Supreme Court, Place 4",0478,1963,898,2861,4150,68.94%,1923,296,172,2391
"Justice, Supreme Court, Place 4",0479,1302,588,1890,2648,71.37%,1397,175,92,1664
"Justice, Supreme Court, Place 4",0480,935,555,1491,2267,65.77%,1054,130,73,1257
"Justice, Supreme Court, Place 4",0481,1466,852,2318,3298,70.29%,1716,176,92,1984
"Justice, Supreme Court, Place 4",0482,1964,836,2800,4129,67.81%,1967,264,150,2381
"Justice, Supreme Court, Place 4",0483,1870,759,2629,4141,63.49%,1433,391,242,2066
"Justice, Supreme Court, Place 4",0484,2239,1008,3247,4594,70.68%,2342,309,171,2822
"Justice, Supreme Court, Place 4",0485,2422,990,3412,4838,70.53%,2550,266,128,2944
"Justice, Supreme Court, Place 4",0486,1844,805,2649,3572,74.16%,2031,207,90,2328
"Justice, Supreme Court, Place 4",0487,1006,612,1618,3318,48.76%,512,235,122,869
"Justice, Supreme Court, Place 4",0488,580,440,1020,1713,59.54%,382,158,94,634
"Justice, Supreme Court, Place 4",0489,784,378,1162,1823,63.74%,388,186,130,704
"Justice, Supreme Court, Place 4",0490,881,439,1320,1944,67.90%,529,171,147,847
"Justice, Supreme Court, Place 4",0491,570,489,1159,1782,65.04%,688,160,99,947
"Justice, Supreme Court, Place 4",0492,1072,504,1576,2351,67.04%,876,206,120,1202
"Justice, Supreme Court, Place 4",0493,859,400,1259,1804,69.79%,824,142,95,1061
"Justice, Supreme Court, Place 4",0494,761,431,1192,2176,54.78%,200,163,86,449
"Justice, Supreme Court, Place 4",0495,1121,494,1615,2284,70.71%,1174,127,78,1379
"Justice, Supreme Court, Place 4",0496,496,571,1067,2086,51.15%,435,154,71,660
"Justice, Supreme Court, Place 4",0497,1124,303,1427,2226,64.11%,85,151,97,333
"Justice, Supreme Court, Place 4",0498,760,499,1259,2123,59.30%,546,171,122,839
"Justice, Supreme Court, Place 4",0499,1302,517,1819,2304,78.95%,1346,133,114,1593
"Justice, Supreme Court, Place 4",0500,1507,746,2253,3175,70.96%,1563,191,134,1888
"Justice, Supreme Court, Place 4",0501,653,487,1140,1647,69.22%,456,219,173,848
"Justice, Supreme Court, Place 4",0502,1152,332,1484,2364,62.77%,1149,83,46,1278
"Justice, Supreme Court, Place 4",0503,359,273,632,1363,46.37%,217,69,42,328
"Justice, Supreme Court, Place 4",0504,1129,538,1667,2197,75.88%,1127,179,129,1435
"Justice, Supreme Court, Place 4",0505,1213,829,2042,3654,55.88%,944,298,233,1475
"Justice, Supreme Court, Place 4",0506,1471,801,2272,3380,67.22%,468,385,248,1101
"Justice, Supreme Court, Place 4",0507,582,385,967,2435,39.71%,185,139,82,406
"Justice, Supreme Court, Place 4",0508,946,760,1706,3248,52.52%,633,233,123,989
"Justice, Supreme Court, Place 4",0509,1341,864,2205,3536,62.36%,1561,190,107,1858
"Justice, Supreme Court, Place 4",0510,1495,582,2177,3511,62.01%,1042,326,211,1579
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0511,0,8,8,0,0.00%,1,2,0,3
"Justice, Supreme Court, Place 4",0512,1588,1127,2895,4582,58.82%,1310,397,177,1884
"Justice, Supreme Court, Place 4",0513,1808,507,2113,2752,78.78%,1808,175,73,1858
"Justice, Supreme Court, Place 4",0514,1989,880,2829,3941,71.78%,2084,258,125,2485
"Justice, Supreme Court, Place 4",0515,1892,708,2400,3173,75.84%,1914,185,75,2154
"Justice, Supreme Court, Place 4",0518,2181,1088,3247,4934,85.81%,1888,424,235,2325
"Justice, Supreme Court, Place 4",0517,1208,853,1881,3320,58.05%,1018,245,123,1384
"Justice, Supreme Court, Place 4",0518,1479,919,2398,3755,83.88%,1527,280,131,1918
"Justice, Supreme Court, Place 4",0519,1235,845,1880,2951,83.71%,1384,153,111,1828
"Justice, Supreme Court, Place 4",0520,1548,857,2403,4084,59.13%,470,389,189,1048
"Justice, Supreme Court, Place 4",0521,1014,894,1708,2725,82.88%,928,217,107,1252
"Justice, Supreme Court, Place 4",0522,1173,858,1831,2882,88.27%,1377,150,88,1813
"Justice, Supreme Court, Place 4",0523,1340,889,2029,3080,88.31%,1358,187,139,1882
"Justice, Supreme Court, Place 4",0524,1242,875,1917,3292,58.23%,852,298,174,1122
"Justice, Supreme Court, Place 4",0525,1383,810,1993,2947,87.83%,472,318,202,992
"Justice, Supreme Court, Place 4",0528,187,171,338,731,48.24%,104,45,32,181
"Justice, Supreme Court, Place 4",0527,80,24,104,589,18.28%,49,7,8,82
"Justice, Supreme Court, Place 4",0528,38,12,48,92,52.17%,3,3,4,10
"Justice, Supreme Court, Place 4",0529,1989,441,2430,3818,87.20%,2000,137,85,2202
"Justice, Supreme Court, Place 4",0530,259,235,494,1198,41.30%,143,84,29,258
"Justice, Supreme Court, Place 4",0531,872,113,785,1094,71.78%,818,41,13,872
"Justice, Supreme Court, Place 4",0532,452,184,838,1039,81.21%,440,52,28,518
"Justice, Supreme Court, Place 4",0533,317,207,524,1089,49.02%,270,84,29,383
"Justice, Supreme Court, Place 4",0534,1880,875,2335,3795,81.53%,1721,154,88,1983
"Justice, Supreme Court, Place 4",0535,80,94,174,421,41.33%,80,17,3,100
"Justice, Supreme Court, Place 4",0538,1335,1195,2530,4578,55.29%,1074,340,204,1818
"Justice, Supreme Court, Place 4",0537,1455,823,2278,2971,78.87%,1709,135,82,1928
"Justice, Supreme Court, Place 4",0538,433,237,870,1282,52.28%,30,91,50,171
"Justice, Supreme Court, Place 4",0539,28,209,235,71,330.99%,55,48,27,130
"Justice, Supreme Court, Place 4",0540,888,380,1048,1491,70.15%,485,154,150,789
"Justice, Supreme Court, Place 4",0541,1838,779,2815,4183,82.51%,447,819,348,1412
"Justice, Supreme Court, Place 4",0542,997,501,1498,2525,59.33%,147,285,148,580
"Justice, Supreme Court, Place 4",0543,287,378,885,1528,43.52%,247,108,84,417
"Justice, Supreme Court, Place 4",0544,93,53,148,318,45.91%,18,20,11,49
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0545,1314,857,2171,3339,65.02%,1132,282,104,1518
"Justice, Supreme Court, Place 4",0546,4,4,8,30,26.67%,2,3,0,5
"Justice, Supreme Court, Place 4",0547,877,647,1524,2408,63.29%,1048,152,85,1285
"Justice, Supreme Court, Place 4",0548,720,476,1196,2129,56.18%,573,189,88,850
"Justice, Supreme Court, Place 4",0549,944,586,1530,2530,60.47%,262,224,120,606
"Justice, Supreme Court, Place 4",0550,1134,629,1763,2847,61.92%,918,237,100,1255
"Justice, Supreme Court, Place 4",0551,3092,1527,4619,6135,75.29%,3431,384,191,4006
"Justice, Supreme Court, Place 4",0552,1521,844,2465,3241,76.06%,2018,143,71,2232
"Justice, Supreme Court, Place 4",0553,1465,951,2416,4355,55.48%,1129,379,188,1696
"Justice, Supreme Court, Place 4",0554,562,340,902,1731,52.11%,171,139,85,395
"Justice, Supreme Court, Place 4",0555,598,447,1045,2119,49.32%,225,170,105,500
"Justice, Supreme Court, Place 4",0556,585,421,1006,2249,44.73%,251,179,84,514
"Justice, Supreme Court, Place 4",0557,822,556,1378,2726,50.55%,486,185,111,782
"Justice, Supreme Court, Place 4",0558,1592,824,2416,4084,59.16%,861,410,267,1538
"Justice, Supreme Court, Place 4",0559,1794,899,2693,4633,58.13%,735,595,339,1669
"Justice, Supreme Court, Place 4",0560,172,289,461,1176,39.20%,117,59,34,210
"Justice, Supreme Court, Place 4",0561,837,759,1596,3033,52.62%,895,128,66,1089
"Justice, Supreme Court, Place 4",0562,201,146,347,645,53.80%,44,37,22,103
"Justice, Supreme Court, Place 4",0563,1700,415,2115,2969,71.24%,1645,135,88,1868
"Justice, Supreme Court, Place 4",0564,1159,713,1872,3096,60.47%,561,458,277,1296
"Justice, Supreme Court, Place 4",0565,31,e,194,510,1373,37.14%,105,66,59,230
"Justice, Supreme Court, Place 4",0566,1126,478,1604,2950,54.37%,483,334,219,1036
"Justice, Supreme Court, Place 4",0567,673,394,1067,2198,48.54%,317,153,90,560
"Justice, Supreme Court, Place 4",0568,1630,837,2467,3487,70.75%,1633,244,144,2021
"Justice, Supreme Court, Place 4",0569,1295,865,2160,3249,66.48%,1210,335,189,1734
"Justice, Supreme Court, Place 4",0570,527,409,936,1473,63.54%,455,177,112,744
"Justice, Supreme Court, Place 4",0571,334,312,646,1758,36.75%,245,69,40,354
"Justice, Supreme Court, Place 4",0572,1288,574,1862,2998,62.11%,920,270,184,1374
"Justice, Supreme Court, Place 4",0573,578,368,946,1618,58.47%,30,123,61,214
"Justice, Supreme Court, Place 4",0574,98,79,177,391,45.27%,30,18,12,60
"Justice, Supreme Court, Place 4",0575,27,9,36,79,45.57%,31,3,1,35
"Justice, Supreme Court, Place 4",0576,1051,552,1603,2671,60.01%,78,211,101,390
"Justice, Supreme Court, Place 4",0577,231,113,344,573,60.03%,204,48,31,283
"Justice, Supreme Court, Place 4",0578,745,553,1298,1689,76.85%,828,124,112,1064
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0579,489,351,840,1806,46.51%,237,128,67,432
"Justice, Supreme Court, Place 4",0580,430,146,576,1027,56.09%,23,83,40,146
"Justice, Supreme Court, Place 4",0581,510,162,672,1041,64.55%,31,83,52,166
"Justice, Supreme Court, Place 4",0582,615,256,871,1613,54.00%,71,94,60,225
"Justice, Supreme Court, Place 4",0583,544,127,671,1248,53.77%,24,69,38,131
"Justice, Supreme Court, Place 4",0584,393,139,532,971,54.79%,49,59,23,131
"Justice, Supreme Court, Place 4",0585,934,304,1238,2403,51.52%,58,168,77,303
"Justice, Supreme Court, Place 4",0586,1307,1189,2496,4230,59.01%,1538,263,171,1972
"Justice, Supreme Court, Place 4",0587,934,465,1399,2174,64.35%,543,175,87,805
"Justice, Supreme Court, Place 4",0588,1539,871,2410,3468,69.49%,1700,229,140,2069
"Justice, Supreme Court, Place 4",0589,1034,738,1772,3130,56.61%,983,247,130,1360
"Justice, Supreme Court, Place 4",0590,1158,463,1621,2136,75.89%,1255,128,70,1453
"Justice, Supreme Court, Place 4",0591,420,449,869,2114,41.11%,279,116,53,448
"Justice, Supreme Court, Place 4",0592,370,288,658,1258,52.31%,183,84,40,307
"Justice, Supreme Court, Place 4",0593,1149,999,2148,4059,52.92%,1043,300,144,1487
"Justice, Supreme Court, Place 4",0594,1032,535,1567,2361,66.37%,484,234,134,852
"Justice, Supreme Court, Place 4",0595,497,380,877,1647,53.25%,176,114,70,360
"Justice, Supreme Court, Place 4",0596,947,690,1637,2848,57.48%,869,204,130,1203
"Justice, Supreme Court, Place 4",0597,1067,719,1786,3267,54.67%,708,287,125,1120
