Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Devine,LIB Tom Oxford,GRN Charles E. Waterbury,Totals
"Justice, Supreme Court, Place 4",0069,218,284,502,1303,38.53%,111,86,44,241
"Justice, Supreme Court, Place 4",0070,1640,726,2366,3142,75.30%,1503,308,199,2010
"Justice, Supreme Court, Place 4",0071,1430,948,2378,3662,64.94%,1280,408,238,1926
"Justice, Supreme Court, Place 4",0072,442,562,1004,1882,53.35%,349,150,104,603
"Justice, Supreme Court, Place 4",0073,500,496,996,1494,66.67%,598,112,115,825
"Justice, Supreme Court, Place 4",0074,2217,530,2747,3632,75.63%,2138,164,121,2423
"Justice, Supreme Court, Place 4",0075,487,370,857,1329,64.48%,376,132,132,640
"Justice, Supreme Court, Place 4",0076,814,559,1383,2328,59.41%,820,168,85,1073
"Justice, Supreme Court, Place 4",0077,169,81,250,565,44.25%,71,42,20,133
"Justice, Supreme Court, Place 4",0078,360,344,704,1479,47.60%,261,90,70,421
"Justice, Supreme Court, Place 4",0079,511,717,1228,2959,41.50%,347,167,94,608
"Justice, Supreme Court, Place 4",0080,1159,481,1640,2712,60.47%,416,190,160,766
"Justice, Supreme Court, Place 4",0081,540,309,849,1839,46.17%,318,94,57,469
"Justice, Supreme Court, Place 4",0082,1353,816,2169,3284,66.05%,1631,165,86,1882
"Justice, Supreme Court, Place 4",0083,2532,1181,3813,5598,68.11%,1910,473,266,2649
"Justice, Supreme Court, Place 4",0084,445,346,791,1389,56.95%,566,52,34,652
"Justice, Supreme Court, Place 4",0085,734,548,1282,2079,61.66%,75,223,184,482
"Justice, Supreme Court, Place 4",0086,1055,689,1744,2637,66.14%,846,288,187,1321
"Justice, Supreme Court, Place 4",0087,1224,861,2085,2749,75.85%,1379,214,165,1758
"Justice, Supreme Court, Place 4",0088,235,162,397,678,58.55%,261,22,21,304
"Justice, Supreme Court, Place 4",0089,344,454,798,1104,72.28%,482,112,77,671
"Justice, Supreme Court, Place 4",0090,1499,958,2457,3571,68.80%,1804,186,145,2135
"Justice, Supreme Court, Place 4",0091,466,333,799,1248,64.02%,492,96,68,656
"Justice, Supreme Court, Place 4",0092,1105,534,1639,2228,73.56%,1136,137,102,1375
"Justice, Supreme Court, Place 4",0093,782,643,1425,3295,43.25%,594,157,85,836
