Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"State Senator, District 13",0426,415,283,698,1224,57.03%,347,347
"State Senator, District 13",0427,325,249,574,1115,51.48%,375,375
"State Senator, District 13",0429,1093,777,1870,3929,47.59%,1444,1444
"State Senator, District 13",0430,403,335,738,1654,44.62%,548,548
"State Senator, District 13",0431,819,403,1222,3188,38.33%,900,900
"State Senator, District 13",0432,311,271,582,1344,43.30%,426,426
"State Senator, District 13",0433,139,106,245,573,42.76%,201,201
"State Senator, District 13",0453,559,475,1034,1885,54.85%,702,702
"State Senator, District 13",0454,1226,311,1537,2571,59.78%,1492,1492
"State Senator, District 13",0455,748,216,964,1679,57.42%,916,916
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
"State Senator, District 13",0458,908,271,1179,1893,62.28%,1105,1105
"State Senator, District 13",0462,1319,865,2184,3367,64.86%,1492,1492
"State Senator, District 13",0487,1005,612,1617,3318,48.73%,1101,1101
"State Senator, District 13",0489,784,378,1162,1823,63.74%,858,858
"State Senator, District 13",0490,877,439,1316,1944,67.70%,889,889
"State Senator, District 13",0503,359,273,632,1363,46.37%,420,420
"State Senator, District 13",0506,1470,801,2271,3380,67.19%,1923,1923
"State Senator, District 13",0507,582,385,967,2435,39.71%,714,714
"State Senator, District 13",0508,946,760,1706,3248,52.52%,1120,1120
"State Senator, District 13",0525,1381,610,1991,2947,67.56%,1620,1620
"State Senator, District 13",0538,433,237,670,1282,52.26%,636,636
"State Senator, District 13",0539,26,209,235,71,330.99%,181,181
"State Senator, District 13",0540,666,380,1046,1491,70.15%,644,644
"State Senator, District 13",0541,1825,779,2604,4183,62.25%,2255,2255
"State Senator, District 13",0542,997,501,1498,2525,59.33%,1407,1407
"State Senator, District 13",0546,4,4,8,30,26.67%,7,7
"State Senator, District 13",0554,562,340,902,1731,52.11%,736,736
"State Senator, District 13",0555,598,447,1045,2119,49.32%,868,868
"State Senator, District 13",0556,584,421,1005,2249,44.69%,801,801
"State Senator, District 13",0557,822,556,1378,2726,50.55%,916,916
"State Senator, District 13",0559,1788,899,2687,4633,58.00%,2066,2066
"State Senator, District 13",0562,201,146,347,645,53.80%,316,316
"State Senator, District 13",0564,1150,713,1863,3096,60.17%,1397,1397
"State Senator, District 13",0565,316,194,510,1373,37.14%,415,415
"State Senator, District 13",0566,1122,478,1600,2950,54.24%,1190,1190
"State Senator, District 13",0567,672,394,1066,2198,48.50%,744,744
"State Senator, District 13",0573,577,368,945,1618,58.41%,913,913
"State Senator, District 13",0574,98,79,177,391,45.27%,153,153
"State Senator, District 13",0580,429,146,575,1027,55.99%,555,555
"State Senator, District 13",0581,510,162,672,1041,64.55%,638,638
"State Senator, District 13",0582,614,256,870,1613,53.94%,806,806
"State Senator, District 13",0583,544,127,671,1248,53.77%,653,653
"State Senator, District 13",0584,392,139,531,971,54.69%,502,502
"State Senator, District 13",0585,934,304,1238,2403,51.52%,1177,1177
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM Rodney Ellis,Totals
