Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0317,551,336,887,1469,60.38%,262,581,843
"District Judge, 129th Judicial District",0318,1708,611,2319,3531,65.68%,89,2142,2231
"District Judge, 129th Judicial District",0319,965,290,1255,2081,60.31%,71,1142,1213
"District Judge, 129th Judicial District",0320,464,300,764,1505,50.76%,305,412,717
"District Judge, 129th Judicial District",0321,442,305,748,2029,36.87%,234,481,715
"District Judge, 129th Judicial District",0322,397,237,634,1322,47.96%,164,444,608
"District Judge, 129th Judicial District",0323,482,332,814,1719,47.35%,328,422,750
"District Judge, 129th Judicial District",0324,967,718,1685,2339,72.04%,1054,486,1540
"District Judge, 129th Judicial District",0325,656,397,1053,2251,46.78%,235,767,1002
"District Judge, 129th Judicial District",0326,202,128,330,678,48.67%,128,176,304
"District Judge, 129th Judicial District",0327,725,244,970,1751,55.40%,16,922,938
"District Judge, 129th Judicial District",0328,344,270,614,1361,45.11%,214,373,587
"District Judge, 129th Judicial District",0329,405,307,712,1367,52.08%,205,459,664
"District Judge, 129th Judicial District",0330,590,376,966,1849,52.24%,420,481,901
"District Judge, 129th Judicial District",0331,0,1,1,0,0.00%,1,0,1
"District Judge, 129th Judicial District",0332,23,4,27,128,21.09%,10,15,25
"District Judge, 129th Judicial District",0333,1018,939,1957,2901,67.46%,1372,469,1841
"District Judge, 129th Judicial District",0334,255,114,369,755,48.87%,73,281,354
"District Judge, 129th Judicial District",0335,285,246,531,1227,43.28%,153,324,477
"District Judge, 129th Judicial District",0336,1818,588,2406,3161,76.12%,202,2124,2326
"District Judge, 129th Judicial District",0337,309,207,516,951,54.26%,82,416,498
"District Judge, 129th Judicial District",0338,1540,824,2364,4673,50.59%,625,1596,2221
"District Judge, 129th Judicial District",0339,369,373,742,1716,43.24%,128,557,685
"District Judge, 129th Judicial District",0340,1778,833,2611,3717,70.24%,1892,558,2450
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0341,246,316,562,1248,45.03%,119,420,539
"District Judge, 129th Judicial District",0342,2029,1113,3142,5718,54.95%,414,2634,3048
"District Judge, 129th Judicial District",0343,436,483,919,1904,48.27%,196,645,841
"District Judge, 129th Judicial District",0344,395,245,640,1207,53.02%,19,595,614
"District Judge, 129th Judicial District",0345,428,357,785,1708,45.96%,162,584,746
"District Judge, 129th Judicial District",0346,1,2,3,1,300.00%,3,0,3
"District Judge, 129th Judicial District",0347,1250,614,1864,3299,56.50%,1129,648,1777
"District Judge, 129th Judicial District",0348,751,280,1031,1740,59.25%,728,247,975
"District Judge, 129th Judicial District",0349,405,407,812,1315,61.75%,465,295,760
"District Judge, 129th Judicial District",0350,1112,780,1892,2906,65.11%,779,954,1733
"District Judge, 129th Judicial District",0351,2495,793,3288,4537,72.47%,2582,577,3159
"District Judge, 129th Judicial District",0352,1151,583,1734,3193,54.31%,1178,476,1654
"District Judge, 129th Judicial District",0353,1544,703,2247,3697,60.78%,349,1809,2158
"District Judge, 129th Judicial District",0354,1476,517,1993,3193,62.42%,438,1473,1911
"District Judge, 129th Judicial District",0355,700,286,986,1384,71.24%,86,869,955
"District Judge, 129th Judicial District",0356,1382,618,2000,2836,70.52%,1148,713,1861
"District Judge, 129th Judicial District",0357,1633,709,2342,3371,69.47%,1699,518,2217
"District Judge, 129th Judicial District",0358,740,464,1204,2297,52.42%,83,1080,1163
"District Judge, 129th Judicial District",0359,706,482,1188,3008,39.49%,92,1051,1143
"District Judge, 129th Judicial District",0360,969,515,1484,2190,67.76%,788,545,1333
"District Judge, 129th Judicial District",0361,135,691,826,1585,52.11%,149,547,696
"District Judge, 129th Judicial District",0362,2131,1200,3331,4952,67.27%,2368,787,3155
"District Judge, 129th Judicial District",0363,1346,687,2033,3291,61.77%,860,1101,1961
"District Judge, 129th Judicial District",0364,912,602,1514,2539,59.63%,743,696,1439
"District Judge, 129th Judicial District",0365,734,245,979,1302,75.19%,84,864,948
"District Judge, 129th Judicial District",0366,638,466,1104,2089,52.85%,214,852,1066
"District Judge, 129th Judicial District",0367,328,212,540,1019,52.99%,93,427,520
"District Judge, 129th Judicial District",0368,418,143,561,929,60.39%,138,409,547
"District Judge, 129th Judicial District",0369,107,53,160,490,32.65%,55,97,152
"District Judge, 129th Judicial District",0370,3143,1178,4321,5781,74.74%,3201,918,4119
"District Judge, 129th Judicial District",0371,226,69,295,475,62.11%,4,283,287
"District Judge, 129th Judicial District",0372,498,231,729,1215,60.00%,77,622,699
"District Judge, 129th Judicial District",0373,61,16,77,159,48.43%,1,74,75
"District Judge, 129th Judicial District",0374,139,187,326,748,43.58%,84,230,314
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0375,577,524,1101,2607,42.23%,421,610,1031
"District Judge, 129th Judicial District",0376,629,334,963,1916,50.26%,383,521,904
"District Judge, 129th Judicial District",0377,1055,707,1762,2871,61.37%,1291,354,1645
"District Judge, 129th Judicial District",0378,559,521,1080,1777,60.78%,667,369,1036
"District Judge, 129th Judicial District",0379,800,338,1138,2017,56.42%,82,1009,1091
"District Judge, 129th Judicial District",0380,2500,1183,3683,4753,77.49%,2025,1474,3499
"District Judge, 129th Judicial District",0381,957,424,1381,2715,50.87%,541,775,1316
"District Judge, 129th Judicial District",0382,276,231,507,841,60.29%,352,134,486
"District Judge, 129th Judicial District",0383,599,493,1092,2076,52.60%,323,720,1043
"District Judge, 129th Judicial District",0384,1172,505,1677,2596,64.60%,331,1273,1604
"District Judge, 129th Judicial District",0385,1099,621,1720,2175,79.08%,1318,273,1591
"District Judge, 129th Judicial District",0386,1464,460,1924,2872,66.99%,1358,478,1836
"District Judge, 129th Judicial District",0387,1369,802,2171,3727,58.25%,1464,585,2049
"District Judge, 129th Judicial District",0388,2780,1222,4002,5329,75.10%,2194,1632,3826
"District Judge, 129th Judicial District",0389,283,261,544,975,55.79%,83,418,501
"District Judge, 129th Judicial District",0390,644,368,1012,1565,64.66%,116,849,965
"District Judge, 129th Judicial District",0391,856,355,1211,1805,67.09%,776,366,1142
"District Judge, 129th Judicial District",0392,737,197,934,1441,64.82%,10,902,912
"District Judge, 129th Judicial District",0393,346,318,664,1206,55.06%,288,333,621
"District Judge, 129th Judicial District",0394,166,176,342,860,39.77%,129,194,323
"District Judge, 129th Judicial District",0395,830,491,1321,1820,72.58%,902,326,1228
"District Judge, 129th Judicial District",0396,1157,219,1376,2073,66.38%,16,1317,1333
"District Judge, 129th Judicial District",0397,163,148,311,750,41.47%,118,170,288
"District Judge, 129th Judicial District",0398,1438,840,2278,3816,59.70%,1081,1098,2179
"District Judge, 129th Judicial District",0399,896,593,1489,2542,58.58%,711,720,1431
"District Judge, 129th Judicial District",0400,1048,506,1554,2238,69.44%,1093,372,1465
"District Judge, 129th Judicial District",0401,723,284,1007,1876,53.68%,38,941,979
"District Judge, 129th Judicial District",0402,891,245,1136,1737,65.40%,51,1051,1102
"District Judge, 129th Judicial District",0403,791,527,1318,1703,77.39%,731,448,1179
"District Judge, 129th Judicial District",0404,778,552,1330,2589,51.37%,652,609,1261
"District Judge, 129th Judicial District",0405,0,1,1,0,0.00%,0,1,1
"District Judge, 129th Judicial District",0406,281,72,353,610,57.87%,5,334,339
"District Judge, 129th Judicial District",0407,1317,1000,2317,3652,63.44%,1439,701,2140
"District Judge, 129th Judicial District",0408,154,179,333,933,35.69%,131,181,312
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0409,277,289,566,1371,41.28%,162,372,534
"District Judge, 129th Judicial District",0410,337,102,439,849,51.71%,78,347,425
"District Judge, 129th Judicial District",0411,542,462,1004,2302,43.61%,259,676,935
"District Judge, 129th Judicial District",0412,193,74,267,433,61.66%,11,249,260
"District Judge, 129th Judicial District",0413,1493,525,2018,3023,66.75%,741,1157,1898
"District Judge, 129th Judicial District",0414,1452,593,2045,3457,59.16%,1432,473,1905
"District Judge, 129th Judicial District",0415,950,633,1583,2124,74.53%,1080,397,1477
"District Judge, 129th Judicial District",0416,1174,916,2090,3582,58.35%,1058,902,1960
"District Judge, 129th Judicial District",0417,777,619,1396,2465,56.63%,581,737,1318
"District Judge, 129th Judicial District",0418,1057,758,1815,3420,53.07%,631,1091,1722
"District Judge, 129th Judicial District",0419,1006,578,1584,2697,58.73%,1003,499,1502
"District Judge, 129th Judicial District",0420,2174,1089,3263,4639,70.34%,2598,486,3084
"District Judge, 129th Judicial District",0421,124,92,216,467,46.25%,46,161,207
"District Judge, 129th Judicial District",0422,1456,585,2041,3345,61.02%,43,1939,1982
"District Judge, 129th Judicial District",0423,190,309,499,894,55.82%,191,274,465
"District Judge, 129th Judicial District",0424,435,1,57,592,888,66.67%,343,229,572
"District Judge, 129th Judicial District",0425,227,234,461,875,52.69%,142,289,431
"District Judge, 129th Judicial District",0426,415,283,698,1224,57.03%,380,256,636
"District Judge, 129th Judicial District",0427,325,249,574,1115,51.48%,201,330,531
"District Judge, 129th Judicial District",0428,1284,907,2191,4316,50.76%,622,1422,2044
"District Judge, 129th Judicial District",0429,1091,777,1868,3929,47.54%,339,1395,1734
"District Judge, 129th Judicial District",0430,403,335,738,1654,44.62%,141,540,681
"District Judge, 129th Judicial District",0431,819,403,1222,3188,38.33%,313,834,1147
"District Judge, 129th Judicial District",0432,311,271,582,1344,43.30%,155,398,553
"District Judge, 129th Judicial District",0433,139,106,245,573,42.76%,39,192,231
"District Judge, 129th Judicial District",0434,628,371,999,1386,72.08%,633,299,932
"District Judge, 129th Judicial District",0435,1534,768,2302,3097,74.33%,1494,637,2131
"District Judge, 129th Judicial District",0436,1334,709,2043,3012,67.83%,1197,689,1886
"District Judge, 129th Judicial District",0437,951,542,1493,2007,74.39%,1054,340,1394
"District Judge, 129th Judicial District",0438,1046,387,1433,1802,79.52%,1057,253,1310
"District Judge, 129th Judicial District",0439,1526,905,2431,3416,71.17%,1715,543,2258
"District Judge, 129th Judicial District",0440,1326,876,2202,2867,76.81%,1721,312,2033
"District Judge, 129th Judicial District",0441,698,513,1211,1616,74.94%,879,251,1130
"District Judge, 129th Judicial District",0442,1366,513,1879,2504,75.04%,1520,265,1785
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0443,335,148,483,605,79.83%,350,98,448
"District Judge, 129th Judicial District",0444,1258,731,1989,3172,62.70%,1181,672,1853
"District Judge, 129th Judicial District",0445,860,443,1303,1938,67.23%,807,413,1220
"District Judge, 129th Judicial District",0446,70,52,122,268,45.52%,46,69,115
"District Judge, 129th Judicial District",0447,271,108,379,583,65.01%,122,227,349
"District Judge, 129th Judicial District",0448,1239,869,2108,3081,68.42%,1207,725,1932
"District Judge, 129th Judicial District",0449,62,37,99,164,60.37%,12,81,93
"District Judge, 129th Judicial District",0450,856,537,1393,2622,53.13%,348,978,1326
"District Judge, 129th Judicial District",0451,1575,515,2090,2674,78.16%,1688,301,1989
"District Judge, 129th Judicial District",0452,1109,639,1748,2810,62.21%,1273,404,1677
"District Judge, 129th Judicial District",0453,559,475,1034,1885,54.85%,315,661,976
"District Judge, 129th Judicial District",0454,1226,311,1537,2571,59.78%,10,1482,1492
"District Judge, 129th Judicial District",0455,748,216,964,1679,57.42%,23,907,930
"District Judge, 129th Judicial District",0456,1266,593,1859,3350,55.49%,960,801,1761
"District Judge, 129th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 129th Judicial District",0458,908,271,1179,1893,62.28%,44,1093,1137
"District Judge, 129th Judicial District",0459,1637,476,2113,2950,71.63%,1647,352,1999
"District Judge, 129th Judicial District",0460,1250,402,1652,2346,70.42%,401,1187,1588
"District Judge, 129th Judicial District",0461,1958,828,2786,3733,74.63%,1801,763,2564
"District Judge, 129th Judicial District",0462,1318,865,2183,3367,64.84%,764,1282,2046
"District Judge, 129th Judicial District",0463,1124,656,1780,2962,60.09%,701,994,1695
"District Judge, 129th Judicial District",0464,786,612,1398,2126,65.76%,923,396,1319
"District Judge, 129th Judicial District",0465,1465,702,2167,3343,64.82%,1115,983,2098
"District Judge, 129th Judicial District",0466,2052,729,2781,4072,68.30%,1516,1146,2662
"District Judge, 129th Judicial District",0467,478,229,707,1230,57.48%,159,512,671
"District Judge, 129th Judicial District",0468,984,793,1777,3354,52.98%,478,1199,1677
"District Judge, 129th Judicial District",0469,2039,638,2677,3779,70.84%,2058,475,2533
"District Judge, 129th Judicial District",0470,443,323,766,1349,56.78%,524,196,720
"District Judge, 129th Judicial District",0471,792,597,1389,2349,59.13%,1040,291,1331
"District Judge, 129th Judicial District",0472,370,337,707,1027,68.84%,329,308,637
"District Judge, 129th Judicial District",0473,914,442,1356,1827,74.22%,925,336,1261
"District Judge, 129th Judicial District",0474,1146,766,1912,3006,63.61%,1289,509,1798
"District Judge, 129th Judicial District",0475,485,473,958,1651,58.03%,385,511,896
"District Judge, 129th Judicial District",0476,809,658,1467,2412,60.82%,796,599,1395
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0477,1441,742,2183,3195,68.33%,1596,488,2084
"District Judge, 129th Judicial District",0478,1959,898,2857,4150,68.84%,1845,855,2700
"District Judge, 129th Judicial District",0479,1298,588,1886,2648,71.22%,1366,434,1800
"District Judge, 129th Judicial District",0480,936,555,1491,2267,65.77%,1022,382,1404
"District Judge, 129th Judicial District",0481,1463,852,2315,3298,70.19%,1693,502,2195
"District Judge, 129th Judicial District",0482,1963,836,2799,4129,67.79%,1893,790,2683
"District Judge, 129th Judicial District",0483,1868,759,2627,4141,63.44%,1373,1109,2482
"District Judge, 129th Judicial District",0484,2236,1008,3244,4594,70.61%,2260,827,3087
"District Judge, 129th Judicial District",0485,2421,990,3411,4838,70.50%,2487,786,3273
"District Judge, 129th Judicial District",0486,1843,805,2648,3572,74.13%,2021,503,2524
"District Judge, 129th Judicial District",0487,1005,612,1617,3318,48.73%,442,1046,1488
"District Judge, 129th Judicial District",0488,580,440,1020,1713,59.54%,326,615,941
"District Judge, 129th Judicial District",0489,783,378,1161,1823,63.69%,327,768,1095
"District Judge, 129th Judicial District",0490,876,439,1315,1944,67.64%,469,758,1227
"District Judge, 129th Judicial District",0491,667,489,1156,1782,64.87%,665,409,1074
"District Judge, 129th Judicial District",0492,1069,504,1573,2351,66.91%,811,643,1454
"District Judge, 129th Judicial District",0493,858,400,1258,1804,69.73%,788,371,1159
"District Judge, 129th Judicial District",0494,760,431,1191,2176,54.73%,126,1026,1152
"District Judge, 129th Judicial District",0495,1120,494,1614,2284,70.67%,1110,404,1514
"District Judge, 129th Judicial District",0496,496,571,1067,2086,51.15%,370,631,1001
"District Judge, 129th Judicial District",0497,1123,303,1426,2226,64.06%,54,1320,1374
"District Judge, 129th Judicial District",0498,759,499,1258,2123,59.26%,512,685,1197
"District Judge, 129th Judicial District",0499,1301,517,1818,2304,78.91%,1323,379,1702
"District Judge, 129th Judicial District",0500,1507,746,2253,3175,70.96%,1510,622,2132
"District Judge, 129th Judicial District",0501,653,487,1140,1647,69.22%,430,609,1039
"District Judge, 129th Judicial District",0502,1150,332,1482,2364,62.69%,1112,279,1391
"District Judge, 129th Judicial District",0503,359,273,632,1363,46.37%,185,400,585
"District Judge, 129th Judicial District",0504,1129,538,1667,2197,75.88%,1092,464,1556
"District Judge, 129th Judicial District",0505,1209,829,2038,3654,55.77%,868,1026,1894
"District Judge, 129th Judicial District",0506,1470,801,2271,3380,67.19%,367,1820,2187
"District Judge, 129th Judicial District",0507,582,385,967,2435,39.71%,143,690,833
"District Judge, 129th Judicial District",0508,946,760,1706,3248,52.52%,527,1039,1566
"District Judge, 129th Judicial District",0509,1340,864,2204,3536,62.33%,1517,570,2087
"District Judge, 129th Judicial District",0510,1492,682,2174,3511,61.92%,955,1084,2039
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0511,0,8,8,0,0.00%,1,5,8
"District Judge, 129th Judicial District",0512,1558,1127,2885,4582,58.80%,1188,1392,2580
"District Judge, 129th Judicial District",0513,1805,507,2112,2752,78.74%,1585,431,1998
"District Judge, 129th Judicial District",0514,1988,880,2828,3941,71.71%,2041,855,2898
"District Judge, 129th Judicial District",0515,1892,708,2400,3173,75.84%,1895,382,2277
"District Judge, 129th Judicial District",0518,2179,1088,3245,4934,85.77%,1557,1508,3083
"District Judge, 129th Judicial District",0517,1208,853,1881,3320,58.05%,933,833,1788
"District Judge, 129th Judicial District",0518,1478,919,2397,3755,83.83%,1485,798,2281
"District Judge, 129th Judicial District",0519,1234,845,1879,2951,83.87%,1323,487,1790
"District Judge, 129th Judicial District",0520,1542,857,2399,4084,59.03%,373,1939,2312
"District Judge, 129th Judicial District",0521,1011,894,1705,2725,82.57%,845,777,1822
"District Judge, 129th Judicial District",0522,1171,858,1829,2882,88.20%,1348,391,1737
"District Judge, 129th Judicial District",0523,1338,889,2027,3080,88.24%,1317,589,1888
"District Judge, 129th Judicial District",0524,1237,875,1912,3292,58.08%,547,1278,1823
"District Judge, 129th Judicial District",0525,1380,810,1990,2947,87.53%,390,1502,1892
"District Judge, 129th Judicial District",0528,187,171,338,731,48.24%,82,240,322
"District Judge, 129th Judicial District",0527,80,24,104,589,18.28%,48,52,98
"District Judge, 129th Judicial District",0528,38,12,48,92,52.17%,3,44,47
"District Judge, 129th Judicial District",0529,1987,441,2428,3818,87.15%,2011,307,2318
"District Judge, 129th Judicial District",0530,259,235,494,1198,41.30%,87,375,482
"District Judge, 129th Judicial District",0531,872,113,785,1094,71.78%,598,137,735
"District Judge, 129th Judicial District",0532,452,184,838,1039,81.21%,418,188,808
"District Judge, 129th Judicial District",0533,317,207,524,1089,49.02%,253,243,498
"District Judge, 129th Judicial District",0534,1858,875,2333,3795,81.48%,1853,582,2215
"District Judge, 129th Judicial District",0535,80,94,174,421,41.33%,58,105,183
"District Judge, 129th Judicial District",0538,1332,1195,2527,4578,55.22%,858,1543,2401
"District Judge, 129th Judicial District",0537,1454,823,2277,2971,78.84%,1841,513,2154
"District Judge, 129th Judicial District",0538,433,237,870,1282,52.28%,17,830,847
"District Judge, 129th Judicial District",0539,28,209,235,71,330.99%,48,185,213
"District Judge, 129th Judicial District",0540,888,380,1048,1491,70.15%,449,489,938
"District Judge, 129th Judicial District",0541,1824,779,2803,4183,82.23%,343,2138,2481
"District Judge, 129th Judicial District",0542,997,501,1498,2525,59.33%,74,1375,1449
"District Judge, 129th Judicial District",0543,287,378,885,1528,43.52%,180,448,828
"District Judge, 129th Judicial District",0544,92,53,145,318,45.80%,17,122,139
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0545,1314,857,2171,3339,65.02%,980,1085,2065
"District Judge, 129th Judicial District",0546,4,4,8,30,26.67%,2,6,8
"District Judge, 129th Judicial District",0547,877,647,1524,2408,63.29%,1023,419,1442
"District Judge, 129th Judicial District",0548,720,476,1196,2129,56.18%,514,629,1143
"District Judge, 129th Judicial District",0549,944,586,1530,2530,60.47%,196,1273,1469
"District Judge, 129th Judicial District",0550,1134,629,1763,2847,61.92%,852,848,1700
"District Judge, 129th Judicial District",0551,3088,1527,4615,6135,75.22%,3263,1121,4384
"District Judge, 129th Judicial District",0552,1521,844,2465,3241,76.06%,2013,339,2352
"District Judge, 129th Judicial District",0553,1465,951,2416,4355,55.48%,995,1312,2307
"District Judge, 129th Judicial District",0554,562,340,902,1731,52.11%,137,701,838
"District Judge, 129th Judicial District",0555,597,447,1044,2119,49.27%,170,822,992
"District Judge, 129th Judicial District",0556,584,421,1005,2249,44.69%,205,744,949
"District Judge, 129th Judicial District",0557,822,556,1378,2726,50.55%,423,852,1275
"District Judge, 129th Judicial District",0558,1588,824,2412,4084,59.06%,737,1555,2292
"District Judge, 129th Judicial District",0559,1787,899,2686,4633,57.98%,617,1927,2544
"District Judge, 129th Judicial District",0560,172,289,461,1176,39.20%,76,351,427
"District Judge, 129th Judicial District",0561,837,759,1596,3033,52.62%,877,639,1516
"District Judge, 129th Judicial District",0562,201,146,347,645,53.80%,20,314,334
"District Judge, 129th Judicial District",0563,1699,415,2114,2969,71.20%,1598,388,1986
"District Judge, 129th Judicial District",0564,1150,713,1863,3096,60.17%,490,1231,1721
"District Judge, 129th Judicial District",0565,315,194,509,1373,37.07%,86,386,472
"District Judge, 129th Judicial District",0566,1122,478,1600,2950,54.24%,417,1117,1534
"District Judge, 129th Judicial District",0567,672,394,1066,2198,48.50%,278,694,972
"District Judge, 129th Judicial District",0568,1628,837,2465,3487,70.69%,1561,719,2280
"District Judge, 129th Judicial District",0569,1294,865,2159,3249,66.45%,1145,851,1996
"District Judge, 129th Judicial District",0570,525,409,934,1473,63.41%,403,442,845
"District Judge, 129th Judicial District",0571,333,312,645,1758,36.69%,176,423,599
"District Judge, 129th Judicial District",0572,1283,574,1857,2998,61.94%,851,903,1754
"District Judge, 129th Judicial District",0573,577,368,945,1618,58.41%,8,914,922
"District Judge, 129th Judicial District",0574,98,79,177,391,45.27%,13,155,168
"District Judge, 129th Judicial District",0575,27,9,36,79,45.57%,32,4,36
"District Judge, 129th Judicial District",0576,1050,552,1602,2671,59.98%,48,1499,1547
"District Judge, 129th Judicial District",0577,231,113,344,573,60.03%,185,138,323
"District Judge, 129th Judicial District",0578,745,553,1298,1689,76.85%,778,404,1182
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0579,487,351,838,1806,46.40%,179,610,789
"District Judge, 129th Judicial District",0580,429,146,575,1027,55.99%,13,544,557
"District Judge, 129th Judicial District",0581,510,162,672,1041,64.55%,13,635,648
"District Judge, 129th Judicial District",0582,614,256,870,1613,53.94%,44,798,842
"District Judge, 129th Judicial District",0583,544,127,671,1248,53.77%,9,646,655
"District Judge, 129th Judicial District",0584,392,139,531,971,54.69%,31,495,526
"District Judge, 129th Judicial District",0585,934,304,1238,2403,51.52%,35,1169,1204
"District Judge, 129th Judicial District",0585,1306,1189,2495,4230,58.98%,1470,921,2391
"District Judge, 129th Judicial District",0587,933,465,1398,2174,64.31%,487,862,1349
"District Judge, 129th Judicial District",0588,1536,871,2407,3468,69.41%,1664,639,2303
"District Judge, 129th Judicial District",0589,1033,738,1771,3130,56.58%,904,785,1689
"District Judge, 129th Judicial District",0590,1158,463,1621,2136,75.89%,1237,300,1537
"District Judge, 129th Judicial District",0591,420,449,869,2114,41.11%,200,617,817
"District Judge, 129th Judicial District",0592,370,288,658,1258,52.31%,145,483,628
"District Judge, 129th Judicial District",0593,1148,999,2147,4059,52.89%,909,1132,2041
"District Judge, 129th Judicial District",0594,1031,535,1566,2361,66.33%,436,1074,1510
"District Judge, 129th Judicial District",0595,497,380,877,1647,53.25%,126,718,844
"District Judge, 129th Judicial District",0596,945,690,1635,2848,57.41%,826,735,1561
"District Judge, 129th Judicial District",0597,1067,719,1786,3267,54.67%,588,1129,1717
"District Judge, 129th Judicial District",0598,335,103,438,724,60.50%,334,75,409
"District Judge, 129th Judicial District",0599,1895,866,2761,4135,66.77%,903,1753,2656
"District Judge, 129th Judicial District",0600,1383,869,2252,3820,58.95%,756,1386,2142
"District Judge, 129th Judicial District",0601,2028,858,2886,3990,72.33%,2147,621,2768
"District Judge, 129th Judicial District",0602,562,296,858,1237,69.36%,579,248,827
"District Judge, 129th Judicial District",0603,1437,1163,2600,3917,66.38%,1539,963,2502
"District Judge, 129th Judicial District",0604,1444,528,1972,2910,67.77%,1614,271,1885
"District Judge, 129th Judicial District",0605,2227,889,3116,5251,59.34%,676,2310,2986
"District Judge, 129th Judicial District",0606,420,122,542,1053,51.47%,4,519,523
"District Judge, 129th Judicial District",0607,194,118,312,731,42.68%,21,276,297
"District Judge, 129th Judicial District",0608,245,290,535,1256,42.60%,190,307,497
"District Judge, 129th Judicial District",0609,1364,844,2208,3261,67.71%,1335,739,2074
"District Judge, 129th Judicial District",0610,403,398,801,1825,43.89%,337,414,751
"District Judge, 129th Judicial District",0611,1120,301,1421,2450,58.00%,36,1348,1384
"District Judge, 129th Judicial District",0612,1700,579,2279,3272,69.65%,1699,443,2142
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0613,495,309,804,1450,55.45%,116,661,777
"District Judge, 129th Judicial District",0614,1631,812,2443,3932,62.13%,779,1558,2337
"District Judge, 129th Judicial District",0615,931,404,1335,1926,69.31%,769,502,1271
"District Judge, 129th Judicial District",0616,1352,970,2322,3378,68.74%,1568,634,2202
"District Judge, 129th Judicial District",0617,1318,849,2167,3546,61.11%,736,1345,2081
"District Judge, 129th Judicial District",0618,1920,1021,2941,5344,55.03%,1240,1569,2809
"District Judge, 129th Judicial District",0619,2133,857,2990,4266,70.09%,2181,672,2853
"District Judge, 129th Judicial District",0620,2382,856,3238,5271,61.43%,1539,1493,3032
"District Judge, 129th Judicial District",0621,397,203,600,1173,51.15%,288,280,568
"District Judge, 129th Judicial District",0622,1722,829,2551,4305,59.26%,1460,964,2424
"District Judge, 129th Judicial District",0623,1708,626,2334,3481,67.05%,1451,748,2199
"District Judge, 129th Judicial District",0624,9,0,9,16,56.25%,5,4,9
"District Judge, 129th Judicial District",0625,862,454,1316,1796,73.27%,731,478,1209
"District Judge, 129th Judicial District",0626,1148,655,1803,2838,63.53%,877,828,1705
"District Judge, 129th Judicial District",0627,795,547,1442,2964,48.65%,394,960,1354
"District Judge, 129th Judicial District",0628,292,456,748,1600,46.75%,285,422,707
"District Judge, 129th Judicial District",0629,175,127,302,629,48.01%,19,276,295
"District Judge, 129th Judicial District",0630,2018,535,2553,3190,80.03%,212,2251,2463
"District Judge, 129th Judicial District",0631,1489,392,1881,2733,68.83%,1319,462,1781
"District Judge, 129th Judicial District",0632,12,9,21,231,9.09%,5,13,18
"District Judge, 129th Judicial District",0633,1782,678,2460,3257,75.53%,1748,596,2344
"District Judge, 129th Judicial District",0634,1020,734,1754,2922,60.03%,1046,630,1676
"District Judge, 129th Judicial District",0635,1326,706,2032,3280,61.95%,1530,411,1941
"District Judge, 129th Judicial District",0636,1791,974,2765,3881,71.24%,2333,322,2655
"District Judge, 129th Judicial District",0637,739,509,1248,2471,50.51%,256,909,1165
"District Judge, 129th Judicial District",0638,740,684,1424,2078,68.53%,89,1274,1363
"District Judge, 129th Judicial District",0639,828,711,1539,2501,61.54%,1196,277,1473
"District Judge, 129th Judicial District",0640,1382,723,2105,3548,59.33%,1177,824,2001
"District Judge, 129th Judicial District",0641,1265,878,2143,3375,63.50%,1295,752,2047
"District Judge, 129th Judicial District",0642,871,447,1318,1779,74.09%,1071,183,1254
"District Judge, 129th Judicial District",0643,2157,994,3151,5310,59.34%,1186,1816,3002
"District Judge, 129th Judicial District",0644,2123,1204,3327,5261,63.24%,2042,1111,3153
"District Judge, 129th Judicial District",0645,1639,895,2534,4035,62.80%,1140,1248,2388
