Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0076,814,569,1383,2328,59.41%,702,592,1294
"District Judge, 129th Judicial District",0077,168,81,249,565,44.07%,51,183,234
"District Judge, 129th Judicial District",0078,359,344,703,1479,47.53%,162,475,637
"District Judge, 129th Judicial District",0079,511,717,1228,2959,41.50%,180,959,1139
"District Judge, 129th Judicial District",0080,1159,481,1640,2712,60.47%,312,1242,1554
"District Judge, 129th Judicial District",0081,540,309,849,1839,46.17%,258,538,796
"District Judge, 129th Judicial District",0082,1353,816,2169,3284,66.05%,1585,486,2071
"District Judge, 129th Judicial District",0083,2625,1181,3806,5598,67.99%,1740,1905,3645
"District Judge, 129th Judicial District",0084,444,346,790,1389,56.88%,557,199,756
"District Judge, 129th Judicial District",0085,730,548,1278,2079,61.47%,23,1194,1217
"District Judge, 129th Judicial District",0086,1054,689,1743,2637,66.10%,793,812,1605
"District Judge, 129th Judicial District",0087,1222,861,2083,2749,75.77%,1323,566,1889
"District Judge, 129th Judicial District",0088,235,162,397,678,58.55%,249,127,376
"District Judge, 129th Judicial District",0089,342,454,796,1104,72.10%,462,263,725
"District Judge, 129th Judicial District",0090,1498,958,2456,3571,68.78%,1778,534,2312
"District Judge, 129th Judicial District",0091,466,333,799,1248,64.02%,482,284,766
"District Judge, 129th Judicial District",0092,1105,534,1639,2228,73.56%,1120,404,1524
"District Judge, 129th Judicial District",0093,782,643,1425,3295,43.25%,472,863,1335
"District Judge, 129th Judicial District",0094,148,104,252,537,46.93%,51,187,238
"District Judge, 129th Judicial District",0095,1684,671,2355,3179,74.08%,1617,578,2195
"District Judge, 129th Judicial District",0096,364,237,601,1241,48.43%,58,524,582
"District Judge, 129th Judicial District",0097,2393,764,3157,4566,69.14%,2270,718,2988
"District Judge, 129th Judicial District",0098,874,607,1481,2403,61.63%,1199,218,1417
"District Judge, 129th Judicial District",0099,568,311,879,2040,43.09%,381,460,841
"District Judge, 129th Judicial District",0100,427,324,751,1754,42.82%,317,400,717
"District Judge, 129th Judicial District",0101,203,186,389,941,41.34%,88,290,378
"District Judge, 129th Judicial District",0102,493,268,761,1910,39.84%,177,555,732
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0103,1915,1065,2980,4751,62.72%,1516,1330,2846
"District Judge, 129th Judicial District",0104,992,238,1230,1847,66.59%,26,1171,1197
"District Judge, 129th Judicial District",0105,462,453,915,2153,42.50%,190,654,844
"District Judge, 129th Judicial District",0106,49,37,86,284,30.28%,39,43,82
"District Judge, 129th Judicial District",0107,412,441,853,1905,44.78%,120,698,818
"District Judge, 129th Judicial District",0108,1193,514,1707,3229,52.86%,866,751,1617
"District Judge, 129th Judicial District",0109,1160,430,1590,2884,55.13%,31,1519,1550
"District Judge, 129th Judicial District",0110,1465,589,2054,2853,71.99%,1217,730,1947
"District Judge, 129th Judicial District",0111,1868,848,2716,3638,74.66%,1983,577,2560
"District Judge, 129th Judicial District",0112,1262,668,1930,2894,66.69%,1332,503,1835
"District Judge, 129th Judicial District",0113,1125,590,1715,2537,67.60%,956,666,1622
"District Judge, 129th Judicial District",0114,1454,546,2000,2650,75.47%,1538,379,1917
"District Judge, 129th Judicial District",0115,598,305,903,1764,51.19%,90,784,874
"District Judge, 129th Judicial District",0116,1626,747,2373,3014,78.73%,1812,425,2237
"District Judge, 129th Judicial District",0117,398,462,860,1878,45.79%,342,475,817
"District Judge, 129th Judicial District",0118,460,148,608,743,81.83%,483,94,577
"District Judge, 129th Judicial District",0119,1924,1265,3189,4892,65.19%,2479,593,3072
"District Judge, 129th Judicial District",0120,1197,632,1829,2986,61.25%,1085,623,1708
"District Judge, 129th Judicial District",0121,193,244,437,679,64.36%,285,131,416
"District Judge, 129th Judicial District",0122,895,349,1244,2199,56.57%,33,1162,1195
"District Judge, 129th Judicial District",0123,440,350,790,1356,58.26%,229,498,727
"District Judge, 129th Judicial District",0124,3522,1281,4803,5952,80.70%,3762,818,4580
"District Judge, 129th Judicial District",0125,896,534,1430,2281,62.69%,806,558,1364
"District Judge, 129th Judicial District",0126,1630,407,2037,2799,72.78%,1739,206,1945
"District Judge, 129th Judicial District",0127,854,182,1036,1703,60.83%,716,275,991
"District Judge, 129th Judicial District",0128,936,736,1672,2257,74.08%,1051,443,1494
"District Judge, 129th Judicial District",0129,2294,1449,3743,5495,68.12%,2313,1189,3502
"District Judge, 129th Judicial District",0130,1201,523,1724,2240,76.96%,1274,342,1616
"District Judge, 129th Judicial District",0131,604,374,978,1721,56.83%,222,717,939
"District Judge, 129th Judicial District",0132,1119,397,1516,2449,61.90%,27,1434,1461
"District Judge, 129th Judicial District",0133,1083,940,2023,2605,77.66%,1219,626,1845
"District Judge, 129th Judicial District",0134,419,392,811,1444,56.16%,338,420,758
"District Judge, 129th Judicial District",0135,1424,634,2058,2750,74.84%,1328,574,1902
"District Judge, 129th Judicial District",0136,981,451,1432,2111,67.84%,50,1327,1377
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Michael Landrum,DEM Michael Gomez,Totals
"District Judge, 129th Judicial District",0137,305,193,498,740,67.30%,251,197,448
"District Judge, 129th Judicial District",0138,661,259,920,1749,52.60%,17,866,883
"District Judge, 129th Judicial District",0139,1290,747,2037,2746,74.18%,982,864,1846
"District Judge, 129th Judicial District",0140,1311,683,1994,3104,64.24%,280,1593,1873
"District Judge, 129th Judicial District",0141,181,143,324,872,37.16%,193,109,302
"District Judge, 129th Judicial District",0142,212,171,383,870,44.02%,83,277,360
"District Judge, 129th Judicial District",0143,2993,660,3653,4598,79.45%,2514,988,3502
"District Judge, 129th Judicial District",0144,476,204,680,1143,59.49%,13,648,661
"District Judge, 129th Judicial District",0145,663,245,908,1580,57.47%,12,877,889
"District Judge, 129th Judicial District",0146,759,614,1373,1953,70.30%,603,664,1267
"District Judge, 129th Judicial District",0147,1255,485,1740,2813,61.86%,194,1503,1697
"District Judge, 129th Judicial District",0148,908,924,1832,2467,74.26%,796,871,1667
"District Judge, 129th Judicial District",0149,2859,1322,4181,6103,68.51%,1821,2178,3999
"District Judge, 129th Judicial District",0150,539,207,746,1212,61.55%,19,705,724
"District Judge, 129th Judicial District",0151,316,148,464,846,54.85%,18,421,439
"District Judge, 129th Judicial District",0152,483,602,1085,2701,40.17%,211,822,1033
"District Judge, 129th Judicial District",0153,328,437,765,1755,43.59%,160,558,718
"District Judge, 129th Judicial District",0154,593,360,953,2133,44.68%,161,707,868
"District Judge, 129th Judicial District",0155,1957,834,2791,4087,68.29%,1849,785,2634
"District Judge, 129th Judicial District",0156,1427,457,1884,3134,60.11%,50,1754,1804
"District Judge, 129th Judicial District",0157,881,382,1263,2311,54.65%,39,1191,1230
"District Judge, 129th Judicial District",0158,1304,435,1739,3016,57.66%,23,1675,1698
"District Judge, 129th Judicial District",0159,313,187,500,976,51.23%,58,418,476
"District Judge, 129th Judicial District",0160,246,140,386,688,56.10%,9,360,369
"District Judge, 129th Judicial District",0161,395,190,585,1030,56.80%,6,561,567
"District Judge, 129th Judicial District",0162,232,262,494,1249,39.55%,126,317,443
"District Judge, 129th Judicial District",0163,778,635,1413,3054,46.27%,355,903,1258
"District Judge, 129th Judicial District",0164,505,304,809,1434,56.42%,14,773,787
"District Judge, 129th Judicial District",0165,918,557,1475,2284,64.58%,932,459,1391
"District Judge, 129th Judicial District",0166,281,311,592,1016,58.27%,187,364,551
"District Judge, 129th Judicial District",0167,5,2,7,23,30.43%,0,7,7
