Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0075,481,370,851,1329,64.03%,322,447,769
"District Judge, 215th Judicial District",0076,814,559,1383,2328,59.41%,697,578,1275
"District Judge, 215th Judicial District",0077,168,81,249,565,44.07%,52,180,232
"District Judge, 215th Judicial District",0078,359,344,703,1479,47.53%,192,430,622
"District Judge, 215th Judicial District",0079,511,717,1228,2959,41.50%,208,913,1121
"District Judge, 215th Judicial District",0080,1159,481,1640,2712,60.47%,319,1224,1543
"District Judge, 215th Judicial District",0081,540,309,849,1839,46.17%,248,540,788
"District Judge, 215th Judicial District",0082,1353,816,2169,3284,66.05%,1561,502,2063
"District Judge, 215th Judicial District",0083,2525,1181,3806,5598,67.99%,1748,1885,3633
"District Judge, 215th Judicial District",0084,444,346,790,1389,56.88%,549,208,757
"District Judge, 215th Judicial District",0085,730,548,1278,2079,61.47%,24,1190,1214
"District Judge, 215th Judicial District",0086,1054,689,1743,2637,66.10%,778,811,1589
"District Judge, 215th Judicial District",0087,1222,861,2083,2749,75.77%,1314,548,1862
"District Judge, 215th Judicial District",0088,235,162,397,678,58.55%,247,132,379
"District Judge, 215th Judicial District",0089,342,454,796,1104,72.10%,458,254,712
"District Judge, 215th Judicial District",0090,1498,958,2456,3571,68.78%,1755,549,2304
"District Judge, 215th Judicial District",0091,466,333,799,1248,64.02%,477,286,763
"District Judge, 215th Judicial District",0092,1105,534,1639,2228,73.56%,1085,425,1510
"District Judge, 215th Judicial District",0093,782,643,1425,3295,43.25%,475,844,1319
"District Judge, 215th Judicial District",0094,148,104,252,537,46.93%,51,184,235
"District Judge, 215th Judicial District",0095,1584,571,2355,3179,74.08%,1573,609,2182
"District Judge, 215th Judicial District",0096,364,237,601,1241,48.43%,56,524,580
"District Judge, 215th Judicial District",0097,2393,764,3157,4566,69.14%,2222,752,2974
"District Judge, 215th Judicial District",0098,874,607,1481,2403,61.63%,1176,232,1408
"District Judge, 215th Judicial District",0099,568,311,879,2040,43.09%,381,458,839
"District Judge, 215th Judicial District",0100,427,324,751,1754,42.82%,314,402,716
"District Judge, 215th Judicial District",0101,203,186,389,941,41.34%,84,294,378
"District Judge, 215th Judicial District",0102,493,268,761,1910,39.84%,187,545,732
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0103,1915,1065,2980,4751,62.72%,1510,1328,2838
"District Judge, 215th Judicial District",0104,992,238,1230,1847,66.59%,19,1177,1196
"District Judge, 215th Judicial District",0105,462,453,915,2153,42.50%,214,631,845
"District Judge, 215th Judicial District",0106,49,37,86,284,30.28%,38,41,79
"District Judge, 215th Judicial District",0107,412,441,853,1905,44.78%,131,688,819
"District Judge, 215th Judicial District",0108,1193,514,1707,3229,52.86%,867,746,1613
"District Judge, 215th Judicial District",0109,1160,430,1590,2884,55.13%,24,1521,1545
"District Judge, 215th Judicial District",0110,1465,589,2054,2853,71.99%,1194,734,1928
"District Judge, 215th Judicial District",0111,1868,848,2716,3638,74.66%,1947,601,2548
"District Judge, 215th Judicial District",0112,1262,668,1930,2894,66.69%,1292,531,1823
"District Judge, 215th Judicial District",0113,1125,590,1715,2537,67.60%,940,675,1615
"District Judge, 215th Judicial District",0114,1454,546,2000,2650,75.47%,1517,394,1911
"District Judge, 215th Judicial District",0115,598,305,903,1764,51.19%,92,782,874
"District Judge, 215th Judicial District",0116,1626,747,2373,3014,78.73%,1769,442,2211
"District Judge, 215th Judicial District",0117,398,462,860,1878,45.79%,336,472,808
"District Judge, 215th Judicial District",0118,460,148,608,743,81.83%,476,90,566
"District Judge, 215th Judicial District",0119,1924,1265,3189,4892,65.19%,2453,607,3060
"District Judge, 215th Judicial District",0120,1197,632,1829,2986,61.25%,1061,636,1697
"District Judge, 215th Judicial District",0121,193,244,437,679,64.36%,280,136,416
"District Judge, 215th Judicial District",0122,895,349,1244,2199,56.57%,37,1156,1193
"District Judge, 215th Judicial District",0123,440,350,790,1356,58.26%,221,484,705
"District Judge, 215th Judicial District",0124,3522,1281,4803,5952,80.70%,3717,839,4556
"District Judge, 215th Judicial District",0125,896,534,1430,2281,62.69%,795,567,1362
"District Judge, 215th Judicial District",0126,1630,407,2037,2799,72.78%,1711,224,1935
"District Judge, 215th Judicial District",0127,854,182,1036,1703,60.83%,701,284,985
"District Judge, 215th Judicial District",0128,936,736,1672,2257,74.08%,1029,448,1477
"District Judge, 215th Judicial District",0129,2294,1449,3743,5495,68.12%,2260,1218,3478
"District Judge, 215th Judicial District",0130,1201,523,1724,2240,76.96%,1247,355,1602
"District Judge, 215th Judicial District",0131,604,374,978,1721,56.83%,225,710,935
"District Judge, 215th Judicial District",0132,1119,397,1516,2449,61.90%,24,1440,1464
"District Judge, 215th Judicial District",0133,1083,940,2023,2605,77.66%,1189,623,1812
"District Judge, 215th Judicial District",0134,419,392,811,1444,56.16%,342,409,751
"District Judge, 215th Judicial District",0135,1424,634,2058,2750,74.84%,1291,579,1870
"District Judge, 215th Judicial District",0136,981,451,1432,2111,67.84%,48,1325,1373
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0137,305,193,498,740,67.30%,241,203,444
"District Judge, 215th Judicial District",0138,661,259,920,1749,52.60%,17,864,881
"District Judge, 215th Judicial District",0139,1290,747,2037,2746,74.18%,977,840,1817
"District Judge, 215th Judicial District",0140,1311,683,1994,3104,64.24%,283,1587,1870
"District Judge, 215th Judicial District",0141,181,143,324,872,37.16%,191,109,300
"District Judge, 215th Judicial District",0142,212,171,383,870,44.02%,87,268,355
"District Judge, 215th Judicial District",0143,2993,660,3653,4598,79.45%,2501,987,3488
"District Judge, 215th Judicial District",0144,476,204,680,1143,59.49%,10,651,661
"District Judge, 215th Judicial District",0145,663,245,908,1580,57.47%,14,875,889
"District Judge, 215th Judicial District",0146,759,614,1373,1953,70.30%,584,658,1242
"District Judge, 215th Judicial District",0147,1255,485,1740,2813,61.86%,198,1496,1694
"District Judge, 215th Judicial District",0148,908,924,1832,2467,74.26%,790,819,1609
"District Judge, 215th Judicial District",0149,2859,1322,4181,6103,68.51%,1813,2179,3992
"District Judge, 215th Judicial District",0150,539,207,746,1212,61.55%,16,711,727
"District Judge, 215th Judicial District",0151,316,148,464,846,54.85%,18,421,439
"District Judge, 215th Judicial District",0152,483,602,1085,2701,40.17%,211,811,1022
"District Judge, 215th Judicial District",0153,328,437,765,1755,43.59%,177,531,708
"District Judge, 215th Judicial District",0154,593,360,953,2133,44.68%,188,663,851
"District Judge, 215th Judicial District",0155,1957,834,2791,4087,68.29%,1828,795,2623
"District Judge, 215th Judicial District",0156,1427,457,1884,3134,60.11%,47,1760,1807
"District Judge, 215th Judicial District",0157,881,382,1263,2311,54.65%,37,1190,1227
"District Judge, 215th Judicial District",0158,1304,435,1739,3016,57.66%,23,1677,1700
"District Judge, 215th Judicial District",0159,313,187,500,976,51.23%,58,413,471
"District Judge, 215th Judicial District",0160,246,140,386,688,56.10%,8,360,368
"District Judge, 215th Judicial District",0161,395,190,585,1030,56.80%,9,557,566
"District Judge, 215th Judicial District",0162,232,262,494,1249,39.55%,131,311,442
"District Judge, 215th Judicial District",0163,778,635,1413,3054,46.27%,361,881,1242
"District Judge, 215th Judicial District",0164,505,304,809,1434,56.42%,10,777,787
"District Judge, 215th Judicial District",0165,918,557,1475,2284,64.58%,913,467,1380
"District Judge, 215th Judicial District",0166,281,311,592,1016,58.27%,185,353,538
"District Judge, 215th Judicial District",0167,5,2,7,23,30.43%,0,7,7
"District Judge, 215th Judicial District",0168,188,126,314,519,60.50%,3,297,300
"District Judge, 215th Judicial District",0169,1059,433,1492,2531,58.95%,18,1440,1458
"District Judge, 215th Judicial District",0170,481,353,834,1887,44.20%,386,384,770
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0171,514,294,808,1613,50.09%,26,750,776
"District Judge, 215th Judicial District",0172,161,147,308,600,51.33%,94,183,277
"District Judge, 215th Judicial District",0173,1798,619,2417,3105,77.84%,1809,484,2293
"District Judge, 215th Judicial District",0174,1554,767,2321,3159,73.47%,1523,613,2136
"District Judge, 215th Judicial District",0175,1064,867,1931,2506,77.06%,978,742,1720
"District Judge, 215th Judicial District",0176,626,530,1156,1581,73.12%,580,431,1011
"District Judge, 215th Judicial District",0177,672,385,1057,1478,71.52%,627,347,974
"District Judge, 215th Judicial District",0178,913,368,1281,1718,74.56%,845,310,1155
"District Judge, 215th Judicial District",0179,449,321,770,1508,51.06%,336,375,711
"District Judge, 215th Judicial District",0180,966,552,1518,2795,54.31%,29,1417,1446
"District Judge, 215th Judicial District",0181,416,514,930,1968,47.26%,250,613,863
"District Judge, 215th Judicial District",0182,1321,1081,2402,3289,73.03%,1397,734,2131
"District Judge, 215th Judicial District",0183,970,943,1913,2451,78.05%,1244,481,1725
"District Judge, 215th Judicial District",0184,214,256,470,969,48.50%,121,310,431
