Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0324,967,718,1685,2339,72.04%,1038,482,1520
"District Judge, 215th Judicial District",0325,656,397,1053,2251,46.78%,219,780,999
"District Judge, 215th Judicial District",0326,202,128,330,678,48.67%,124,170,294
"District Judge, 215th Judicial District",0327,726,244,970,1751,55.40%,14,921,935
"District Judge, 215th Judicial District",0328,344,270,614,1361,45.11%,213,370,583
"District Judge, 215th Judicial District",0329,405,307,712,1367,52.08%,201,460,661
"District Judge, 215th Judicial District",0330,590,376,966,1849,52.24%,421,476,897
"District Judge, 215th Judicial District",0331,0,1,1,0,0.00%,1,0,1
"District Judge, 215th Judicial District",0332,23,4,27,128,21.09%,9,16,25
"District Judge, 215th Judicial District",0333,1018,939,1957,2901,67.46%,1356,482,1838
"District Judge, 215th Judicial District",0334,255,114,369,755,48.87%,71,283,354
"District Judge, 215th Judicial District",0335,285,246,531,1227,43.28%,147,324,471
"District Judge, 215th Judicial District",0336,1818,588,2406,3161,76.12%,200,2123,2323
"District Judge, 215th Judicial District",0337,309,207,516,951,54.26%,78,425,503
"District Judge, 215th Judicial District",0338,1540,824,2364,4673,50.59%,624,1584,2208
"District Judge, 215th Judicial District",0339,369,373,742,1716,43.24%,140,532,672
"District Judge, 215th Judicial District",0340,1778,833,2611,3717,70.24%,1857,577,2434
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0341,246,316,562,1248,45.03%,129,403,532
"District Judge, 215th Judicial District",0342,2029,1113,3142,5718,54.95%,404,2630,3034
"District Judge, 215th Judicial District",0343,436,483,919,1904,48.27%,204,618,822
"District Judge, 215th Judicial District",0344,395,245,640,1207,53.02%,20,591,611
"District Judge, 215th Judicial District",0345,428,357,785,1708,45.96%,159,583,742
"District Judge, 215th Judicial District",0346,1,2,3,1,300.00%,3,0,3
"District Judge, 215th Judicial District",0347,1250,614,1864,3299,56.50%,1106,662,1768
"District Judge, 215th Judicial District",0348,751,280,1031,1740,59.25%,713,263,976
"District Judge, 215th Judicial District",0349,405,407,812,1315,61.75%,455,306,761
"District Judge, 215th Judicial District",0350,1112,780,1892,2906,65.11%,755,967,1722
"District Judge, 215th Judicial District",0351,2495,793,3288,4537,72.47%,2549,596,3145
"District Judge, 215th Judicial District",0352,1151,583,1734,3193,54.31%,1148,496,1644
"District Judge, 215th Judicial District",0353,1544,703,2247,3697,60.78%,358,1799,2157
"District Judge, 215th Judicial District",0354,1476,517,1993,3193,62.42%,422,1478,1900
"District Judge, 215th Judicial District",0355,700,286,986,1384,71.24%,83,872,955
"District Judge, 215th Judicial District",0356,1382,618,2000,2836,70.52%,1125,725,1850
"District Judge, 215th Judicial District",0357,1633,709,2342,3371,69.47%,1669,539,2208
"District Judge, 215th Judicial District",0358,740,464,1204,2297,52.42%,82,1077,1159
"District Judge, 215th Judicial District",0359,706,482,1188,3008,39.49%,89,1058,1147
"District Judge, 215th Judicial District",0360,969,515,1484,2190,67.76%,777,531,1308
"District Judge, 215th Judicial District",0361,135,691,826,1585,52.11%,144,547,691
"District Judge, 215th Judicial District",0362,2131,1200,3331,4952,67.27%,2339,793,3132
"District Judge, 215th Judicial District",0363,1346,687,2033,3291,61.77%,855,1101,1956
"District Judge, 215th Judicial District",0364,912,602,1514,2539,59.63%,735,688,1423
"District Judge, 215th Judicial District",0365,734,245,979,1302,75.19%,83,860,943
"District Judge, 215th Judicial District",0366,638,466,1104,2089,52.85%,226,835,1061
"District Judge, 215th Judicial District",0367,328,212,540,1019,52.99%,93,426,519
"District Judge, 215th Judicial District",0368,418,143,561,929,60.39%,143,399,542
"District Judge, 215th Judicial District",0369,107,53,160,490,32.65%,59,95,154
"District Judge, 215th Judicial District",0370,3143,1178,4321,5781,74.74%,3159,935,4094
"District Judge, 215th Judicial District",0371,226,69,295,475,62.11%,8,280,288
"District Judge, 215th Judicial District",0372,498,231,729,1215,60.00%,74,618,692
"District Judge, 215th Judicial District",0373,61,16,77,159,48.43%,1,74,75
"District Judge, 215th Judicial District",0374,139,187,326,748,43.58%,86,219,305
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0375,577,524,1101,2607,42.23%,425,608,1033
"District Judge, 215th Judicial District",0376,629,334,963,1916,50.26%,378,523,901
"District Judge, 215th Judicial District",0377,1055,707,1762,2871,61.37%,1257,377,1634
"District Judge, 215th Judicial District",0378,559,521,1080,1777,60.78%,648,382,1030
"District Judge, 215th Judicial District",0379,800,338,1138,2017,56.42%,82,1006,1088
"District Judge, 215th Judicial District",0380,2500,1183,3683,4753,77.49%,2024,1456,3480
"District Judge, 215th Judicial District",0381,957,424,1381,2715,50.87%,533,775,1308
"District Judge, 215th Judicial District",0382,276,231,507,841,60.29%,341,141,482
"District Judge, 215th Judicial District",0383,599,493,1092,2076,52.60%,325,712,1037
"District Judge, 215th Judicial District",0384,1172,505,1677,2596,64.60%,315,1285,1600
"District Judge, 215th Judicial District",0385,1099,621,1720,2175,79.08%,1282,294,1576
"District Judge, 215th Judicial District",0386,1464,460,1924,2872,66.99%,1337,485,1822
"District Judge, 215th Judicial District",0387,1369,802,2171,3727,58.25%,1431,616,2047
"District Judge, 215th Judicial District",0388,2780,1222,4002,5329,75.10%,2175,1641,3816
"District Judge, 215th Judicial District",0389,283,261,544,975,55.79%,81,416,497
"District Judge, 215th Judicial District",0390,644,368,1012,1565,64.66%,124,829,953
"District Judge, 215th Judicial District",0391,856,355,1211,1805,67.09%,759,377,1136
"District Judge, 215th Judicial District",0392,737,197,934,1441,64.82%,12,897,909
"District Judge, 215th Judicial District",0393,346,318,664,1206,55.06%,273,342,615
"District Judge, 215th Judicial District",0394,166,176,342,860,39.77%,128,193,321
"District Judge, 215th Judicial District",0395,830,491,1321,1820,72.58%,885,336,1221
"District Judge, 215th Judicial District",0396,1157,219,1376,2073,66.38%,15,1321,1336
"District Judge, 215th Judicial District",0397,163,148,311,750,41.47%,113,174,287
"District Judge, 215th Judicial District",0398,1438,840,2278,3816,59.70%,1063,1106,2169
"District Judge, 215th Judicial District",0399,896,593,1489,2542,58.58%,709,716,1425
"District Judge, 215th Judicial District",0400,1048,506,1554,2238,69.44%,1088,371,1459
"District Judge, 215th Judicial District",0401,723,284,1007,1876,53.68%,39,947,986
"District Judge, 215th Judicial District",0402,891,245,1136,1737,65.40%,48,1054,1102
"District Judge, 215th Judicial District",0403,791,527,1318,1703,77.39%,709,454,1163
"District Judge, 215th Judicial District",0404,778,552,1330,2589,51.37%,654,603,1257
"District Judge, 215th Judicial District",0405,0,1,1,0,0.00%,0,1,1
"District Judge, 215th Judicial District",0406,281,72,353,610,57.87%,3,335,338
"District Judge, 215th Judicial District",0407,1317,1000,2317,3652,63.44%,1413,722,2135
"District Judge, 215th Judicial District",0408,154,179,333,933,35.69%,133,179,312
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0409,277,289,566,1371,41.28%,161,368,529
"District Judge, 215th Judicial District",0410,337,102,439,849,51.71%,75,347,422
"District Judge, 215th Judicial District",0411,542,462,1004,2302,43.61%,272,657,929
"District Judge, 215th Judicial District",0412,193,74,267,433,61.66%,10,249,259
"District Judge, 215th Judicial District",0413,1493,525,2018,3023,66.75%,729,1159,1888
"District Judge, 215th Judicial District",0414,1452,593,2045,3457,59.16%,1410,479,1889
"District Judge, 215th Judicial District",0415,950,633,1583,2124,74.53%,1052,422,1474
"District Judge, 215th Judicial District",0416,1174,916,2090,3582,58.35%,1033,919,1952
"District Judge, 215th Judicial District",0417,777,619,1396,2465,56.63%,585,725,1310
"District Judge, 215th Judicial District",0418,1057,758,1815,3420,53.07%,630,1087,1717
"District Judge, 215th Judicial District",0419,1006,578,1584,2697,58.73%,975,522,1497
"District Judge, 215th Judicial District",0420,2174,1089,3263,4639,70.34%,2573,501,3074
"District Judge, 215th Judicial District",0421,124,92,216,467,46.25%,46,162,208
"District Judge, 215th Judicial District",0422,1456,585,2041,3345,61.02%,37,1945,1982
"District Judge, 215th Judicial District",0423,190,309,499,894,55.82%,198,267,465
"District Judge, 215th Judicial District",0424,435,1,57,592,888,66.67%,334,236,570
"District Judge, 215th Judicial District",0425,227,234,461,875,52.69%,140,290,430
"District Judge, 215th Judicial District",0426,415,283,698,1224,57.03%,377,253,630
"District Judge, 215th Judicial District",0427,325,249,574,1115,51.48%,201,326,527
"District Judge, 215th Judicial District",0428,1284,907,2191,4316,50.76%,616,1424,2040
"District Judge, 215th Judicial District",0429,1091,777,1868,3929,47.54%,331,1392,1723
"District Judge, 215th Judicial District",0430,403,335,738,1654,44.62%,145,533,678
"District Judge, 215th Judicial District",0431,819,403,1222,3188,38.33%,293,839,1132
"District Judge, 215th Judicial District",0432,311,271,582,1344,43.30%,156,398,554
"District Judge, 215th Judicial District",0433,139,106,245,573,42.76%,38,193,231
"District Judge, 215th Judicial District",0434,628,371,999,1386,72.08%,620,300,920
"District Judge, 215th Judicial District",0435,1534,768,2302,3097,74.33%,1459,660,2119
"District Judge, 215th Judicial District",0436,1334,709,2043,3012,67.83%,1170,703,1873
"District Judge, 215th Judicial District",0437,951,542,1493,2007,74.39%,1022,357,1379
"District Judge, 215th Judicial District",0438,1046,387,1433,1802,79.52%,1034,267,1301
"District Judge, 215th Judicial District",0439,1526,905,2431,3416,71.17%,1681,561,2242
"District Judge, 215th Judicial District",0440,1326,876,2202,2867,76.81%,1683,319,2002
"District Judge, 215th Judicial District",0441,698,513,1211,1616,74.94%,862,259,1121
"District Judge, 215th Judicial District",0442,1366,513,1879,2504,75.04%,1498,273,1771
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0443,335,148,483,605,79.83%,344,1,02,446
"District Judge, 215th Judicial District",0444,1258,731,1989,3172,62.70%,1152,678,1830
"District Judge, 215th Judicial District",0445,860,443,1303,1938,67.23%,783,425,1208
"District Judge, 215th Judicial District",0446,70,52,122,268,45.52%,45,70,115
"District Judge, 215th Judicial District",0447,271,108,379,583,65.01%,122,223,345
"District Judge, 215th Judicial District",0448,1239,869,2108,3081,68.42%,1184,715,1899
"District Judge, 215th Judicial District",0449,62,37,99,164,60.37%,12,80,92
"District Judge, 215th Judicial District",0450,856,537,1393,2622,53.13%,332,990,1322
"District Judge, 215th Judicial District",0451,1575,515,2090,2674,78.16%,1644,324,1968
"District Judge, 215th Judicial District",0452,1109,639,1748,2810,62.21%,1256,418,1674
"District Judge, 215th Judicial District",0453,559,475,1034,1885,54.85%,326,647,973
"District Judge, 215th Judicial District",0454,1226,311,1537,2571,59.78%,11,1484,1495
"District Judge, 215th Judicial District",0455,748,216,964,1679,57.42%,25,904,929
"District Judge, 215th Judicial District",0456,1266,593,1859,3350,55.49%,942,803,1745
"District Judge, 215th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 215th Judicial District",0458,908,271,1179,1893,62.28%,46,1092,1138
"District Judge, 215th Judicial District",0459,1637,476,2113,2950,71.63%,1624,363,1987
"District Judge, 215th Judicial District",0460,1250,402,1652,2346,70.42%,407,1173,1580
"District Judge, 215th Judicial District",0461,1958,828,2786,3733,74.63%,1784,763,2547
"District Judge, 215th Judicial District",0462,1318,865,2183,3367,64.84%,750,1279,2029
"District Judge, 215th Judicial District",0463,1124,656,1780,2962,60.09%,685,1007,1692
"District Judge, 215th Judicial District",0464,786,612,1398,2126,65.76%,918,398,1316
"District Judge, 215th Judicial District",0465,1465,702,2167,3343,64.82%,1111,976,2087
"District Judge, 215th Judicial District",0466,2052,729,2781,4072,68.30%,1504,1158,2662
"District Judge, 215th Judicial District",0467,478,229,707,1230,57.48%,159,511,670
"District Judge, 215th Judicial District",0468,984,793,1777,3354,52.98%,483,1185,1668
"District Judge, 215th Judicial District",0469,2039,638,2677,3779,70.84%,2010,497,2507
"District Judge, 215th Judicial District",0470,443,323,766,1349,56.78%,521,198,719
"District Judge, 215th Judicial District",0471,792,597,1389,2349,59.13%,1018,305,1323
"District Judge, 215th Judicial District",0472,370,337,707,1027,68.84%,331,299,630
"District Judge, 215th Judicial District",0473,914,442,1356,1827,74.22%,903,350,1253
"District Judge, 215th Judicial District",0474,1146,766,1912,3006,63.61%,1276,522,1798
"District Judge, 215th Judicial District",0475,485,473,958,1651,58.03%,393,500,893
"District Judge, 215th Judicial District",0476,809,658,1467,2412,60.82%,797,594,1391
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0477,1441,742,2183,3195,68.33%,1567,508,2075
"District Judge, 215th Judicial District",0478,1959,898,2857,4150,68.84%,1819,879,2698
"District Judge, 215th Judicial District",0479,1298,588,1886,2648,71.22%,1334,457,1791
"District Judge, 215th Judicial District",0480,936,555,1491,2267,65.77%,1008,391,1399
"District Judge, 215th Judicial District",0481,1463,852,2315,3298,70.19%,1667,521,2188
"District Judge, 215th Judicial District",0482,1963,836,2799,4129,67.79%,1870,798,2668
"District Judge, 215th Judicial District",0483,1868,759,2627,4141,63.44%,1345,1129,2474
"District Judge, 215th Judicial District",0484,2236,1008,3244,4594,70.61%,2236,841,3077
"District Judge, 215th Judicial District",0485,2421,990,3411,4838,70.50%,2453,799,3252
"District Judge, 215th Judicial District",0486,1843,805,2648,3572,74.13%,1999,513,2512
"District Judge, 215th Judicial District",0487,1005,612,1617,3318,48.73%,447,1038,1485
"District Judge, 215th Judicial District",0488,580,440,1020,1713,59.54%,320,621,941
"District Judge, 215th Judicial District",0489,783,378,1161,1823,63.69%,311,770,1081
"District Judge, 215th Judicial District",0490,876,439,1315,1944,67.64%,463,758,1221
"District Judge, 215th Judicial District",0491,667,489,1156,1782,64.87%,639,425,1064
"District Judge, 215th Judicial District",0492,1069,504,1573,2351,66.91%,789,656,1445
"District Judge, 215th Judicial District",0493,858,400,1258,1804,69.73%,778,371,1149
"District Judge, 215th Judicial District",0494,760,431,1191,2176,54.73%,139,1011,1150
"District Judge, 215th Judicial District",0495,1120,494,1614,2284,70.67%,1098,407,1505
"District Judge, 215th Judicial District",0496,496,571,1067,2086,51.15%,373,623,996
"District Judge, 215th Judicial District",0497,1123,303,1426,2226,64.06%,52,1318,1370
"District Judge, 215th Judicial District",0498,759,499,1258,2123,59.26%,499,692,1191
"District Judge, 215th Judicial District",0499,1301,517,1818,2304,78.91%,1287,404,1691
"District Judge, 215th Judicial District",0500,1507,746,2253,3175,70.96%,1484,643,2127
"District Judge, 215th Judicial District",0501,653,487,1140,1647,69.22%,419,601,1020
"District Judge, 215th Judicial District",0502,1150,332,1482,2364,62.69%,1082,303,1385
"District Judge, 215th Judicial District",0503,359,273,632,1363,46.37%,182,399,581
"District Judge, 215th Judicial District",0504,1129,538,1667,2197,75.88%,1076,475,1551
"District Judge, 215th Judicial District",0505,1209,829,2038,3654,55.77%,855,1012,1867
"District Judge, 215th Judicial District",0506,1470,801,2271,3380,67.19%,345,1836,2181
"District Judge, 215th Judicial District",0507,582,385,967,2435,39.71%,142,693,835
"District Judge, 215th Judicial District",0508,946,760,1706,3248,52.52%,529,1030,1559
"District Judge, 215th Judicial District",0509,1340,864,2204,3536,62.33%,1498,587,2085
"District Judge, 215th Judicial District",0510,1492,682,2174,3511,61.92%,929,1105,2034
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0511,0,8,8,0,0.00%,1,5,8
"District Judge, 215th Judicial District",0512,1558,1127,2885,4582,58.80%,1187,1387,2554
"District Judge, 215th Judicial District",0513,1805,507,2112,2752,78.74%,1555,439,1994
"District Judge, 215th Judicial District",0514,1988,880,2828,3941,71.71%,2021,870,2891
"District Judge, 215th Judicial District",0515,1892,708,2400,3173,75.84%,1870,393,2283
"District Judge, 215th Judicial District",0518,2179,1088,3245,4934,85.77%,1533,1519,3052
"District Judge, 215th Judicial District",0517,1208,853,1881,3320,58.05%,931,825,1758
"District Judge, 215th Judicial District",0518,1478,919,2397,3755,83.83%,1455,798,2251
"District Judge, 215th Judicial District",0519,1234,845,1879,2951,83.87%,1303,480,1783
"District Judge, 215th Judicial District",0520,1542,857,2399,4084,59.03%,380,1949,2309
"District Judge, 215th Judicial District",0521,1011,894,1705,2725,82.57%,829,782,1811
"District Judge, 215th Judicial District",0522,1171,858,1829,2882,88.20%,1320,400,1720
"District Judge, 215th Judicial District",0523,1338,889,2027,3080,88.24%,1294,578,1872
"District Judge, 215th Judicial District",0524,1237,875,1912,3292,58.08%,540,1279,1819
"District Judge, 215th Judicial District",0525,1380,810,1990,2947,87.53%,373,1502,1875
"District Judge, 215th Judicial District",0528,187,171,338,731,48.24%,81,239,320
"District Judge, 215th Judicial District",0527,80,24,104,589,18.28%,44,54,98
"District Judge, 215th Judicial District",0528,38,12,48,92,52.17%,3,44,47
"District Judge, 215th Judicial District",0529,1987,441,2428,3818,87.15%,1973,334,2307
"District Judge, 215th Judicial District",0530,259,235,494,1198,41.30%,92,385,457
"District Judge, 215th Judicial District",0531,872,113,785,1094,71.78%,588,148,738
"District Judge, 215th Judicial District",0532,452,184,838,1039,81.21%,415,188,803
"District Judge, 215th Judicial District",0533,317,207,524,1089,49.02%,254,241,495
"District Judge, 215th Judicial District",0534,1858,875,2333,3795,81.48%,1803,800,2203
"District Judge, 215th Judicial District",0535,80,94,174,421,41.33%,59,102,181
"District Judge, 215th Judicial District",0538,1332,1195,2527,4578,55.22%,878,1513,2389
"District Judge, 215th Judicial District",0537,1454,823,2277,2971,78.84%,1818,533,2149
"District Judge, 215th Judicial District",0538,433,237,870,1282,52.28%,15,831,848
"District Judge, 215th Judicial District",0539,28,209,235,71,330.99%,45,185,210
"District Judge, 215th Judicial District",0540,888,380,1048,1491,70.15%,447,479,928
"District Judge, 215th Judicial District",0541,1824,779,2803,4183,82.23%,328,2150,2478
"District Judge, 215th Judicial District",0542,997,501,1498,2525,59.33%,81,1373,1454
"District Judge, 215th Judicial District",0543,287,378,885,1528,43.52%,189,428,817
"District Judge, 215th Judicial District",0544,92,53,145,318,45.80%,17,124,141
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0545,1314,857,2171,3339,65.02%,982,1069,2051
"District Judge, 215th Judicial District",0546,4,4,8,30,26.67%,2,6,8
"District Judge, 215th Judicial District",0547,877,647,1524,2408,63.29%,1001,437,1438
"District Judge, 215th Judicial District",0548,720,476,1196,2129,56.18%,510,624,1134
"District Judge, 215th Judicial District",0549,944,586,1530,2530,60.47%,197,1271,1468
"District Judge, 215th Judicial District",0550,1134,629,1763,2847,61.92%,837,856,1693
"District Judge, 215th Judicial District",0551,3088,1527,4615,6135,75.22%,3234,1129,4363
"District Judge, 215th Judicial District",0552,1621,844,2465,3241,76.06%,1989,356,2345
"District Judge, 215th Judicial District",0553,1465,951,2416,4355,55.48%,983,1318,2301
"District Judge, 215th Judicial District",0554,562,340,902,1731,52.11%,132,706,838
"District Judge, 215th Judicial District",0555,597,447,1044,2119,49.27%,170,817,987
"District Judge, 215th Judicial District",0556,584,421,1005,2249,44.69%,202,751,953
"District Judge, 215th Judicial District",0557,822,556,1378,2726,50.55%,418,845,1263
"District Judge, 215th Judicial District",0558,1588,824,2412,4084,59.06%,730,1550,2280
"District Judge, 215th Judicial District",0559,1787,899,2686,4633,57.98%,603,1929,2532
"District Judge, 215th Judicial District",0560,172,289,461,1176,39.20%,81,344,425
"District Judge, 215th Judicial District",0561,837,759,1596,3033,52.62%,838,673,1511
"District Judge, 215th Judicial District",0562,201,146,347,645,53.80%,26,305,331
"District Judge, 215th Judicial District",0563,1699,415,2114,2969,71.20%,1584,390,1974
"District Judge, 215th Judicial District",0564,1150,713,1863,3096,60.17%,468,1236,1704
"District Judge, 215th Judicial District",0565,315,194,509,1373,37.07%,86,389,475
"District Judge, 215th Judicial District",0566,1122,478,1600,2950,54.24%,406,1122,1528
"District Judge, 215th Judicial District",0567,672,394,1066,2198,48.50%,273,695,968
"District Judge, 215th Judicial District",0568,1628,837,2465,3487,70.69%,1541,722,2263
"District Judge, 215th Judicial District",0569,1294,865,2159,3249,66.45%,1129,844,1973
"District Judge, 215th Judicial District",0570,525,409,934,1473,63.41%,394,440,834
"District Judge, 215th Judicial District",0571,333,312,645,1758,36.69%,189,407,596
"District Judge, 215th Judicial District",0572,1283,574,1857,2998,61.94%,836,907,1743
"District Judge, 215th Judicial District",0573,577,368,945,1618,58.41%,9,912,921
"District Judge, 215th Judicial District",0574,98,79,177,391,45.27%,17,147,164
"District Judge, 215th Judicial District",0575,27,9,36,79,45.57%,32,3,35
"District Judge, 215th Judicial District",0576,1050,552,1602,2671,59.98%,44,1504,1548
"District Judge, 215th Judicial District",0577,231,113,344,573,60.03%,182,141,323
"District Judge, 215th Judicial District",0578,745,553,1298,1689,76.85%,773,395,1168
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0579,487,351,838,1806,46.40%,175,611,786
"District Judge, 215th Judicial District",0580,429,146,575,1027,55.99%,13,549,562
"District Judge, 215th Judicial District",0581,510,162,672,1041,64.55%,18,628,646
"District Judge, 215th Judicial District",0582,614,256,870,1613,53.94%,45,794,839
"District Judge, 215th Judicial District",0583,544,127,671,1248,53.77%,12,643,655
"District Judge, 215th Judicial District",0584,392,139,531,971,54.69%,29,497,526
"District Judge, 215th Judicial District",0585,934,304,1238,2403,51.52%,29,1170,1199
"District Judge, 215th Judicial District",0585,1306,1189,2495,4230,58.98%,1457,927,2384
"District Judge, 215th Judicial District",0587,933,465,1398,2174,64.31%,477,867,1344
"District Judge, 215th Judicial District",0588,1536,871,2407,3468,69.41%,1654,634,2288
"District Judge, 215th Judicial District",0589,1033,738,1771,3130,56.58%,888,796,1684
"District Judge, 215th Judicial District",0590,1158,463,1621,2136,75.89%,1218,309,1527
"District Judge, 215th Judicial District",0591,420,449,869,2114,41.11%,211,602,813
"District Judge, 215th Judicial District",0592,370,288,658,1258,52.31%,141,487,628
"District Judge, 215th Judicial District",0593,1148,999,2147,4059,52.89%,925,1108,2033
"District Judge, 215th Judicial District",0594,1031,535,1566,2361,66.33%,424,1076,1500
"District Judge, 215th Judicial District",0595,497,380,877,1647,53.25%,133,712,845
"District Judge, 215th Judicial District",0596,945,690,1635,2848,57.41%,823,740,1563
"District Judge, 215th Judicial District",0597,1067,719,1786,3267,54.67%,582,1125,1707
"District Judge, 215th Judicial District",0598,335,103,438,724,60.50%,324,87,411
"District Judge, 215th Judicial District",0599,1895,866,2761,4135,66.77%,886,1762,2648
"District Judge, 215th Judicial District",0600,1383,869,2252,3820,58.95%,734,1399,2133
"District Judge, 215th Judicial District",0601,2028,858,2886,3990,72.33%,2119,640,2759
"District Judge, 215th Judicial District",0602,562,296,858,1237,69.36%,579,245,824
"District Judge, 215th Judicial District",0603,1437,1163,2600,3917,66.38%,1507,988,2495
"District Judge, 215th Judicial District",0604,1444,528,1972,2910,67.77%,1581,296,1877
"District Judge, 215th Judicial District",0605,2227,889,3116,5251,59.34%,700,2273,2973
"District Judge, 215th Judicial District",0606,420,122,542,1053,51.47%,5,518,523
"District Judge, 215th Judicial District",0607,194,118,312,731,42.68%,20,278,298
"District Judge, 215th Judicial District",0608,245,290,535,1256,42.60%,193,301,494
"District Judge, 215th Judicial District",0609,1364,844,2208,3261,67.71%,1314,745,2059
"District Judge, 215th Judicial District",0610,403,398,801,1825,43.89%,328,418,746
"District Judge, 215th Judicial District",0611,1120,301,1421,2450,58.00%,33,1352,1385
"District Judge, 215th Judicial District",0612,1700,579,2279,3272,69.65%,1660,467,2127
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0613,495,309,804,1450,55.45%,119,653,772
"District Judge, 215th Judicial District",0614,1631,812,2443,3932,62.13%,764,1560,2324
"District Judge, 215th Judicial District",0615,931,404,1335,1926,69.31%,765,503,1268
"District Judge, 215th Judicial District",0616,1352,970,2322,3378,68.74%,1545,638,2183
"District Judge, 215th Judicial District",0617,1318,849,2167,3546,61.11%,741,1333,2074
"District Judge, 215th Judicial District",0618,1920,1021,2941,5344,55.03%,1234,1579,2813
"District Judge, 215th Judicial District",0619,2133,857,2990,4266,70.09%,2153,678,2831
"District Judge, 215th Judicial District",0620,2382,856,3238,5271,61.43%,1495,1527,3022
"District Judge, 215th Judicial District",0621,397,203,600,1173,51.15%,277,289,566
"District Judge, 215th Judicial District",0622,1722,829,2551,4305,59.26%,1418,992,2410
"District Judge, 215th Judicial District",0623,1708,626,2334,3481,67.05%,1426,757,2183
"District Judge, 215th Judicial District",0624,9,0,9,16,56.25%,5,4,9
"District Judge, 215th Judicial District",0625,862,454,1316,1796,73.27%,709,492,1201
"District Judge, 215th Judicial District",0626,1148,655,1803,2838,63.53%,860,827,1687
"District Judge, 215th Judicial District",0627,795,647,1442,2964,48.65%,395,956,1351
"District Judge, 215th Judicial District",0628,292,456,748,1600,46.75%,298,406,704
"District Judge, 215th Judicial District",0629,175,127,302,629,48.01%,20,275,295
"District Judge, 215th Judicial District",0630,2018,535,2553,3190,80.03%,208,2251,2459
"District Judge, 215th Judicial District",0631,1489,392,1881,2733,68.83%,1293,481,1774
"District Judge, 215th Judicial District",0632,12,9,21,231,9.09%,5,13,18
"District Judge, 215th Judicial District",0633,1782,678,2460,3257,75.53%,1724,607,2331
"District Judge, 215th Judicial District",0634,1020,734,1754,2922,60.03%,1044,617,1661
"District Judge, 215th Judicial District",0635,1326,706,2032,3280,61.95%,1498,439,1937
"District Judge, 215th Judicial District",0636,1791,974,2765,3881,71.24%,2298,348,2646
"District Judge, 215th Judicial District",0637,739,509,1248,2471,50.51%,281,854,1135
"District Judge, 215th Judicial District",0638,740,684,1424,2078,68.53%,87,1274,1361
"District Judge, 215th Judicial District",0639,828,711,1539,2501,61.54%,1174,294,1468
"District Judge, 215th Judicial District",0640,1382,723,2105,3548,59.33%,1166,833,1999
"District Judge, 215th Judicial District",0641,1265,878,2143,3375,63.50%,1269,771,2040
"District Judge, 215th Judicial District",0642,871,447,1318,1779,74.09%,1042,204,1246
"District Judge, 215th Judicial District",0643,2157,994,3151,5310,59.34%,1161,1829,2990
"District Judge, 215th Judicial District",0644,2123,1204,3327,5261,63.24%,2015,1119,3134
"District Judge, 215th Judicial District",0645,1639,895,2534,4035,62.80%,1126,1252,2378
"District Judge, 215th Judicial District",0646,708,456,1164,2163,53.81%,332,764,1096
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Shortreed,DEM Elaine H. Palmer,Totals
"District Judge, 215th Judicial District",0647,1770,1020,2790,5593,49.88%,666,1902,2568
"District Judge, 215th Judicial District",0648,1590,668,2258,3197,70.63%,1533,614,2147
