Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Baytown, Proposition No. 6",0012,227,133,360,716,50.28%,160,56,216
"City of Baytown, Proposition No. 6",0013,1133,439,1572,2808,55.98%,814,286,1100
"City of Baytown, Proposition No. 6",0028,1436,459,1895,2768,68.46%,991,284,1275
"City of Baytown, Proposition No. 6",0063,1,0,1,0,0.00%,0,0,0
"City of Baytown, Proposition No. 6",0099,568,311,879,2040,43.09%,439,125,564
"City of Baytown, Proposition No. 6",0100,427,324,751,1754,42.82%,356,133,489
"City of Baytown, Proposition No. 6",0102,493,267,760,1910,39.79%,312,103,415
"City of Baytown, Proposition No. 6",0103,287,82,369,664,55.57%,177,52,229
"City of Baytown, Proposition No. 6",0248,408,405,813,2122,38.31%,314,120,434
"City of Baytown, Proposition No. 6",0249,1011,477,1488,2636,56.45%,783,257,1040
"City of Baytown, Proposition No. 6",0250,0,0,0,0,0.00%,0,0,0
"City of Baytown, Proposition No. 6",0386,599,186,785,1249,62.85%,400,137,537
"City of Baytown, Proposition No. 6",0387,2,17,19,7,271.43%,8,2,10
"City of Baytown, Proposition No. 6",0414,1407,577,1984,3360,59.05%,1010,347,1357
"City of Baytown, Proposition No. 6",0456,1168,556,1724,3091,55.77%,841,252,1093
"City of Baytown, Proposition No. 6",0532,452,184,636,1039,61.21%,317,119,436
"City of Baytown, Proposition No. 6",0533,317,207,524,1069,49.02%,246,84,330
"City of Baytown, Proposition No. 6",0739,905,448,1353,2526,53.56%,647,206,853
"City of Baytown, Proposition No. 6",0740,43,39,82,148,55.41%,29,10,39
"City of Baytown, Proposition No. 6",Totals:,10884,5111,15995,29907,,7844,2573,10417
