Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Nathan Hecht,DEM Michele Petty,LIB Mark Ash,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 6",0069,218,284,502,1303,38.53%,72,370,6,3,451
"Justice, Supreme Court, Place 6",0070,1640,726,2366,3142,75.30%,1379,755,72,30,2236
"Justice, Supreme Court, Place 6",0071,1430,948,2378,3662,64.94%,1108,999,125,28,2260
"Justice, Supreme Court, Place 6",0072,442,562,1004,1882,53.35%,252,639,24,21,936
"Justice, Supreme Court, Place 6",0073,500,496,996,1494,66.67%,536,355,27,21,939
"Justice, Supreme Court, Place 6",0074,2217,530,2747,3632,75.63%,2027,501,53,21,2602
"Justice, Supreme Court, Place 6",0075,487,370,857,1329,64.48%,328,432,31,17,808
"Justice, Supreme Court, Place 6",0076,814,559,1383,2328,59.41%,706,571,20,16,1313
"Justice, Supreme Court, Place 6",0077,169,81,250,565,44.25%,51,183,3,1,238
"Justice, Supreme Court, Place 6",0078,360,344,704,1479,47.60%,192,424,9,12,637
"Justice, Supreme Court, Place 6",0079,511,717,1228,2959,41.50%,212,893,6,22,1133
"Justice, Supreme Court, Place 6",0080,1159,481,1640,2712,60.47%,316,1198,20,28,1562
"Justice, Supreme Court, Place 6",0081,540,309,849,1839,46.17%,250,518,9,14,791
"Justice, Supreme Court, Place 6",0082,1353,816,2169,3284,66.05%,1524,493,46,27,2090
"Justice, Supreme Court, Place 6",0083,2532,1181,3813,5598,68.11%,1701,1889,72,30,3692
"Justice, Supreme Court, Place 6",0084,445,346,791,1389,56.95%,526,212,13,14,765
"Justice, Supreme Court, Place 6",0085,734,548,1282,2079,61.66%,23,1195,10,11,1239
"Justice, Supreme Court, Place 6",0086,1055,689,1744,2637,66.14%,742,801,72,21,1636
"Justice, Supreme Court, Place 6",0087,1224,861,2085,2749,75.85%,1292,593,44,11,1940
"Justice, Supreme Court, Place 6",0088,235,162,397,678,58.55%,236,135,8,6,385
"Justice, Supreme Court, Place 6",0089,344,454,798,1104,72.28%,463,258,21,8,750
"Justice, Supreme Court, Place 6",0090,1499,958,2457,3571,68.80%,1699,543,68,38,2348
"Justice, Supreme Court, Place 6",0091,466,333,799,1248,64.02%,458,283,24,13,778
"Justice, Supreme Court, Place 6",0092,1105,534,1639,2228,73.56%,1056,441,40,20,1557
"Justice, Supreme Court, Place 6",0093,782,643,1425,3295,43.25%,490,800,30,19,1339
"Justice, Supreme Court, Place 6",0094,148,104,252,537,46.93%,46,181,2,7,236
"Justice, Supreme Court, Place 6",0095,1585,571,2357,3179,74.14%,1534,626,61,21,2242
"Justice, Supreme Court, Place 6",0096,365,237,602,1241,48.51%,52,523,6,3,584
"Justice, Supreme Court, Place 6",0097,2395,764,3159,4566,69.19%,2205,738,61,30,3034
"Justice, Supreme Court, Place 6",0098,875,607,1482,2403,61.67%,1150,233,36,15,1434
"Justice, Supreme Court, Place 6",0099,568,311,879,2040,43.09%,374,444,16,12,846
"Justice, Supreme Court, Place 6",0100,427,324,751,1754,42.82%,302,385,22,9,718
"Justice, Supreme Court, Place 6",0101,204,186,390,941,41.45%,80,294,3,4,381
"Justice, Supreme Court, Place 6",0102,493,268,761,1910,39.84%,183,533,11,7,734
"Justice, Supreme Court, Place 6",0103,1915,1065,2980,4751,62.72%,1485,1317,37,32,2871
"Justice, Supreme Court, Place 6",0104,993,238,1231,1847,66.65%,20,1173,4,3,1200
"Justice, Supreme Court, Place 6",0105,462,453,915,2153,42.50%,215,612,18,7,852
"Justice, Supreme Court, Place 6",0106,49,37,86,284,30.28%,38,40,0,2,80
"Justice, Supreme Court, Place 6",0107,412,441,853,1905,44.78%,128,671,7,10,816
"Justice, Supreme Court, Place 6",0108,1194,514,1708,3229,52.90%,856,733,26,16,1631
"Justice, Supreme Court, Place 6",0109,1161,430,1591,2884,55.17%,26,1503,7,8,1544
"Justice, Supreme Court, Place 6",0110,1465,589,2054,2853,71.99%,1180,732,40,18,1970
"Justice, Supreme Court, Place 6",0111,1869,848,2717,3638,74.68%,1916,576,71,32,2595
"Justice, Supreme Court, Place 6",0112,1262,668,1930,2894,66.69%,1286,495,61,24,1866
"Justice, Supreme Court, Place 6",0113,1125,590,1715,2537,67.60%,923,679,31,14,1647
"Justice, Supreme Court, Place 6",0114,1457,546,2003,2650,75.58%,1508,377,37,20,1942
"Justice, Supreme Court, Place 6",0115,598,305,903,1764,51.19%,97,767,7,8,879
"Justice, Supreme Court, Place 6",0116,1628,747,2375,3014,78.80%,1757,465,40,15,2277
"Justice, Supreme Court, Place 6",0117,398,462,860,1878,45.79%,325,454,19,19,817
"Justice, Supreme Court, Place 6",0118,460,148,608,743,81.83%,477,96,9,4,586
"Justice, Supreme Court, Place 6",0119,1924,1265,3189,4892,65.19%,2419,597,55,27,3098
"Justice, Supreme Court, Place 6",0120,1200,632,1832,2986,61.35%,1046,630,46,14,1736
"Justice, Supreme Court, Place 6",0121,193,244,437,679,64.36%,279,129,5,7,420
"Justice, Supreme Court, Place 6",0122,895,349,1244,2199,56.57%,30,1155,5,5,1195
"Justice, Supreme Court, Place 6",0123,441,350,791,1356,58.33%,210,491,29,23,753
"Justice, Supreme Court, Place 6",0124,3523,1281,4804,5952,80.71%,3676,847,91,24,4638
"Justice, Supreme Court, Place 6",0125,897,534,1431,2281,62.74%,776,548,38,17,1379
"Justice, Supreme Court, Place 6",0126,1630,407,2037,2799,72.78%,1691,223,37,15,1966
"Justice, Supreme Court, Place 6",0127,854,182,1036,1703,60.83%,696,271,19,13,999
"Justice, Supreme Court, Place 6",0128,936,736,1672,2257,74.08%,1035,454,30,23,1542
"Justice, Supreme Court, Place 6",0129,2296,1449,3745,5495,68.15%,2212,1211,111,38,3572
"Justice, Supreme Court, Place 6",0130,1204,523,1727,2240,77.10%,1243,371,23,15,1652
