Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Nathan Hecht,DEM Michele Petty,LIB Mark Ash,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 6",0293,520,557,1177,1733,67.92%,501,572,29,16,1118
"Justice, Supreme Court, Place 6",0294,989,298,1287,2107,61.08%,8,1241,4,1,1254
"Justice, Supreme Court, Place 6",0295,315,189,504,862,58.47%,5,485,1,3,494
"Justice, Supreme Court, Place 6",0296,603,432,1035,1693,61.13%,553,362,24,13,952
"Justice, Supreme Court, Place 6",0297,579,445,1024,1978,51.77%,355,566,18,18,957
"Justice, Supreme Court, Place 6",0298,849,475,1324,2083,63.56%,681,499,49,28,1257
"Justice, Supreme Court, Place 6",0299,328,213,541,1231,43.95%,158,335,7,9,509
"Justice, Supreme Court, Place 6",0300,3017,922,3939,5040,78.15%,2901,752,93,22,3768
"Justice, Supreme Court, Place 6",0301,450,655,1105,2397,46.10%,378,639,26,13,1056
"Justice, Supreme Court, Place 6",0302,713,635,1348,2724,49.49%,679,564,24,13,1280
"Justice, Supreme Court, Place 6",0303,1775,755,2530,3172,79.76%,1963,399,34,12,2408
"Justice, Supreme Court, Place 6",0304,970,648,1618,2266,71.40%,886,560,37,23,1506
"Justice, Supreme Court, Place 6",0305,1321,858,2179,3621,60.18%,754,1298,29,21,2102
"Justice, Supreme Court, Place 6",0306,1014,323,1337,1847,72.39%,931,305,24,13,1273
"Justice, Supreme Court, Place 6",0307,1242,876,2118,2931,72.26%,1390,538,69,29,2026
"Justice, Supreme Court, Place 6",0308,444,238,682,1266,53.87%,169,464,14,7,654
"Justice, Supreme Court, Place 6",0309,1386,612,1998,2529,79.00%,1545,308,35,13,1901
"Justice, Supreme Court, Place 6",0310,519,348,967,1437,67.29%,612,272,19,12,915
"Justice, Supreme Court, Place 6",0311,862,699,1561,2997,52.09%,649,717,28,24,1418
"Justice, Supreme Court, Place 6",0312,1601,718,2319,3669,63.21%,1225,911,45,24,2205
"Justice, Supreme Court, Place 6",0313,22,1,23,60,38.33%,10,8,2,0,20
"Justice, Supreme Court, Place 6",0314,2496,1221,3717,5225,71.14%,2132,1359,74,22,3587
"Justice, Supreme Court, Place 6",0315,711,479,1190,1618,73.55%,688,389,20,18,1115
"Justice, Supreme Court, Place 6",0316,682,411,1093,1522,71.81%,572,401,22,23,1018
"Justice, Supreme Court, Place 6",0317,555,336,891,1469,60.65%,244,586,11,12,853
"Justice, Supreme Court, Place 6",0318,1709,611,2320,3531,65.70%,86,2134,16,9,2245
"Justice, Supreme Court, Place 6",0319,965,290,1255,2081,60.31%,65,1124,9,5,1203
"Justice, Supreme Court, Place 6",0320,464,300,764,1505,50.76%,310,391,15,9,725
"Justice, Supreme Court, Place 6",0321,442,305,748,2029,36.87%,229,457,13,9,708
"Justice, Supreme Court, Place 6",0322,397,237,634,1322,47.96%,148,445,9,13,615
"Justice, Supreme Court, Place 6",0323,483,332,815,1719,47.41%,320,401,27,11,759
"Justice, Supreme Court, Place 6",0324,967,718,1685,2339,72.04%,1039,503,29,24,1595
"Justice, Supreme Court, Place 6",0325,658,397,1055,2251,46.87%,213,775,15,10,1013
"Justice, Supreme Court, Place 6",0326,202,128,330,678,48.67%,125,167,9,6,307
"Justice, Supreme Court, Place 6",0327,725,244,970,1751,55.40%,15,915,6,3,939
"Justice, Supreme Court, Place 6",0328,345,270,615,1361,45.19%,218,359,12,5,594
"Justice, Supreme Court, Place 6",0329,405,307,712,1367,52.08%,204,440,12,10,666
"Justice, Supreme Court, Place 6",0330,591,376,967,1849,52.30%,408,469,30,9,916
"Justice, Supreme Court, Place 6",0331,0,1,1,0,0.00%,1,0,0,0,1
"Justice, Supreme Court, Place 6",0332,24,4,28,128,21.88%,9,16,1,0,26
"Justice, Supreme Court, Place 6",0333,1019,939,1958,2901,67.49%,1333,472,52,31,1888
"Justice, Supreme Court, Place 6",0334,255,114,369,755,48.87%,71,284,4,2,361
"Justice, Supreme Court, Place 6",0335,285,246,531,1227,43.28%,142,322,10,3,477
"Justice, Supreme Court, Place 6",0336,1825,588,2413,3161,76.34%,183,2119,36,13,2351
"Justice, Supreme Court, Place 6",0337,310,207,517,951,54.36%,79,412,7,4,502
"Justice, Supreme Court, Place 6",0338,1543,824,2367,4673,50.65%,612,1563,31,18,2224
"Justice, Supreme Court, Place 6",0339,369,373,742,1716,43.24%,137,510,18,17,682
"Justice, Supreme Court, Place 6",0340,1779,833,2612,3717,70.27%,1836,545,66,45,2492
"Justice, Supreme Court, Place 6",0341,248,318,582,1248,45.03%,127,390,9,10,538
"Justice, Supreme Court, Place 6",0342,2031,1113,3144,5718,54.98%,401,2589,37,24,3051
"Justice, Supreme Court, Place 6",0343,438,483,919,1904,48.27%,209,598,17,18,840
"Justice, Supreme Court, Place 6",0344,395,245,840,1207,53.02%,19,590,3,1,813
"Justice, Supreme Court, Place 6",0345,430,357,787,1708,48.08%,148,573,22,8,751
"Justice, Supreme Court, Place 6",0348,1,2,3,1,300.00%,3,0,0,0,3
"Justice, Supreme Court, Place 6",0347,1250,814,1884,3299,58.50%,1072,852,48,20,1792
"Justice, Supreme Court, Place 6",0348,753,280,1033,1740,59.37%,704,285,18,7,994
"Justice, Supreme Court, Place 6",0349,407,407,814,1315,81.90%,445,303,25,8,781
"Justice, Supreme Court, Place 6",0350,1120,780,1900,2908,85.38%,749,959,58,18,1784
"Justice, Supreme Court, Place 6",0351,2495,793,3288,4537,72.47%,2497,809,58,24,3188
"Justice, Supreme Court, Place 6",0352,1152,583,1735,3193,54.34%,1128,488,48,12,1874
"Justice, Supreme Court, Place 6",0353,1544,703,2247,3897,80.78%,348,1784,10,21,2183
"Justice, Supreme Court, Place 6",0354,1477,517,1994,3193,82.45%,425,1448,22,18,1911
"Justice, Supreme Court, Place 6",0355,703,288,989,1384,71.48%,81,889,8,3,981
"Justice, Supreme Court, Place 6",0358,1383,818,2001,2838,70.58%,1095,723,82,17,1897
"Justice, Supreme Court, Place 6",0357,1833,709,2342,3371,89.47%,1827,527,75,21,2250
"Justice, Supreme Court, Place 6",0358,742,484,1208,2297,52.50%,80,1084,13,9,1188
"Justice, Supreme Court, Place 6",0359,707,482,1189,3008,39.53%,82,1054,3,7,1148
"Justice, Supreme Court, Place 6",0380,973,515,1488,2190,87.95%,755,559,47,18,1377
"Justice, Supreme Court, Place 6",0381,138,591,827,1585,52.18%,134,555,35,15,739
"Justice, Supreme Court, Place 6",0382,2132,1200,3332,4952,87.29%,2307,781,88,38,3212
"Justice, Supreme Court, Place 6",0383,1348,887,2035,3291,81.84%,852,1077,34,9,1972
"Justice, Supreme Court, Place 6",0384,913,802,1515,2539,59.87%,721,879,35,13,1448
"Justice, Supreme Court, Place 6",0385,735,245,980,1302,75.27%,72,858,7,12,949
"Justice, Supreme Court, Place 6",0388,838,488,1104,2089,52.85%,217,819,12,12,1080
"Justice, Supreme Court, Place 6",0387,328,212,540,1019,52.99%,87,412,13,13,525
"Justice, Supreme Court, Place 6",0388,418,143,581,929,80.39%,137,404,5,3,549
"Justice, Supreme Court, Place 6",0389,108,53,181,490,32.88%,54,90,8,7,157
"Justice, Supreme Court, Place 6",0370,3145,1178,4323,5781,74.78%,3120,927,89,28,4182
"Justice, Supreme Court, Place 6",0371,228,89,295,475,82.11%,7,278,1,0,288
"Justice, Supreme Court, Place 6",0372,499,231,730,1215,80.08%,78,815,8,3,702
"Justice, Supreme Court, Place 6",0373,81,18,77,159,48.43%,1,73,0,1,75
"Justice, Supreme Court, Place 6",0374,139,187,328,748,43.58%,94,207,7,2,310
"Justice, Supreme Court, Place 6",0375,578,524,1102,2607,42.27%,418,595,18,18,1049
"Justice, Supreme Court, Place 6",0376,530,334,964,1916,50.31%,376,514,11,16,917
"Justice, Supreme Court, Place 6",0377,1055,707,1762,2871,61.37%,1237,361,53,19,1670
"Justice, Supreme Court, Place 6",0378,559,521,1080,1777,60.78%,629,369,26,20,1044
"Justice, Supreme Court, Place 6",0379,802,338,1140,2017,56.52%,72,1009,13,2,1096
"Justice, Supreme Court, Place 6",0380,2505,1183,3688,4753,77.59%,1971,1472,85,27,3555
"Justice, Supreme Court, Place 6",0381,957,424,1381,2715,50.87%,521,762,15,22,1320
"Justice, Supreme Court, Place 6",0382,275,231,507,841,60.29%,336,139,8,7,490
"Justice, Supreme Court, Place 6",0383,601,493,1094,2076,52.70%,318,706,17,11,1052
"Justice, Supreme Court, Place 6",0384,1176,505,1681,2596,64.75%,328,1285,9,8,1630
"Justice, Supreme Court, Place 6",0385,1099,621,1720,2175,79.08%,1270,295,37,15,1617
"Justice, Supreme Court, Place 6",0386,1466,460,1926,2872,67.06%,1336,494,26,15,1871
"Justice, Supreme Court, Place 6",0387,1369,802,2171,3727,58.25%,1400,619,37,21,2077
"Justice, Supreme Court, Place 6",0388,2780,1222,4002,5329,75.10%,2145,1634,74,18,3871
"Justice, Supreme Court, Place 6",0389,290,251,551,975,56.51%,78,414,27,9,528
"Justice, Supreme Court, Place 6",0390,651,368,1019,1565,65.11%,105,846,21,13,985
"Justice, Supreme Court, Place 6",0391,856,355,1211,1805,67.09%,728,385,30,15,1158
"Justice, Supreme Court, Place 6",0392,737,197,934,1441,64.82%,4,897,4,6,911
"Justice, Supreme Court, Place 6",0393,346,318,664,1206,55.06%,276,335,17,7,635
"Justice, Supreme Court, Place 6",0394,166,176,342,860,39.77%,117,188,11,8,324
"Justice, Supreme Court, Place 6",0395,830,491,1321,1820,72.58%,856,330,45,18,1249
"Justice, Supreme Court, Place 6",0396,1158,219,1377,2073,66.43%,13,1314,5,6,1338
"Justice, Supreme Court, Place 6",0397,163,148,311,750,41.47%,112,168,4,5,289
"Justice, Supreme Court, Place 6",0398,1443,840,2283,3816,59.83%,1056,1077,48,22,2203
"Justice, Supreme Court, Place 6",0399,897,593,1490,2542,58.62%,691,717,27,14,1449
"Justice, Supreme Court, Place 6",0400,1052,506,1558,2238,69.62%,1050,394,37,11,1492
"Justice, Supreme Court, Place 6",0401,724,284,1008,1876,53.73%,36,938,7,3,984
"Justice, Supreme Court, Place 6",0402,892,245,1137,1737,65.46%,43,1055,6,7,1111
"Justice, Supreme Court, Place 6",0403,792,527,1319,1703,77.45%,731,455,30,12,1228
"Justice, Supreme Court, Place 6",0404,778,552,1330,2589,51.37%,638,600,19,15,1272
"Justice, Supreme Court, Place 6",0405,0,1,1,0,0.00%,0,1,0,0,1
"Justice, Supreme Court, Place 6",0406,282,72,354,610,58.03%,3,331,2,3,339
"Justice, Supreme Court, Place 6",0407,1320,1000,2320,3652,63.53%,1367,735,57,23,2182
"Justice, Supreme Court, Place 6",0408,154,179,333,933,35.69%,132,169,10,7,318
"Justice, Supreme Court, Place 6",0409,277,289,566,1371,41.28%,157,350,10,9,526
"Justice, Supreme Court, Place 6",0410,337,102,439,849,51.71%,73,344,4,4,425
"Justice, Supreme Court, Place 6",0411,542,462,1004,2302,43.61%,270,643,10,15,938
"Justice, Supreme Court, Place 6",0412,193,74,267,433,61.66%,10,246,0,3,259
"Justice, Supreme Court, Place 6",0413,1493,525,2018,3023,66.75%,719,1161,28,18,1926
"Justice, Supreme Court, Place 6",0414,1453,593,2046,3457,59.18%,1387,493,44,11,1935
"Justice, Supreme Court, Place 6",0415,951,633,1584,2124,74.58%,1029,420,35,25,1509
"Justice, Supreme Court, Place 6",0416,1181,91,5,2097,3582,58.54%,999,912,56,27,1994
"Justice, Supreme Court, Place 6",0417,777,619,1396,2465,56.63%,572,715,31,12,1330
"Justice, Supreme Court, Place 6",0418,1059,758,1817,3420,53.13%,625,1059,29,22,1735
"Justice, Supreme Court, Place 6",0419,1006,578,1584,2697,58.73%,954,519,26,14,1513
"Justice, Supreme Court, Place 6",0420,2174,1089,3263,4639,70.34%,2521,507,72,29,3129
"Justice, Supreme Court, Place 6",0421,124,92,216,467,46.25%,43,157,5,2,207
"Justice, Supreme Court, Place 6",0422,1456,585,2041,3345,61.02%,41,1936,5,6,1988
"Justice, Supreme Court, Place 6",0423,190,309,499,894,55.82%,193,267,2,7,469
"Justice, Supreme Court, Place 6",0424,435,157,592,888,66.67%,323,231,20,7,581
"Justice, Supreme Court, Place 6",0425,228,234,462,875,52.80%,138,287,10,4,439
"Justice, Supreme Court, Place 6",0426,415,283,698,1224,57.03%,361,264,12,10,647
"Justice, Supreme Court, Place 6",0427,325,249,574,1115,51.48%,189,330,13,5,537
"Justice, Supreme Court, Place 6",0428,1284,907,2191,4316,50.76%,614,1412,17,15,2058
"Justice, Supreme Court, Place 6",0429,1093,777,1870,3929,47.59%,317,1380,28,11,1736
"Justice, Supreme Court, Place 6",0430,406,335,741,1654,44.80%,141,522,16,8,687
"Justice, Supreme Court, Place 6",0431,824,403,1227,3188,38.49%,287,825,28,19,1159
"Justice, Supreme Court, Place 6",0432,312,271,583,1344,43.38%,147,386,16,9,558
"Justice, Supreme Court, Place 6",0433,139,106,245,573,42.76%,40,185,4,4,233
"Justice, Supreme Court, Place 6",0434,633,371,1004,1386,72.44%,605,304,36,9,954
"Justice, Supreme Court, Place 6",0435,1537,758,2305,3097,74.43%,1450,657,58,19,2184
"Justice, Supreme Court, Place 6",0436,1342,709,2051,3012,68.09%,1167,708,49,24,1948
"Justice, Supreme Court, Place 6",0437,952,542,1494,2007,74.44%,1011,358,33,13,1415
"Justice, Supreme Court, Place 6",0438,1047,387,1434,1802,79.58%,1007,296,28,9,1340
"Justice, Supreme Court, Place 6",0439,1527,905,2432,3416,71.19%,1644,569,55,25,2293
"Justice, Supreme Court, Place 6",0440,1326,876,2202,2867,76.81%,1695,345,36,10,2086
"Justice, Supreme Court, Place 6",0441,699,513,1212,1616,75.00%,860,253,26,5,1144
"Justice, Supreme Court, Place 6",0442,1366,513,1879,2504,75.04%,1477,279,36,20,1812
"Justice, Supreme Court, Place 6",0443,335,148,483,605,79.83%,329,109,19,4,461
"Justice, Supreme Court, Place 6",0444,1258,731,1989,3172,62.70%,1113,678,51,33,1875
"Justice, Supreme Court, Place 6",0445,861,443,1304,1938,67.29%,777,420,34,13,1244
"Justice, Supreme Court, Place 6",0446,70,52,122,268,45.52%,41,69,2,3,115
"Justice, Supreme Court, Place 6",0447,271,108,379,583,65.01%,118,219,13,3,353
"Justice, Supreme Court, Place 6",0448,1240,869,2109,3081,68.45%,1156,735,73,30,1994
"Justice, Supreme Court, Place 6",0449,62,37,99,164,60.37%,12,82,0,0,94
"Justice, Supreme Court, Place 6",0450,856,537,1393,2622,53.13%,313,981,29,20,1343
"Justice, Supreme Court, Place 6",0451,1575,515,2090,2674,78.16%,1645,320,36,15,2016
"Justice, Supreme Court, Place 6",0452,1110,639,1749,2810,62.24%,1229,406,42,16,1693
"Justice, Supreme Court, Place 6",0453,559,475,1034,1885,54.85%,320,632,12,10,974
"Justice, Supreme Court, Place 6",0454,1227,311,1538,2571,59.82%,9,1474,8,7,1498
"Justice, Supreme Court, Place 6",0455,748,216,964,1679,57.42%,25,896,6,3,930
"Justice, Supreme Court, Place 6",0456,1271,593,1864,3350,55.64%,926,801,38,13,1778
"Justice, Supreme Court, Place 6",0457,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0458,909,271,1180,1893,62.33%,41,1084,6,5,1136
"Justice, Supreme Court, Place 6",0459,1639,476,2115,2950,71.69%,1604,379,36,13,2032
"Justice, Supreme Court, Place 6",0460,1251,402,1653,2346,70.46%,406,1153,19,10,1588
"Justice, Supreme Court, Place 6",0461,1959,828,2787,3733,74.66%,1741,782,58,18,2599
"Justice, Supreme Court, Place 6",0462,1320,865,2185,3367,64.89%,737,1287,31,16,2071
"Justice, Supreme Court, Place 6",0463,1130,555,1786,2962,60.30%,651,1004,53,10,1718
"Justice, Supreme Court, Place 6",0464,788,612,1400,2126,65.85%,890,391,44,21,1346
"Justice, Supreme Court, Place 6",0465,1466,702,2168,3343,64.85%,1075,977,38,23,2113
"Justice, Supreme Court, Place 6",0466,2052,729,2781,4072,68.30%,1488,1139,48,21,2696
"Justice, Supreme Court, Place 6",0467,479,229,708,1230,57.56%,154,513,10,6,683
"Justice, Supreme Court, Place 6",0468,986,793,1779,3354,53.04%,468,1170,28,19,1685
"Justice, Supreme Court, Place 6",0469,2039,538,2677,3779,70.84%,1991,480,53,31,2555
"Justice, Supreme Court, Place 6",0470,443,323,766,1349,56.78%,499,197,28,4,728
"Justice, Supreme Court, Place 6",0471,793,597,1390,2349,59.17%,999,292,37,14,1342
"Justice, Supreme Court, Place 6",0472,372,337,709,1027,69.04%,308,315,22,12,657
"Justice, Supreme Court, Place 6",0473,914,442,1356,1827,74.22%,888,353,33,16,1290
"Justice, Supreme Court, Place 6",0474,1149,766,1915,3006,63.71%,1238,529,50,12,1829
"Justice, Supreme Court, Place 6",0475,485,473,958,1651,58.03%,382,502,14,13,911
"Justice, Supreme Court, Place 6",0476,809,658,1467,2412,60.82%,779,583,30,14,1406
"Justice, Supreme Court, Place 6",0477,1442,742,2184,3195,68.36%,1536,499,57,19,2111
"Justice, Supreme Court, Place 6",0478,1963,898,2861,4150,68.94%,1766,880,74,27,2747
"Justice, Supreme Court, Place 6",0479,1302,588,1890,2648,71.37%,1296,446,68,13,1823
"Justice, Supreme Court, Place 6",0480,935,555,1491,2267,65.77%,982,391,33,20,1426
"Justice, Supreme Court, Place 6",0481,1466,852,2318,3298,70.29%,1624,515,61,28,2228
"Justice, Supreme Court, Place 6",0482,1964,836,2800,4129,67.81%,1827,787,61,31,2706
"Justice, Supreme Court, Place 6",0483,1870,759,2629,4141,63.49%,1301,1114,77,33,2525
"Justice, Supreme Court, Place 6",0484,2239,1008,3247,4594,70.68%,2189,833,85,25,3132
"Justice, Supreme Court, Place 6",0485,2422,990,3412,4838,70.53%,2393,796,100,26,3315
"Justice, Supreme Court, Place 6",0486,1844,805,2649,3572,74.16%,1954,509,77,23,2563
"Justice, Supreme Court, Place 6",0487,1006,612,1618,3318,48.76%,439,1006,22,13,1480
"Justice, Supreme Court, Place 6",0488,580,440,1020,1713,59.54%,324,605,13,11,953
"Justice, Supreme Court, Place 6",0489,784,378,1162,1823,63.74%,312,760,21,8,1101
"Justice, Supreme Court, Place 6",0490,881,439,1320,1944,67.90%,454,767,15,13,1249
"Justice, Supreme Court, Place 6",0491,570,489,1159,1782,65.04%,622,415,40,18,1095
"Justice, Supreme Court, Place 6",0492,1072,504,1576,2351,67.04%,783,649,35,18,1485
"Justice, Supreme Court, Place 6",0493,859,400,1259,1804,69.79%,764,375,34,17,1190
"Justice, Supreme Court, Place 6",0494,761,431,1192,2176,54.78%,134,999,8,9,1150
"Justice, Supreme Court, Place 6",0495,1121,494,1615,2284,70.71%,1082,405,32,18,1537
"Justice, Supreme Court, Place 6",0496,496,571,1067,2086,51.15%,361,620,17,13,1011
"Justice, Supreme Court, Place 6",0497,1124,303,1427,2226,64.11%,43,1327,7,5,1382
"Justice, Supreme Court, Place 6",0498,760,499,1259,2123,59.30%,481,683,25,23,1212
"Justice, Supreme Court, Place 6",0499,1302,517,1819,2304,78.95%,1273,398,43,19,1733
"Justice, Supreme Court, Place 6",0500,1507,746,2253,3175,70.96%,1455,636,47,27,2165
"Justice, Supreme Court, Place 6",0501,653,487,1140,1647,69.22%,402,590,59,27,1078
"Justice, Supreme Court, Place 6",0502,1152,332,1484,2364,62.77%,1085,303,25,17,1430
"Justice, Supreme Court, Place 6",0503,359,273,632,1363,46.37%,181,389,10,8,588
"Justice, Supreme Court, Place 6",0504,1129,538,1667,2197,75.88%,1035,497,42,18,1592
"Justice, Supreme Court, Place 6",0505,1213,829,2042,3654,55.88%,822,987,69,45,1923
"Justice, Supreme Court, Place 6",0506,1471,801,2272,3380,67.22%,355,1810,22,15,2202
"Justice, Supreme Court, Place 6",0507,582,385,967,2435,39.71%,137,678,13,5,833
"Justice, Supreme Court, Place 6",0508,946,760,1706,3248,52.52%,510,1021,29,18,1578
"Justice, Supreme Court, Place 6",0509,1341,864,2205,3536,62.36%,1456,578,59,20,2113
"Justice, Supreme Court, Place 6",0510,1495,582,2177,3511,62.01%,894,1097,55,34,2080
"Justice, Supreme Court, Place 6",0511,0,6,6,0,0.00%,1,5,0,0,6
"Justice, Supreme Court, Place 6",0512,1568,1127,2695,4582,58.82%,1134,1378,64,20,2596
"Justice, Supreme Court, Place 6",0513,1606,507,2113,2752,76.78%,1532,446,41,15,2034
"Justice, Supreme Court, Place 6",0514,1959,850,2829,3941,71.78%,1970,668,76,24,2738
"Justice, Supreme Court, Place 6",0515,1692,708,2400,3173,75.64%,1841,389,57,18,2305
"Justice, Supreme Court, Place 6",0516,2181,1066,3247,4934,65.81%,1493,1490,69,40,3092
"Justice, Supreme Court, Place 6",0517,1208,653,1861,3320,56.05%,904,810,50,25,1789
"Justice, Supreme Court, Place 6",0518,1479,919,2398,3755,63.86%,1389,814,55,25,2283
"Justice, Supreme Court, Place 6",0519,1235,645,1880,2951,63.71%,1283,459,55,21,1818
"Justice, Supreme Court, Place 6",0520,1546,857,2403,4064,59.13%,356,1927,25,16,2324
"Justice, Supreme Court, Place 6",0521,1014,694,1708,2725,62.68%,800,793,36,13,1642
"Justice, Supreme Court, Place 6",0522,1173,658,1831,2682,68.27%,1304,399,49,16,1768
"Justice, Supreme Court, Place 6",0523,1340,689,2029,3060,66.31%,1257,567,60,24,1908
"Justice, Supreme Court, Place 6",0524,1242,675,1917,3292,58.23%,528,1261,35,13,1837
"Justice, Supreme Court, Place 6",0525,1383,610,1993,2947,67.63%,376,1501,21,10,1908
"Justice, Supreme Court, Place 6",0526,167,171,338,731,46.24%,75,237,3,7,322
"Justice, Supreme Court, Place 6",0527,80,24,104,569,18.28%,45,52,2,0,99
"Justice, Supreme Court, Place 6",0528,36,12,48,92,52.17%,2,43,1,0,46
"Justice, Supreme Court, Place 6",0529,1989,441,2430,3616,67.20%,1961,313,62,23,2359
"Justice, Supreme Court, Place 6",0530,259,235,494,1196,41.30%,93,347,7,8,455
"Justice, Supreme Court, Place 6",0531,672,113,785,1094,71.76%,583,146,11,4,744
"Justice, Supreme Court, Place 6",0532,452,184,636,1039,61.21%,410,187,9,6,612
"Justice, Supreme Court, Place 6",0533,317,207,524,1069,49.02%,243,237,16,7,503
"Justice, Supreme Court, Place 6",0534,1660,675,2335,3795,61.53%,1595,567,55,24,2241
"Justice, Supreme Court, Place 6",0535,80,94,174,421,41.33%,56,103,7,0,166
"Justice, Supreme Court, Place 6",0536,1335,1195,2530,4576,55.29%,852,1494,40,35,2421
"Justice, Supreme Court, Place 6",0537,1455,823,2278,2971,76.67%,1585,544,46,14,2189
"Justice, Supreme Court, Place 6",0538,433,237,670,1282,52.26%,14,627,2,6,649
"Justice, Supreme Court, Place 6",0539,26,209,235,71,330.99%,42,159,8,4,213
"Justice, Supreme Court, Place 6",0540,666,380,1046,1491,70.15%,439,490,34,11,974
"Justice, Supreme Court, Place 6",0541,1836,779,2615,4183,62.51%,317,2139,38,25,2519
"Justice, Supreme Court, Place 6",0542,997,501,1498,2525,59.33%,74,1360,11,9,1454
"Justice, Supreme Court, Place 6",0543,287,378,665,1528,43.52%,186,424,11,11,632
"Justice, Supreme Court, Place 6",0544,93,53,146,318,45.91%,16,122,1,1,140
"Justice, Supreme Court, Place 6",0545,1314,857,2171,3339,65.02%,961,1040,47,17,2065
"Justice, Supreme Court, Place 6",0546,4,4,8,30,26.67%,3,5,0,0,8
"Justice, Supreme Court, Place 6",0547,877,647,1524,2408,63.29%,981,414,57,18,1470
"Justice, Supreme Court, Place 6",0548,720,476,1196,2129,56.18%,503,628,15,8,1154
"Justice, Supreme Court, Place 6",0549,944,586,1530,2530,60.47%,192,1253,21,18,1484
"Justice, Supreme Court, Place 6",0550,1134,629,1763,2847,61.92%,817,836,41,17,1711
"Justice, Supreme Court, Place 6",0551,3092,1527,4619,6135,75.29%,3198,1121,94,29,4442
"Justice, Supreme Court, Place 6",0552,1521,844,2465,3241,76.06%,1945,367,55,17,2384
"Justice, Supreme Court, Place 6",0553,1465,951,2416,4355,55.48%,958,1278,58,25,2319
"Justice, Supreme Court, Place 6",0554,562,340,902,1731,52.11%,134,696,9,7,846
"Justice, Supreme Court, Place 6",0555,598,447,1045,2119,49.32%,170,812,13,8,1003
"Justice, Supreme Court, Place 6",0556,585,421,1006,2249,44.73%,195,742,11,11,959
"Justice, Supreme Court, Place 6",0557,822,556,1378,2726,50.55%,407,836,16,13,1272
"Justice, Supreme Court, Place 6",0558,1592,824,2416,4084,59.16%,710,1528,51,25,2314
"Justice, Supreme Court, Place 6",0559,1794,899,2693,4633,58.13%,572,1908,71,32,2583
"Justice, Supreme Court, Place 6",0560,172,289,461,1176,39.20%,83,327,12,7,429
"Justice, Supreme Court, Place 6",0561,837,759,1596,3033,52.62%,828,656,28,15,1527
"Justice, Supreme Court, Place 6",0562,201,146,347,645,53.80%,23,299,5,4,331
"Justice, Supreme Court, Place 6",0563,1700,415,2115,2969,71.24%,1550,411,46,14,2021
"Justice, Supreme Court, Place 6",0564,1159,713,1872,3096,60.47%,447,1256,55,16,1774
"Justice, Supreme Court, Place 6",0565,316,194,510,1373,37.14%,84,381,4,9,478
"Justice, Supreme Court, Place 6",0566,1126,478,1604,2950,54.37%,381,1114,37,21,1553
"Justice, Supreme Court, Place 6",0567,673,394,1067,2198,48.54%,263,687,12,14,976
"Justice, Supreme Court, Place 6",0568,1630,837,2467,3487,70.75%,1510,726,71,28,2335
"Justice, Supreme Court, Place 6",0569,1295,865,2160,3249,66.48%,1099,847,68,22,2036
"Justice, Supreme Court, Place 6",0570,527,409,936,1473,63.54%,382,435,47,7,871
"Justice, Supreme Court, Place 6",0571,334,312,646,1758,36.75%,187,400,8,11,606
"Justice, Supreme Court, Place 6",0572,1288,574,1862,2998,62.11%,814,912,42,17,1785
"Justice, Supreme Court, Place 6",0573,578,368,946,1618,58.47%,7,911,2,4,924
"Justice, Supreme Court, Place 6",0574,98,79,177,391,45.27%,17,145,2,3,167
"Justice, Supreme Court, Place 6",0575,27,9,36,79,45.57%,33,2,1,0,36
"Justice, Supreme Court, Place 6",0576,1051,552,1603,2671,60.01%,44,1494,3,16,1557
"Justice, Supreme Court, Place 6",0577,231,113,344,573,60.03%,177,136,10,6,329
"Justice, Supreme Court, Place 6",0578,745,553,1298,1689,76.85%,759,395,32,17,1203
"Justice, Supreme Court, Place 6",0579,489,351,840,1806,46.51%,183,587,13,10,793
"Justice, Supreme Court, Place 6",0580,430,146,576,1027,56.09%,14,543,1,1,559
"Justice, Supreme Court, Place 6",0581,510,162,672,1041,64.55%,18,627,2,4,651
"Justice, Supreme Court, Place 6",0582,615,256,871,1613,54.00%,43,793,5,3,844
"Justice, Supreme Court, Place 6",0583,544,127,671,1248,53.77%,12,637,6,3,658
"Justice, Supreme Court, Place 6",0584,393,139,532,971,54.79%,28,490,2,5,525
"Justice, Supreme Court, Place 6",0585,934,304,1238,2403,51.52%,25,1165,7,4,1201
"Justice, Supreme Court, Place 6",0586,1307,1189,2496,4230,59.01%,1412,919,53,32,2416
"Justice, Supreme Court, Place 6",0587,934,465,1399,2174,64.35%,465,860,14,11,1350
"Justice, Supreme Court, Place 6",0588,1539,871,2410,3468,69.49%,1604,631,70,24,2329
"Justice, Supreme Court, Place 6",0589,1034,738,1772,3130,56.61%,854,789,45,19,1707
"Justice, Supreme Court, Place 6",0590,1158,463,1621,2136,75.89%,1190,314,35,18,1557
"Justice, Supreme Court, Place 6",0591,420,449,869,2114,41.11%,218,587,8,11,824
"Justice, Supreme Court, Place 6",0592,370,288,658,1258,52.31%,141,475,6,9,631
"Justice, Supreme Court, Place 6",0593,1149,999,2148,4059,52.92%,899,1088,35,30,2052
