Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,Totals
"Constable, Precinct 4",0602,562,296,858,1237,69.36%,655,655
"Constable, Precinct 4",0609,1364,844,2208,3261,67.71%,1545,1545
"Constable, Precinct 4",0612,1700,579,2279,3272,69.65%,1821,1821
"Constable, Precinct 4",0613,495,309,804,1450,55.45%,208,208
"Constable, Precinct 4",0614,1631,812,2443,3932,62.13%,1123,1123
"Constable, Precinct 4",0615,931,404,1335,1926,69.31%,906,906
"Constable, Precinct 4",0623,1708,626,2334,3481,67.05%,1679,1679
"Constable, Precinct 4",0624,9,0,9,16,56.25%,5,5
"Constable, Precinct 4",0629,175,127,302,629,48.01%,79,79
"Constable, Precinct 4",0631,1489,392,1881,2733,68.83%,1461,1461
"Constable, Precinct 4",0633,1782,678,2460,3257,75.53%,1942,1942
"Constable, Precinct 4",0534,1020,734,1754,2922,60.03%,1204,1204
"Constable, Precinct 4",0635,1326,706,2032,3280,61.95%,1658,1658
"Constable, Precinct 4",0640,1382,723,2105,3548,59.33%,1386,1386
"Constable, Precinct 4",0641,1265,878,2143,3375,63.50%,1473,1473
"Constable, Precinct 4",0648,1590,668,2258,3197,70.63%,1741,1741
"Constable, Precinct 4",0657,490,268,758,1200,63.17%,391,391
"Constable, Precinct 4",0658,985,708,1693,2824,59.95%,1187,1187
"Constable, Precinct 4",0659,2141,1091,3232,4588,70.44%,2505,2505
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,Totals
"Constable, Precinct 4",0660,2460,932,3392,5048,67.19%,787,787
"Constable, Precinct 4",0661,1614,1012,2626,4179,62.84%,1663,1663
"Constable, Precinct 4",0668,927,655,1582,2458,64.36%,1123,1123
"Constable, Precinct 4",0669,1606,823,2429,3243,74.90%,1920,1920
"Constable, Precinct 4",0670,1566,518,2084,2952,70.60%,1722,1722
"Constable, Precinct 4",0671,1090,773,1863,2942,63.32%,1226,1226
"Constable, Precinct 4",0672,2301,1078,3379,4710,71.74%,2477,2477
"Constable, Precinct 4",0674,2092,813,2905,4055,71.64%,2331,2331
"Constable, Precinct 4",0687,1084,641,1725,2497,69.08%,1260,1260
"Constable, Precinct 4",0688,1815,673,2488,3266,76.18%,2087,2087
"Constable, Precinct 4",0690,1965,1116,3081,4184,73.64%,2553,2553
"Constable, Precinct 4",0691,10,2,12,34,35.29%,6,6
"Constable, Precinct 4",0698,1137,659,1796,2948,60.92%,368,368
"Constable, Precinct 4",0705,358,238,596,1520,39.21%,101,101
"Constable, Precinct 4",0713,665,436,1101,1827,60.26%,669,669
"Constable, Precinct 4",0717,826,362,1188,1927,61.65%,291,291
"Constable, Precinct 4",0726,1141,304,1445,1987,72.72%,1270,1270
"Constable, Precinct 4",0729,208,93,301,446,67.49%,201,201
"Constable, Precinct 4",0734,3209,1114,4323,5952,72.63%,3227,3227
"Constable, Precinct 4",0735,9,0,9,23,39.1,3%,8,8
"Constable, Precinct 4",0737,25,5,30,53,56.60%,27,27
"Constable, Precinct 4",0738,470,219,689,1294,53.25%,144,144
"Constable, Precinct 4",0747,1200,873,2073,3490,59.40%,1230,1230
"Constable, Precinct 4",0753,106,61,167,260,64.23%,126,126
"Constable, Precinct 4",0756,582,300,882,1539,57.31%,395,395
"Constable, Precinct 4",0757,1416,690,2106,3498,60.21%,639,639
"Constable, Precinct 4",0758,1996,783,2779,3781,73.50%,2353,2353
"Constable, Precinct 4",0759,1109,590,1699,2625,64.72%,1151,1151
"Constable, Precinct 4",0760,2346,647,2993,4154,72.05%,2601,2601
"Constable, Precinct 4",0764,2270,1050,3320,4931,67.33%,2365,2365
"Constable, Precinct 4",0767,20,15,35,90,38.89%,26,26
"Constable, Precinct 4",0768,2854,1159,4013,5364,74.81%,3343,3343
"Constable, Precinct 4",0776,1113,741,1854,2855,64.94%,1252,1252
"Constable, Precinct 4",0783,103,43,146,265,55.09%,93,93
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ron Hickman,Totals
"Constable, Precinct 4",0794,575,484,1059,2602,40.70%,203,203
"Constable, Precinct 4",0805,1509,529,2038,2812,72.48%,1707,1707
"Constable, Precinct 4",0823,1849,1015,2864,4710,60.81%,1788,1788
"Constable, Precinct 4",0828,1074,343,1417,1875,75.57%,1195,1195
"Constable, Precinct 4",0840,712,251,963,1621,59.41%,397,397
"Constable, Precinct 4",0841,0,2,2,0,0.00%,0,0
"Constable, Precinct 4",0851,2192,816,3008,4317,69.68%,2193,2193
"Constable, Precinct 4",0853,1412,605,2017,2773,72.74%,1638,1638
"Constable, Precinct 4",0873,253,125,378,701,53.92%,144,144
"Constable, Precinct 4",0874,1534,748,2282,3107,73.45%,1858,1858
"Constable, Precinct 4",0876,1629,639,2268,3013,75.27%,1787,1787
"Constable, Precinct 4",0878,853,350,1203,1641,73.31%,1053,1053
"Constable, Precinct 4",0880,1068,472,1540,2007,76.73%,1272,1272
