Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Richard Risinger,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0339,369,373,742,1716,43.24%,147,522,669
"District Judge, 80th Judicial District",0340,1778,833,2611,3717,70.24%,1866,579,2445
"District Judge, 80th Judicial District",0341,246,316,562,1248,45.03%,136,399,535
"District Judge, 80th Judicial District",0342,2029,1113,3142,5718,54.95%,425,2612,3037
"District Judge, 80th Judicial District",0343,436,483,919,1904,48.27%,221,606,827
"District Judge, 80th Judicial District",0344,395,245,640,1207,53.02%,21,593,614
"District Judge, 80th Judicial District",0345,428,357,785,1708,45.96%,162,580,742
"District Judge, 80th Judicial District",0346,1,2,3,1,300.00%,3,0,3
"District Judge, 80th Judicial District",0347,1250,614,1864,3299,56.50%,1153,633,1786
"District Judge, 80th Judicial District",0348,751,280,1031,1740,59.25%,730,257,987
"District Judge, 80th Judicial District",0349,405,407,812,1315,61.75%,456,307,763
"District Judge, 80th Judicial District",0350,1112,780,1892,2906,65.11%,725,1003,1728
"District Judge, 80th Judicial District",0351,2495,793,3288,4537,72.47%,2535,624,3159
"District Judge, 80th Judicial District",0352,1151,583,1734,3193,54.31%,1173,481,1654
"District Judge, 80th Judicial District",0353,1544,703,2247,3697,60.78%,369,1780,2149
"District Judge, 80th Judicial District",0354,1476,517,1993,3193,62.42%,440,1460,1900
"District Judge, 80th Judicial District",0355,700,286,986,1384,71.24%,90,860,950
"District Judge, 80th Judicial District",0356,1382,618,2000,2836,70.52%,1121,737,1858
"District Judge, 80th Judicial District",0357,1633,709,2342,3371,69.47%,1671,545,2216
"District Judge, 80th Judicial District",0358,740,464,1204,2297,52.42%,89,1070,1159
"District Judge, 80th Judicial District",0359,706,482,1188,3008,39.49%,95,1049,1144
"District Judge, 80th Judicial District",0360,969,515,1484,2190,67.76%,746,585,1331
"District Judge, 80th Judicial District",0361,135,691,826,1585,52.11%,141,555,696
"District Judge, 80th Judicial District",0362,2131,1200,3331,4952,67.27%,2359,789,3148
"District Judge, 80th Judicial District",0363,1346,687,2033,3291,61.77%,875,1082,1957
"District Judge, 80th Judicial District",0364,912,602,1514,2539,59.63%,730,705,1435
"District Judge, 80th Judicial District",0365,734,245,979,1302,75.19%,82,865,947
"District Judge, 80th Judicial District",0366,638,466,1104,2089,52.85%,225,838,1063
"District Judge, 80th Judicial District",0367,328,212,540,1019,52.99%,91,427,518
"District Judge, 80th Judicial District",0368,418,143,561,929,60.39%,142,402,544
"District Judge, 80th Judicial District",0369,107,53,160,490,32.65%,60,94,154
"District Judge, 80th Judicial District",0370,3143,1178,4321,5781,74.74%,3193,924,4117
"District Judge, 80th Judicial District",0371,226,69,295,475,62.11%,6,281,287
"District Judge, 80th Judicial District",0372,498,231,729,1215,60.00%,77,616,693
"District Judge, 80th Judicial District",0373,61,16,77,159,48.43%,1,73,74
"District Judge, 80th Judicial District",0374,139,187,326,748,43.58%,92,214,306
"District Judge, 80th Judicial District",0375,577,524,1101,2607,42.23%,448,591,1039
"District Judge, 80th Judicial District",0376,529,334,963,1916,50.26%,385,518,903
"District Judge, 80th Judicial District",0377,1055,707,1762,2871,61.37%,1282,366,1648
"District Judge, 80th Judicial District",0378,559,521,1080,1777,60.78%,656,376,1032
"District Judge, 80th Judicial District",0379,800,338,1138,2017,56.42%,78,1006,1084
"District Judge, 80th Judicial District",0380,2500,1183,3683,4753,77.49%,2053,1446,3499
"District Judge, 80th Judicial District",0381,957,424,1381,2715,50.87%,554,756,1310
"District Judge, 80th Judicial District",0382,275,231,507,841,60.29%,347,138,485
"District Judge, 80th Judicial District",0383,599,493,1092,2076,52.60%,329,705,1034
"District Judge, 80th Judicial District",0384,1172,505,1677,2596,64.60%,307,1300,1607
"District Judge, 80th Judicial District",0385,1099,621,1720,2175,79.08%,1214,375,1589
"District Judge, 80th Judicial District",0386,1464,460,1924,2872,66.99%,1350,478,1828
"District Judge, 80th Judicial District",0387,1369,802,2171,3727,58.25%,1449,602,2051
"District Judge, 80th Judicial District",0388,2780,1222,4002,5329,75.10%,2210,1619,3829
"District Judge, 80th Judicial District",0389,283,261,544,975,55.79%,87,415,502
"District Judge, 80th Judicial District",0390,644,368,1012,1565,64.66%,115,847,962
"District Judge, 80th Judicial District",0391,856,355,1211,1805,67.09%,750,392,1142
"District Judge, 80th Judicial District",0392,737,197,934,1441,64.82%,9,902,911
"District Judge, 80th Judicial District",0393,346,318,664,1206,55.06%,274,350,624
"District Judge, 80th Judicial District",0394,166,176,342,860,39.77%,132,190,322
"District Judge, 80th Judicial District",0395,830,491,1321,1820,72.58%,875,352,1227
"District Judge, 80th Judicial District",0396,1157,219,1376,2073,66.38%,16,1316,1332
"District Judge, 80th Judicial District",0397,163,148,311,750,41.47%,115,170,285
"District Judge, 80th Judicial District",0398,1438,840,2278,3816,59.70%,1088,1087,2175
"District Judge, 80th Judicial District",0399,896,593,1489,2542,58.58%,702,724,1426
"District Judge, 80th Judicial District",0400,1048,506,1554,2238,69.44%,1077,388,1465
"District Judge, 80th Judicial District",0401,723,284,1007,1876,53.68%,40,939,979
"District Judge, 80th Judicial District",0402,891,245,1136,1737,65.40%,47,1053,1100
"District Judge, 80th Judicial District",0403,791,527,1318,1703,77.39%,666,522,1188
"District Judge, 80th Judicial District",0404,778,552,1330,2589,51.37%,682,588,1270
"District Judge, 80th Judicial District",0405,0,1,1,0,0.00%,0,1,1
"District Judge, 80th Judicial District",0406,281,72,353,610,57.87%,6,332,338
"District Judge, 80th Judicial District",0407,1317,1000,2317,3652,63.44%,1390,751,2141
"District Judge, 80th Judicial District",0408,154,179,333,933,35.69%,133,178,311
"District Judge, 80th Judicial District",0409,277,289,566,1371,41.28%,163,367,530
"District Judge, 80th Judicial District",0410,337,102,439,849,51.71%,79,344,423
"District Judge, 80th Judicial District",0411,542,462,1004,2302,43.61%,282,652,934
"District Judge, 80th Judicial District",0412,193,74,267,433,61,66%,12,246,258
"District Judge, 80th Judicial District",0413,1493,525,2018,3023,66.75%,740,1161,1901
"District Judge, 80th Judicial District",0414,1452,593,2045,3457,59.16%,1412,498,1910
"District Judge, 80th Judicial District",0415,950,633,1583,2124,74.53%,1045,432,1477
"District Judge, 80th Judicial District",0416,1174,916,2090,3582,58.35%,1048,912,1960
"District Judge, 80th Judicial District",0417,777,619,1396,2465,56.63%,598,720,1318
"District Judge, 80th Judicial District",0418,1057,758,1815,3420,53.07%,653,1062,1715
"District Judge, 80th Judicial District",0419,1006,578,1584,2697,58.73%,1017,494,1511
"District Judge, 80th Judicial District",0420,2174,1089,3263,4639,70.34%,2608,488,3096
"District Judge, 80th Judicial District",0421,124,92,216,467,46.25%,44,163,207
"District Judge, 80th Judicial District",0422,1456,585,2041,3345,61.02%,40,1938,1978
"District Judge, 80th Judicial District",0423,190,309,499,894,55.82%,194,272,466
"District Judge, 80th Judicial District",0424,435,1,57,592,888,66.67%,326,244,570
"District Judge, 80th Judicial District",0425,227,234,461,875,52.69%,140,293,433
"District Judge, 80th Judicial District",0426,415,283,698,1224,57.03%,365,271,636
"District Judge, 80th Judicial District",0427,325,249,574,1115,51.48%,203,331,534
"District Judge, 80th Judicial District",0428,1284,907,2191,4316,50.76%,631,1408,2039
"District Judge, 80th Judicial District",0429,1,1091,777,1868,3929,47.54%,334,1393,1727
"District Judge, 80th Judicial District",0430,403,335,738,1654,44.62%,148,532,680
"District Judge, 80th Judicial District",0431,819,403,1222,3188,38.33%,296,848,1144
"District Judge, 80th Judicial District",0432,311,271,582,1344,43.30%,159,395,554
"District Judge, 80th Judicial District",0433,139,106,245,573,42.76%,41,191,232
"District Judge, 80th Judicial District",0434,628,371,999,1386,72.08%,591,335,926
"District Judge, 80th Judicial District",0435,1534,768,2302,3097,74.33%,1431,705,2136
"District Judge, 80th Judicial District",0436,1334,709,2043,3012,67.83%,1144,741,1885
"District Judge, 80th Judicial District",0437,951,542,1493,2007,74.39%,989,400,1389
"District Judge, 80th Judicial District",0438,1046,387,1433,1802,79.52%,1002,305,1307
"District Judge, 80th Judicial District",0439,1526,905,2431,3416,71.17%,1619,634,2253
"District Judge, 80th Judicial District",0440,1326,876,2202,2867,76.81%,1607,417,2024
"District Judge, 80th Judicial District",0441,698,513,1211,1616,74.94%,843,287,1130
"District Judge, 80th Judicial District",0442,1366,513,1879,2504,75.04%,1492,292,1784
"District Judge, 80th Judicial District",0443,335,148,483,605,79.83%,326,118,444
"District Judge, 80th Judicial District",0444,1258,731,1989,3172,62.70%,1144,698,1842
"District Judge, 80th Judicial District",0445,860,443,1303,1938,67.23%,763,450,1213
"District Judge, 80th Judicial District",0446,70,52,122,268,45.52%,44,72,116
"District Judge, 80th Judicial District",0447,271,108,379,583,65.01%,119,232,351
"District Judge, 80th Judicial District",0448,1239,869,2108,3081,68.42%,1179,749,1928
"District Judge, 80th Judicial District",0449,62,37,99,164,60.37%,12,81,93
"District Judge, 80th Judicial District",0450,856,537,1393,2622,53.13%,337,989,1326
"District Judge, 80th Judicial District",0451,1575,515,2090,2674,78.16%,1639,346,1985
"District Judge, 80th Judicial District",0452,1109,639,1748,2810,62.21%,1271,403,1674
"District Judge, 80th Judicial District",0453,559,475,1034,1885,54.85%,332,637,969
"District Judge, 80th Judicial District",0454,1226,311,1537,2571,59.78%,9,1483,1492
"District Judge, 80th Judicial District",0455,748,216,964,1679,57.42%,26,899,925
"District Judge, 80th Judicial District",0456,1266,593,1859,3350,55.49%,963,794,1757
"District Judge, 80th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0458,908,271,1179,1893,62.28%,50,1086,1136
"District Judge, 80th Judicial District",0459,1637,476,2113,2950,71.63%,1613,385,1998
"District Judge, 80th Judicial District",0460,1250,402,1652,2346,70.42%,415,1170,1585
"District Judge, 80th Judicial District",0461,1958,828,2786,3733,74.63%,1719,837,2556
"District Judge, 80th Judicial District",0462,1318,865,2183,3367,64.84%,741,1295,2036
"District Judge, 80th Judicial District",0463,1124,656,1780,2962,60.09%,689,1002,1691
"District Judge, 80th Judicial District",0464,786,612,1398,2126,65.76%,929,392,1321
"District Judge, 80th Judicial District",0465,1465,702,2167,3343,64.82%,1098,1001,2099
"District Judge, 80th Judicial District",0466,2052,729,2781,4072,68.30%,1505,1157,2662
"District Judge, 80th Judicial District",0467,478,229,707,1230,57.48%,158,513,671
"District Judge, 80th Judicial District",0468,984,793,1777,3354,52.98%,490,1181,1671
"District Judge, 80th Judicial District",0469,2039,638,2677,3779,70.84%,2002,527,2529
"District Judge, 80th Judicial District",0470,443,323,766,1349,56.78%,528,191,719
"District Judge, 80th Judicial District",0471,792,597,1389,2349,59.13%,1046,280,1326
"District Judge, 80th Judicial District",0472,370,337,707,1027,68.84%,286,353,639
"District Judge, 80th Judicial District",0473,914,442,1356,1827,74.22%,890,376,1266
"District Judge, 80th Judicial District",0474,1146,766,1912,3006,63.61%,1280,519,1799
"District Judge, 80th Judicial District",0475,485,473,958,1651,58.03%,398,496,894
"District Judge, 80th Judicial District",0476,809,658,1467,2412,60.82%,829,564,1393
"District Judge, 80th Judicial District",0477,1441,742,2183,3195,68.33%,1590,495,2085
"District Judge, 80th Judicial District",0478,1959,898,2857,4150,68.84%,1818,879,2697
"District Judge, 80th Judicial District",0479,1298,588,1886,2648,71.22%,1349,447,1796
"District Judge, 80th Judicial District",0480,936,555,1491,2267,65.77%,1006,395,1401
"District Judge, 80th Judicial District",0481,1463,852,2315,3298,70.19%,1659,536,2195
"District Judge, 80th Judicial District",0482,1963,836,2799,4129,67.79%,1896,780,2676
"District Judge, 80th Judicial District",0483,1868,759,2627,4141,63.44%,1354,1127,2481
"District Judge, 80th Judicial District",0484,2236,1008,3244,4594,70.61%,2241,843,3084
"District Judge, 80th Judicial District",0485,2421,990,3411,4838,70.50%,2481,785,3266
"District Judge, 80th Judicial District",0486,1843,805,2648,3572,74.13%,2001,520,2521
"District Judge, 80th Judicial District",0487,1005,612,1617,3318,48.73%,453,1026,1479
"District Judge, 80th Judicial District",0488,580,440,1020,1713,59.54%,324,610,934
"District Judge, 80th Judicial District",0489,783,378,1161,1823,63.69%,314,767,1081
"District Judge, 80th Judicial District",0490,876,439,1315,1944,67.64%,460,771,1231
"District Judge, 80th Judicial District",0491,667,489,1156,1782,64.87%,628,448,1076
"District Judge, 80th Judicial District",0492,1069,504,1573,2351,66.91%,784,672,1456
"District Judge, 80th Judicial District",0493,858,400,1258,1804,69.73%,767,392,1159
"District Judge, 80th Judicial District",0494,760,431,1191,2176,54.73%,142,1010,1152
"District Judge, 80th Judicial District",0495,1120,494,1614,2284,70.67%,1094,418,1512
"District Judge, 80th Judicial District",0496,496,571,1067,2086,51.15%,376,619,995
"District Judge, 80th Judicial District",0497,1123,303,1426,2226,64.06%,52,1323,1375
"District Judge, 80th Judicial District",0498,759,499,1258,2123,59.26%,507,687,1194
"District Judge, 80th Judicial District",0499,1301,517,1818,2304,78.91%,1253,450,1703
"District Judge, 80th Judicial District",0500,1507,746,2253,3175,70.96%,1490,643,2133
"District Judge, 80th Judicial District",0501,653,487,1140,1647,69.22%,417,624,1041
"District Judge, 80th Judicial District",0502,1150,332,1482,2364,62.69%,1101,291,1392
"District Judge, 80th Judicial District",0503,359,273,632,1363,46.37%,187,396,583
"District Judge, 80th Judicial District",0504,1129,538,1667,2197,75.88%,1040,512,1552
"District Judge, 80th Judicial District",0505,1209,829,2038,3654,55.77%,858,1037,1895
"District Judge, 80th Judicial District",0506,1470,801,2271,3380,67.19%,357,1822,2179
"District Judge, 80th Judicial District",0507,582,385,967,2435,39.71%,145,687,832
"District Judge, 80th Judicial District",0508,946,760,1706,3248,52.52%,522,1036,1558
"District Judge, 80th Judicial District",0509,1340,864,2204,3536,62.33%,1513,577,2090
"District Judge, 80th Judicial District",0510,1492,682,2174,3511,61.92%,939,1107,2046
"District Judge, 80th Judicial District",0511,0,8,8,0,0.00%,1,5,8
"District Judge, 80th Judicial District",0512,1558,1127,2885,4582,58.80%,1178,1378,2558
"District Judge, 80th Judicial District",0513,1805,507,2112,2752,78.74%,1528,489,1995
"District Judge, 80th Judicial District",0514,1988,880,2828,3941,71.71%,2027,880,2887
"District Judge, 80th Judicial District",0515,1892,708,2400,3173,75.84%,1875,397,2272
"District Judge, 80th Judicial District",0518,2179,1088,3245,4934,85.77%,1537,1519,3058
"District Judge, 80th Judicial District",0517,1208,853,1881,3320,58.05%,949,810,1759
"District Judge, 80th Judicial District",0518,1478,919,2397,3755,83.83%,1457,799,2258
"District Judge, 80th Judicial District",0519,1234,845,1879,2951,83.87%,1315,477,1792
"District Judge, 80th Judicial District",0520,1542,857,2399,4084,59.03%,389,1943,2312
"District Judge, 80th Judicial District",0521,1011,894,1705,2725,82.57%,838,779,1817
"District Judge, 80th Judicial District",0522,1171,858,1829,2882,88.20%,1320,407,1727
"District Judge, 80th Judicial District",0523,1338,889,2027,3080,88.24%,1292,588,1880
"District Judge, 80th Judicial District",0524,1237,875,1912,3292,58.08%,548,1278,1822
"District Judge, 80th Judicial District",0525,1380,810,1990,2947,87.53%,385,1530,1895
"District Judge, 80th Judicial District",0528,187,171,338,731,48.24%,89,229,318
"District Judge, 80th Judicial District",0527,80,24,104,589,18.28%,48,52,98
"District Judge, 80th Judicial District",0528,38,12,48,92,52.17%,4,43,47
"District Judge, 80th Judicial District",0529,1987,441,2428,3818,87.15%,1987,330,2317
"District Judge, 80th Judicial District",0530,259,235,494,1198,41.30%,99,357,458
"District Judge, 80th Judicial District",0531,872,113,785,1094,71.78%,594,141,735
"District Judge, 80th Judicial District",0532,452,184,838,1039,81.21%,417,188,805
"District Judge, 80th Judicial District",0533,317,207,524,1089,49.02%,280,235,495
"District Judge, 80th Judicial District",0534,1858,875,2333,3795,81.48%,1875,558,2231
"District Judge, 80th Judicial District",0535,80,94,174,421,41.33%,82,100,182
"District Judge, 80th Judicial District",0538,1332,1195,2527,4578,55.22%,921,1474,2395
"District Judge, 80th Judicial District",0537,1454,823,2277,2971,78.84%,1820,532,2152
"District Judge, 80th Judicial District",0538,433,237,870,1282,52.28%,19,825,844
"District Judge, 80th Judicial District",0539,28,209,235,71,330.99%,45,188,213
"District Judge, 80th Judicial District",0540,888,380,1048,1491,70.15%,414,520,934
"District Judge, 80th Judicial District",0541,1824,779,2803,4183,82.23%,331,2150,2481
"District Judge, 80th Judicial District",0542,997,501,1498,2525,59.33%,88,1382,1450
"District Judge, 80th Judicial District",0543,287,378,885,1528,43.52%,201,424,825
"District Judge, 80th Judicial District",0544,92,53,145,318,45.80%,17,122,139
"District Judge, 80th Judicial District",0545,1314,857,2171,3339,65.02%,1014,1042,2056
"District Judge, 80th Judicial District",0546,4,4,8,30,26.67%,2,6,8
"District Judge, 80th Judicial District",0547,877,647,1524,2408,63.29%,1019,419,1438
"District Judge, 80th Judicial District",0548,720,476,1196,2129,56.18%,520,620,1140
"District Judge, 80th Judicial District",0549,944,586,1530,2530,60.47%,203,1265,1468
"District Judge, 80th Judicial District",0550,1134,629,1763,2847,61.92%,840,859,1699
"District Judge, 80th Judicial District",0551,3088,1527,4615,6135,75.22%,3246,1128,4374
"District Judge, 80th Judicial District",0552,1621,844,2465,3241,76.06%,1977,374,2351
"District Judge, 80th Judicial District",0553,1465,951,2416,4355,55.48%,1010,1301,2311
"District Judge, 80th Judicial District",0554,562,340,902,1731,52.11%,134,706,840
"District Judge, 80th Judicial District",0555,597,447,1044,2119,49.27%,165,828,993
"District Judge, 80th Judicial District",0556,584,421,1005,2249,44.69%,206,745,951
"District Judge, 80th Judicial District",0557,822,556,1378,2726,50.55%,426,843,1269
"District Judge, 80th Judicial District",0558,1588,824,2412,4084,59.06%,733,1554,2287
"District Judge, 80th Judicial District",0559,1787,899,2686,4633,57.98%,606,1931,2537
"District Judge, 80th Judicial District",0560,172,289,461,1176,39.20%,89,333,422
"District Judge, 80th Judicial District",0561,837,759,1596,3033,52.62%,853,663,1516
"District Judge, 80th Judicial District",0562,201,146,347,645,53.80%,23,309,332
"District Judge, 80th Judicial District",0563,1699,415,2114,2969,71.20%,1574,414,1988
"District Judge, 80th Judicial District",0564,1150,713,1863,3096,60.17%,480,1235,1715
"District Judge, 80th Judicial District",0565,315,194,509,1373,37.07%,82,394,476
"District Judge, 80th Judicial District",0566,1122,478,1600,2950,54.24%,411,1121,1532
"District Judge, 80th Judicial District",0567,672,394,1066,2198,48.50%,265,707,972
"District Judge, 80th Judicial District",0568,1628,837,2465,3487,70.69%,1538,745,2283
"District Judge, 80th Judicial District",0569,1294,865,2159,3249,66.45%,1092,906,1998
"District Judge, 80th Judicial District",0570,525,409,934,1473,63.41%,392,454,846
"District Judge, 80th Judicial District",0571,333,312,645,1758,36.69%,198,398,596
"District Judge, 80th Judicial District",0572,1283,574,1857,2998,61.94%,813,942,1755
"District Judge, 80th Judicial District",0573,577,368,945,1618,58.41%,10,911,921
"District Judge, 80th Judicial District",0574,98,79,177,391,45.27%,17,147,164
"District Judge, 80th Judicial District",0575,27,9,36,79,45.57%,31,4,35
"District Judge, 80th Judicial District",0576,1050,552,1602,2671,59.98%,51,1497,1548
"District Judge, 80th Judicial District",0577,231,113,344,573,60.03%,183,140,323
"District Judge, 80th Judicial District",0578,745,553,1298,1689,76.85%,757,418,1175
"District Judge, 80th Judicial District",0579,487,351,838,1806,46.40%,187,601,788
"District Judge, 80th Judicial District",0580,429,146,575,1027,55.99%,13,546,559
"District Judge, 80th Judicial District",0581,510,162,672,1041,64.55%,17,631,648
"District Judge, 80th Judicial District",0582,614,256,870,1613,53.94%,45,797,842
"District Judge, 80th Judicial District",0583,544,127,671,1248,53.77%,13,642,655
"District Judge, 80th Judicial District",0584,392,139,531,971,54.69%,31,493,524
"District Judge, 80th Judicial District",0585,934,304,1238,2403,51.52%,30,1172,1202
"District Judge, 80th Judicial District",0585,1306,1189,2495,4230,58.98%,1482,907,2389
"District Judge, 80th Judicial District",0587,933,465,1398,2174,64.31%,485,861,1346
"District Judge, 80th Judicial District",0588,1536,871,2407,3468,69.41%,1657,640,2297
"District Judge, 80th Judicial District",0589,1033,738,1771,3130,56.58%,907,781,1688
"District Judge, 80th Judicial District",0590,1158,463,1621,2136,75.89%,1187,354,1541
"District Judge, 80th Judicial District",0591,420,449,869,2114,41.11%,222,594,816
"District Judge, 80th Judicial District",0592,370,288,658,1258,52.31%,147,480,627
"District Judge, 80th Judicial District",0593,1148,999,2147,4059,52.89%,941,1087,2028
"District Judge, 80th Judicial District",0594,1031,535,1566,2361,66.33%,437,1065,1502
"District Judge, 80th Judicial District",0595,497,380,877,1647,53.25%,137,707,844
"District Judge, 80th Judicial District",0596,945,690,1635,2848,57.41%,828,738,1566
"District Judge, 80th Judicial District",0597,1067,719,1786,3267,54.67%,603,1110,1713
"District Judge, 80th Judicial District",0598,335,103,438,724,60.50%,327,82,409
"District Judge, 80th Judicial District",0599,1895,866,2761,4135,66.77%,919,1735,2654
"District Judge, 80th Judicial District",0600,1383,869,2252,3820,58.95%,764,1376,2140
"District Judge, 80th Judicial District",0601,2028,858,2886,3990,72.33%,2106,661,2767
"District Judge, 80th Judicial District",0602,562,296,858,1237,69.36%,578,248,826
"District Judge, 80th Judicial District",0603,1437,1163,2600,3917,66.38%,1531,960,2491
"District Judge, 80th Judicial District",0604,1444,528,1972,2910,67.77%,1595,283,1878
"District Judge, 80th Judicial District",0605,2227,889,3116,5251,59.34%,718,2267,2985
"District Judge, 80th Judicial District",0606,420,122,542,1053,51.47%,5,516,521
"District Judge, 80th Judicial District",0607,194,118,312,731,42.68%,19,276,295
"District Judge, 80th Judicial District",0608,245,290,535,1256,42.60%,198,296,494
"District Judge, 80th Judicial District",0609,1364,844,2208,3261,67.71%,1318,746,2064
"District Judge, 80th Judicial District",0610,403,398,801,1825,43.89%,334,416,750
"District Judge, 80th Judicial District",0611,1120,301,1421,2450,58.00%,38,1344,1382
"District Judge, 80th Judicial District",0612,1700,579,2279,3272,69.65%,1659,477,2136
"District Judge, 80th Judicial District",0613,495,309,804,1450,55.45%,119,656,775
"District Judge, 80th Judicial District",0614,1631,812,2443,3932,62.13%,784,1546,2330
"District Judge, 80th Judicial District",0615,931,404,1335,1926,69.31%,760,510,1270
"District Judge, 80th Judicial District",0616,1352,970,2322,3378,68.74%,1552,647,2199
"District Judge, 80th Judicial District",0617,1318,849,2167,3546,61.11%,752,1324,2076
"District Judge, 80th Judicial District",0618,1920,1021,2941,5344,55.03%,1253,1564,2817
"District Judge, 80th Judicial District",0619,2133,857,2990,4266,70.09%,2152,698,2850
"District Judge, 80th Judicial District",0620,2382,856,3238,5271,61.43%,1480,1549,3029
"District Judge, 80th Judicial District",0621,397,203,600,1173,51.15%,280,288,568
"District Judge, 80th Judicial District",0622,1722,829,2551,4305,59.26%,1432,987,2419
"District Judge, 80th Judicial District",0623,1708,626,2334,3481,67.05%,1434,753,2187
"District Judge, 80th Judicial District",0624,9,0,9,16,56.25%,5,4,9
"District Judge, 80th Judicial District",0625,862,454,1316,1796,73.27%,710,499,1209
"District Judge, 80th Judicial District",0626,1148,655,1803,2838,63.53%,862,835,1697
"District Judge, 80th Judicial District",0627,795,647,1442,2964,48.65%,402,945,1347
"District Judge, 80th Judicial District",0628,292,456,748,1600,46.75%,299,402,701
"District Judge, 80th Judicial District",0629,175,127,302,629,48.01%,21,275,296
"District Judge, 80th Judicial District",0630,2018,535,2553,3190,80.03%,215,2249,2464
"District Judge, 80th Judicial District",0631,1489,392,1881,2733,68.83%,1294,487,1781
"District Judge, 80th Judicial District",0632,12,9,21,231,9.09%,4,14,18
"District Judge, 80th Judicial District",0633,1782,678,2460,3257,75.53%,1736,601,2337
"District Judge, 80th Judicial District",0634,1020,734,1754,2922,60.03%,1057,616,1673
"District Judge, 80th Judicial District",0635,1326,706,2032,3280,61.95%,1514,429,1943
"District Judge, 80th Judicial District",0636,1791,974,2765,3881,71.24%,2316,338,2654
"District Judge, 80th Judicial District",0637,739,509,1248,2471,50.51%,285,865,1150
"District Judge, 80th Judicial District",0638,740,684,1424,2078,68.53%,95,1266,1361
"District Judge, 80th Judicial District",0639,828,711,1539,2501,61.54%,1176,298,1474
"District Judge, 80th Judicial District",0640,1382,723,2105,3548,59.33%,1174,829,2003
"District Judge, 80th Judicial District",0641,1265,878,2143,3375,63.50%,1284,758,2042
"District Judge, 80th Judicial District",0642,871,447,1318,1779,74.09%,1057,198,1255
"District Judge, 80th Judicial District",0643,2157,994,3151,5310,59.34%,1164,1832,2996
"District Judge, 80th Judicial District",0644,2123,1204,3327,5261,63.24%,2036,1113,3149
"District Judge, 80th Judicial District",0645,1639,895,2534,4035,62.80%,1141,1250,2391
"District Judge, 80th Judicial District",0646,708,456,1164,2163,53.81%,337,766,1103
"District Judge, 80th Judicial District",0647,1770,1020,2790,5593,49.88%,681,1883,2564
"District Judge, 80th Judicial District",0648,1590,668,2258,3197,70.63%,1541,611,2152
"District Judge, 80th Judicial District",0649,1389,854,2243,4426,50.68%,597,1515,2112
"District Judge, 80th Judicial District",0650,1328,939,2267,3151,71.95%,1604,545,2149
"District Judge, 80th Judicial District",0651,2085,1070,3155,4931,63.98%,1908,1083,2991
"District Judge, 80th Judicial District",0652,1049,653,1702,2633,64.64%,266,1366,1632
"District Judge, 80th Judicial District",0653,0,8,8,0,0.00%,2,6,8
"District Judge, 80th Judicial District",0654,2103,1344,3447,5765,59.79%,1722,1519,3241
"District Judge, 80th Judicial District",0655,2612,1451,4063,6304,64.45%,2468,1370,3838
"District Judge, 80th Judicial District",0656,1198,421,1619,2622,61.75%,46,1522,1568
"District Judge, 80th Judicial District",0657,490,268,758,1200,63.17%,287,425,712
"District Judge, 80th Judicial District",0658,985,708,1693,2824,59.95%,1014,607,1621
"District Judge, 80th Judicial District",0659,2141,1091,3232,4588,70.44%,2236,848,3084
"District Judge, 80th Judicial District",0660,2460,932,3392,5048,67.19%,314,2955,3269
"District Judge, 80th Judicial District",0661,1614,1012,2626,4179,62.84%,1343,1127,2470
"District Judge, 80th Judicial District",0662,2477,999,3476,4807,72.31%,2752,593,3345
"District Judge, 80th Judicial District",0663,1302,913,2215,3232,68.53%,1157,880,2037
"District Judge, 80th Judicial District",0664,681,607,1288,2801,45.98%,282,938,1220
"District Judge, 80th Judicial District",0665,951,394,1345,2007,67.02%,1066,209,1275
"District Judge, 80th Judicial District",0666,0,1,1,0,0.00%,0,1,1
"District Judge, 80th Judicial District",0667,989,547,1536,2181,70.43%,1128,321,1449
"District Judge, 80th Judicial District",0668,927,655,1582,2458,64.36%,958,544,1502
"District Judge, 80th Judicial District",0669,1606,823,2429,3243,74.90%,1657,635,2292
"District Judge, 80th Judicial District",0670,1566,518,2084,2952,70.60%,1569,379,1948
"District Judge, 80th Judicial District",0671,1090,773,1863,2942,63.32%,1054,691,1745
"District Judge, 80th Judicial District",0672,2301,1078,3379,4710,71.74%,2177,1059,3236
"District Judge, 80th Judicial District",0673,1376,643,2019,2988,67.57%,1543,366,1909
"District Judge, 80th Judicial District",0674,2092,813,2905,4055,71.64%,2120,669,2789
"District Judge, 80th Judicial District",0675,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0676,0,0,0,0,0.00%,0,0,0
"District Judge, 80th Judicial District",0677,220,239,459,954,48.11%,124,309,433
"District Judge, 80th Judicial District",0678,297,164,461,756,60.98%,289,136,425
"District Judge, 80th Judicial District",0679,1466,661,2127,3331,63.85%,1571,445,2016
"District Judge, 80th Judicial District",0680,56,22,78,181,43.09%,35,36,71
"District Judge, 80th Judicial District",0681,1,0,1,5,20.00%,0,1,1
"District Judge, 80th Judicial District",0682,1673,912,2585,4134,62.53%,1841,618,2459
"District Judge, 80th Judicial District",0683,48,50,98,261,37.55%,23,68,91
