Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Richard Risinger,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0080,1159,481,1640,2712,60.47%,335,1215,1550
"District Judge, 80th Judicial District",0081,540,309,849,1839,46.17%,267,518,785
"District Judge, 80th Judicial District",0082,1353,816,2169,3284,66.05%,1582,487,2069
"District Judge, 80th Judicial District",0083,2625,1181,3806,5598,67.99%,1740,1902,3642
"District Judge, 80th Judicial District",0084,444,346,790,1389,56.88%,548,206,754
"District Judge, 80th Judicial District",0085,730,548,1278,2079,61.47%,27,1196,1223
"District Judge, 80th Judicial District",0086,1054,689,1743,2637,66.10%,778,824,1602
"District Judge, 80th Judicial District",0087,1222,861,2083,2749,75.77%,1200,694,1894
"District Judge, 80th Judicial District",0088,235,162,397,678,58.55%,249,132,381
"District Judge, 80th Judicial District",0089,342,454,796,1104,72.10%,410,311,721
"District Judge, 80th Judicial District",0090,1498,958,2456,3571,68.78%,1744,572,2316
"District Judge, 80th Judicial District",0091,466,333,799,1248,64.02%,478,288,766
"District Judge, 80th Judicial District",0092,1105,534,1639,2228,73.56%,1068,458,1526
"District Judge, 80th Judicial District",0093,782,643,1425,3295,43.25%,502,822,1324
"District Judge, 80th Judicial District",0094,148,104,252,537,46.93%,55,183,238
"District Judge, 80th Judicial District",0095,1684,671,2355,3179,74.08%,1545,649,2194
"District Judge, 80th Judicial District",0096,364,237,601,1241,48.43%,53,528,581
"District Judge, 80th Judicial District",0097,2393,764,3157,4566,69.14%,2262,726,2988
"District Judge, 80th Judicial District",0098,874,607,1481,2403,61.63%,1181,234,1415
"District Judge, 80th Judicial District",0099,568,311,879,2040,43.09%,383,457,840
"District Judge, 80th Judicial District",0100,427,324,751,1754,42.82%,326,390,716
"District Judge, 80th Judicial District",0101,203,186,389,941,41.34%,86,291,377
"District Judge, 80th Judicial District",0102,493,268,761,1910,39.84%,190,542,732
