Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP JuLuette Bartlett-Pack,DEM Erica S. Lee,Totals
"County School Trustee, Position 6, Precinct 1",0975,72,41,113,170,66.47%,50,54,104
"County School Trustee, Position 6, Precinct 1",0987,465,191,656,1138,57.64%,45,590,635
"County School Trustee, Position 6, Precinct 1",0994,6,5,11,8,137.50%,2,8,10
"County School Trustee, Position 6, Precinct 1",0995,595,190,786,1269,61.94%,31,727,758
"County School Trustee, Position 6, Precinct 1",0996,297,125,422,699,60.37%,223,173,396
"County School Trustee, Position 6, Precinct 1",0997,429,328,757,1439,52.61%,120,614,734
"County School Trustee, Position 6, Precinct 1",1000,105,0,105,458,22.93%,16,83,99
"County School Trustee, Position 6, Precinct 1",1010,124,74,198,317,62.46%,32,160,192
"County School Trustee, Position 6, Precinct 1",1019,426,4,430,1518,28.33%,16,398,414
"County School Trustee, Position 6, Precinct 1",1020,0,0,0,1,0.00%,0,0,0
"County School Trustee, Position 6, Precinct 1",1038,133,43,176,266,66.17%,10,162,172
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP JuLuette Bartlett-Pack,DEM Erica S. Lee,Totals
"County School Trustee, Position 6, Precinct 1",1045,611,321,932,1439,64.77%,116,789,905
"County School Trustee, Position 6, Precinct 1",1050,148,153,301,506,59.49%,55,230,285
"County School Trustee, Position 6, Precinct 1",1055,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 6, Precinct 1",1056,4,0,4,6,66.67%,0,4,4
"County School Trustee, Position 6, Precinct 1",1057,34,7,41,115,35.65%,2,36,38
"County School Trustee, Position 6, Precinct 1",1058,540,246,786,1190,66.05%,119,636,755
"County School Trustee, Position 6, Precinct 1",1059,7,3,10,23,43.48%,0,10,10
"County School Trustee, Position 6, Precinct 1",Totals:,194730,106010,300740,499797,,62922,222779,285701
