Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Steve Radack,DEM Glorice McPherson,Totals
"County Commissioner, Precinct 3",0424,435,1,57,592,888,66.67%,354,226,580
"County Commissioner, Precinct 3",0425,227,234,461,875,52.69%,149,285,434
"County Commissioner, Precinct 3",0426,415,283,698,1224,57.03%,412,238,650
"County Commissioner, Precinct 3",0427,325,249,574,1115,51.48%,217,321,538
"County Commissioner, Precinct 3",0428,1284,907,2191,4316,50.76%,650,1396,2046
"County Commissioner, Precinct 3",0430,403,335,738,1654,44.62%,160,524,684
"County Commissioner, Precinct 3",0431,819,403,1222,3188,38.33%,326,822,1148
"County Commissioner, Precinct 3",0432,311,271,582,1344,43.30%,160,392,552
"County Commissioner, Precinct 3",0433,139,106,245,573,42.76%,40,190,230
"County Commissioner, Precinct 3",0435,1534,768,2302,3097,74.33%,1556,598,2154
"County Commissioner, Precinct 3",0436,1334,709,2043,3012,67.83%,1263,643,1906
"County Commissioner, Precinct 3",0437,951,542,1493,2007,74.39%,1104,326,1430
"County Commissioner, Precinct 3",0438,1046,387,1433,1802,79.52%,1121,235,1356
"County Commissioner, Precinct 3",0439,1526,905,2431,3416,71.17%,1777,510,2287
"County Commissioner, Precinct 3",0440,1326,876,2202,2867,76.81%,1768,302,2070
"County Commissioner, Precinct 3",0441,698,513,1211,1616,74.94%,911,234,1145
"County Commissioner, Precinct 3",0443,335,148,483,605,79.83%,365,94,459
"County Commissioner, Precinct 3",0447,271,108,379,583,65.01%,134,222,356
"County Commissioner, Precinct 3",0461,1958,828,2786,3733,74.63%,1925,706,2631
"County Commissioner, Precinct 3",0463,1124,656,1780,2962,60.09%,720,989,1709
"County Commissioner, Precinct 3",0480,936,555,1491,2267,65.77%,1046,381,1427
"County Commissioner, Precinct 3",0481,1463,852,2315,3298,70.19%,1728,506,2234
"County Commissioner, Precinct 3",0483,1868,759,2627,4141,63.44%,1451,1072,2523
"County Commissioner, Precinct 3",0487,1005,612,1617,3318,48.73%,478,1008,1486
"County Commissioner, Precinct 3",0488,580,440,1020,1713,59.54%,350,600,950
"County Commissioner, Precinct 3",0490,876,439,1315,1944,67.64%,508,738,1246
"County Commissioner, Precinct 3",0491,667,489,1156,1782,64.87%,685,402,1087
"County Commissioner, Precinct 3",0492,1069,504,1573,2351,66.91%,880,621,1501
"County Commissioner, Precinct 3",0493,858,400,1258,1804,69.73%,830,370,1200
"County Commissioner, Precinct 3",0499,1301,517,1818,2304,78.91%,1366,368,1734
"County Commissioner, Precinct 3",0503,359,273,632,1363,46.37%,200,383,583
"County Commissioner, Precinct 3",0504,1129,538,1667,2197,75.88%,1166,444,1610
"County Commissioner, Precinct 3",0507,582,385,967,2435,39.71%,148,688,836
"County Commissioner, Precinct 3",0508,946,760,1706,3248,52.52%,573,1009,1582
"County Commissioner, Precinct 3",0509,1340,864,2204,3536,62.33%,1566,562,2128
"County Commissioner, Precinct 3",0510,1492,682,2174,3511,61.92%,1019,1052,2071
"County Commissioner, Precinct 3",0517,1208,653,1861,3320,56.05%,997,780,1777
"County Commissioner, Precinct 3",0519,1234,645,1879,2951,63.67%,1331,476,1807
"County Commissioner, Precinct 3",0521,1011,694,1705,2725,62.57%,883,763,1646
"County Commissioner, Precinct 3",0522,1171,658,1829,2682,68.20%,1378,377,1755
"County Commissioner, Precinct 3",0524,1237,675,1912,3292,58.08%,599,1238,1837
"County Commissioner, Precinct 3",0539,26,209,235,71,330.99%,49,164,213
"County Commissioner, Precinct 3",0546,4,4,8,30,26.67%,2,6,8
"County Commissioner, Precinct 3",0547,877,647,1524,2408,63.29%,1049,409,1458
"County Commissioner, Precinct 3",0557,822,556,1378,2726,50.55%,437,840,1277
"County Commissioner, Precinct 3",0558,1588,824,2412,4084,59.06%,799,1510,2309
"County Commissioner, Precinct 3",0559,1787,899,2686,4633,57.98%,654,1895,2549
"County Commissioner, Precinct 3",0565,315,194,509,1373,37.07%,89,384,473
"County Commissioner, Precinct 3",0566,1122,478,1600,2950,54.24%,443,1097,1540
"County Commissioner, Precinct 3",0567,672,394,1066,2198,48.50%,288,689,977
"County Commissioner, Precinct 3",0569,1294,865,2159,3249,66.45%,1199,823,2022
