Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Houston |.S.D., PROPOSITION",0117,301,332,633,1394,45.41%,325,182,507
"Houston |.S.D., PROPOSITION",0122,895,349,1244,2199,56.57%,727,162,889
"Houston |.S.D., PROPOSITION",0123,440,350,790,1356,58.26%,500,180,680
"Houston |.S.D., PROPOSITION",0128,936,736,1672,2257,74.08%,970,534,1504
"Houston |.S.D., PROPOSITION",0129,2294,1449,3743,5495,68.12%,1979,1183,3162
"Houston |.S.D., PROPOSITION",0130,1176,502,1678,2185,76.80%,648,758,1406
"Houston |.S.D., PROPOSITION",0131,604,374,978,1721,56.83%,554,205,759
"Houston |.S.D., PROPOSITION",0132,1119,397,1516,2449,61.90%,854,237,1091
"Houston |.S.D., PROPOSITION",0133,1083,940,2023,2605,77.66%,1191,648,1839
"Houston |.S.D., PROPOSITION",0134,419,392,811,1444,56.16%,373,306,679
"Houston |.S.D., PROPOSITION",0135,1424,634,2058,2750,74.84%,1079,693,1772
"Houston |.S.D., PROPOSITION",0136,981,451,1432,2111,67.84%,878,290,1168
"Houston |.S.D., PROPOSITION",0137,305,193,498,740,67.30%,288,142,430
"Houston |.S.D., PROPOSITION",0138,661,259,920,1749,52.60%,469,134,603
"Houston |.S.D., PROPOSITION",0139,1290,747,2037,2746,74.18%,1177,548,1725
"Houston |.S.D., PROPOSITION",0140,1311,683,1994,3104,64.24%,1260,430,1690
"Houston |.S.D., PROPOSITION",0142,212,171,383,870,44.02%,205,83,288
"Houston |.S.D., PROPOSITION",0144,476,204,680,1143,59.49%,347,87,434
"Houston |.S.D., PROPOSITION",0145,663,245,908,1580,57.47%,482,106,588
"Houston |.S.D., PROPOSITION",0146,759,614,1373,1953,70.30%,813,406,1219
"Houston |.S.D., PROPOSITION",0148,908,924,1832,2467,74.26%,1187,483,1670
"Houston |.S.D., PROPOSITION",0152,469,600,1069,2631,40.63%,604,216,820
"Houston |.S.D., PROPOSITION",0153,328,437,765,1755,43.59%,419,177,596
"Houston |.S.D., PROPOSITION",0154,593,360,953,2133,44.68%,575,190,765
