Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Allen Fletcher,GRN Art Browning,Totals
"State Representative, District 130",0049,1228,669,1897,3144,60.34%,1363,145,1508
"State Representative, District 130",0111,1868,848,2716,3638,74.66%,2086,243,2329
"State Representative, District 130",0121,193,244,437,679,64.36%,295,41,336
"State Representative, District 130",0124,3522,1281,4803,5952,80.70%,3921,332,4253
"State Representative, District 130",0126,1630,407,2037,2799,72.78%,1775,88,1863
"State Representative, District 130",0127,854,182,1036,1703,60.83%,762,66,828
"State Representative, District 130",0173,1798,619,2417,3105,77.84%,1918,182,2100
"State Representative, District 130",0245,2340,1115,3455,5240,65.94%,2413,346,2759
"State Representative, District 130",0300,3013,922,3935,5040,78.08%,3188,291,3479
"State Representative, District 130",0370,3143,1178,4321,5781,74.74%,3376,380,3756
"State Representative, District 130",0442,1366,513,1879,2504,75.04%,1584,139,1723
"State Representative, District 130",0480,936,555,1491,2267,65.77%,1090,167,1257
"State Representative, District 130",0481,1463,852,2315,3298,70.19%,1768,228,1996
"State Representative, District 130",0485,2421,990,3411,4838,70.50%,2629,299,2928
"State Representative, District 130",0486,1843,805,2648,3572,74.13%,2115,197,2312
"State Representative, District 130",0519,1234,645,1879,2951,63.67%,1404,210,1614
"State Representative, District 130",0529,1987,441,2428,3616,67.15%,2056,139,2195
"State Representative, District 130",0602,562,296,858,1237,69.36%,623,91,714
"State Representative, District 130",0640,1382,723,2105,3548,59.33%,1301,297,1598
"State Representative, District 130",0641,1265,878,2143,3375,63.50%,1392,269,1661
"State Representative, District 130",0688,1815,673,2488,3266,76.18%,2069,175,2244
"State Representative, District 130",0691,10,2,12,34,35.29%,5,2,7
"State Representative, District 130",0713,665,436,1101,1827,60.26%,633,147,780
"State Representative, District 130",0726,1141,304,1445,1987,72.72%,1262,63,1325
"State Representative, District 130",0734,3209,1114,4323,5952,72.63%,3103,439,3542
"State Representative, District 130",0768,2854,1159,4013,5364,74.81%,3242,329,3571
"State Representative, District 130",0805,1509,529,2038,2812,72.48%,1665,158,1823
"State Representative, District 130",0828,1074,343,1417,1875,75.57%,1186,100,1286
"State Representative, District 130",0878,853,350,1203,1641,73.31%,1033,75,1108
"State Representative, District 130",0880,1068,472,1540,2007,76.73%,1234,104,1338
"State Representative, District 130",0926,361,120,481,621,77.46%,387,38,425
"State Representative, District 130",0979,5,6,11,26,42.31%,11,0,11
"State Representative, District 130",0980,595,356,951,1323,71.88%,724,94,818
"State Representative, District 130",0982,534,218,752,1021,73.65%,606,56,662
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Allen Fletcher,GRN Art Browning,Totals
"State Representative, District 130",0983,41,28,69,165,41.82%,45,12,57
"State Representative, District 130",1,021,1,0,1,2,50.00%,0,0,0
"State Representative, District 130",1022,190,30,220,426,51.64%,180,15,195
"State Representative, District 130",1036,144,46,190,433,43.88%,152,10,162
"State Representative, District 130",Totals:,50117,20349,70466,99069,54596,5967,60563
