Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Baytown, Proposition No. 8",0012,227,133,360,716,50.28%,137,79,216
"City of Baytown, Proposition No. 8",0013,1133,439,1572,2808,55.98%,658,385,1043
"City of Baytown, Proposition No. 8",0028,1436,459,1895,2768,68.46%,810,398,1208
"City of Baytown, Proposition No. 8",0063,1,0,1,0,0.00%,0,0,0
"City of Baytown, Proposition No. 8",0099,568,311,879,2040,43.09%,346,193,539
"City of Baytown, Proposition No. 8",0100,427,324,751,1754,42.82%,258,210,468
"City of Baytown, Proposition No. 8",0102,493,267,760,1910,39.79%,251,144,395
"City of Baytown, Proposition No. 8",0103,287,82,369,664,55.57%,129,94,223
"City of Baytown, Proposition No. 8",0248,408,405,813,2122,38.31%,228,198,426
"City of Baytown, Proposition No. 8",0249,1011,477,1488,2636,56.45%,635,363,998
"City of Baytown, Proposition No. 8",0250,0,0,0,0,0.00%,0,0,0
"City of Baytown, Proposition No. 8",0386,599,186,785,1249,62.85%,322,193,515
"City of Baytown, Proposition No. 8",0387,2,17,19,7,271.43%,4,4,8
"City of Baytown, Proposition No. 8",0414,1407,577,1984,3360,59.05%,818,457,1275
"City of Baytown, Proposition No. 8",0456,1168,556,1724,3091,55.77%,671,384,1055
"City of Baytown, Proposition No. 8",0532,452,184,636,1039,61.21%,251,163,414
"City of Baytown, Proposition No. 8",0533,317,207,524,1069,49.02%,185,133,318
"City of Baytown, Proposition No. 8",0739,905,448,1353,2526,53.56%,519,302,821
"City of Baytown, Proposition No. 8",0740,43,39,82,148,55.41%,20,16,36
"City of Baytown, Proposition No. 8",Totals:,10884,5111,15995,29907,,6242,3716,9958
