Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"City of Baytown, Proposition No. 19",0012,227,133,360,716,50.28%,160,57,217
"City of Baytown, Proposition No. 19",0013,1133,439,1572,2808,55.98%,738,322,1060
"City of Baytown, Proposition No. 19",0028,1436,459,1895,2768,68.46%,944,285,1229
"City of Baytown, Proposition No. 19",0063,1,0,1,0,0.00%,0,0,0
"City of Baytown, Proposition No. 19",0099,568,311,879,2040,43.09%,399,143,542
"City of Baytown, Proposition No. 19",0100,427,324,751,1754,42.82%,329,147,476
"City of Baytown, Proposition No. 19",0102,493,267,760,1910,39.79%,302,101,403
"City of Baytown, Proposition No. 19",0103,287,82,369,664,55.57%,164,59,223
"City of Baytown, Proposition No. 19",0248,408,405,813,2122,38.31%,307,115,422
"City of Baytown, Proposition No. 19",0249,1011,477,1488,2636,56.45%,764,254,1018
"City of Baytown, Proposition No. 19",0250,0,0,0,0,0.00%,0,0,0
"City of Baytown, Proposition No. 19",0386,599,186,785,1249,62.85%,382,141,523
"City of Baytown, Proposition No. 19",0387,2,17,19,7,271.43%,7,3,10
"City of Baytown, Proposition No. 19",0414,1407,577,1984,3360,59.05%,944,357,1301
"City of Baytown, Proposition No. 19",0456,1168,556,1724,3091,55.77%,784,274,1058
"City of Baytown, Proposition No. 19",0532,452,184,636,1039,61.21%,297,121,418
"City of Baytown, Proposition No. 19",0533,317,207,524,1069,49.02%,239,86,325
"City of Baytown, Proposition No. 19",0739,905,448,1353,2526,53.56%,589,231,820
"City of Baytown, Proposition No. 19",0740,43,39,82,148,55.41%,26,13,39
"City of Baytown, Proposition No. 19",Totals:,10884,5111,15995,29907,7375,2709,10084
