Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Republican Party,DEM Democratic Party,LIB Libertarian Party,GRN Green Party,Totals
Straight Party,0001,812,516,1328,2155,61.62%,264,442,5,2,713
Straight Party,0002,760,407,1167,1890,61.75%,346,301,8,4,659
Straight Party,0003,666,474,1140,1519,75.05%,249,295,9,1,554
Straight Party,0004,681,534,1215,1652,73.55%,257,295,5,3,560
Straight Party,0005,478,518,996,1376,72.38%,219,227,7,4,457
Straight Party,0006,1251,929,2180,3616,60.29%,879,647,13,1,1540
Straight Party,0007,496,124,620,1058,58.60%,9,517,0,1,527
Straight Party,0008,664,430,1094,1706,64.13%,348,277,11,3,639
Straight Party,0009,475,382,857,1736,49.37%,109,446,3,2,560
Straight Party,0010,499,245,744,1722,43.21%,109,354,2,3,468
Straight Party,0011,418,335,753,1830,41.15%,90,445,2,3,540
Straight Party,0012,228,133,361,716,50.42%,156,127,0,1,284
Straight Party,0013,1142,443,1585,2823,56.15%,699,315,8,2,1024
Straight Party,0014,764,606,1370,1848,74.13%,486,246,2,1,735
Straight Party,0015,1149,1016,2165,2806,77.16%,714,280,7,2,1003
Straight Party,0016,462,175,637,947,67.27%,189,141,4,2,336
Straight Party,0017,347,326,673,1105,60.90%,174,238,7,1,420
Straight Party,0018,551,483,1034,1396,74.07%,271,218,3,2,494
Straight Party,0019,424,261,685,995,68.84%,139,216,9,0,364
Straight Party,0020,686,470,1156,3074,37.61%,203,456,6,2,667
Straight Party,0021,420,230,650,1013,64.17%,88,317,4,2,411
Straight Party,0022,893,554,1447,2524,57.33%,131,941,6,1,1079
Straight Party,0023,100,65,165,512,32.23%,29,102,0,0,131
Straight Party,0024,225,121,346,611,56.63%,24,249,0,0,273
Straight Party,0025,246,304,550,1062,51.79%,7,423,2,0,432
Straight Party,0026,464,486,950,1843,51.55%,154,395,9,2,560
Straight Party,0027,822,695,1517,3005,50.48%,201,699,6,11,917
Straight Party,0028,1448,465,1913,2782,68.76%,783,485,7,5,1280
Straight Party,0029,419,577,996,2659,37.46%,238,485,6,1,730
Straight Party,0030,803,588,1391,2034,68.39%,217,677,6,4,904
Straight Party,0031,916,526,1442,2518,57.27%,16,1126,0,1,1143
Straight Party,0032,804,556,1360,2171,62.64%,384,306,12,3,705
Straight Party,0033,1496,843,2339,3540,66.07%,561,602,24,4,1191
Straight Party,0034,1029,749,1778,2676,66.44%,274,590,22,5,891
Straight Party,0035,4,0,4,12,33.33%,0,2,0,0,2
Straight Party,0038,995,479,1474,2888,51.39%,273,759,3,0,1035
Straight Party,0037,809,479,1288,1885,88.33%,281,399,5,5,870
Straight Party,0038,1251,873,1924,2703,71.18%,383,508,15,4,910
Straight Party,0039,1082,723,1805,2728,88.21%,298,558,12,3,889
Straight Party,0040,241,135,378,524,71.78%,92,50,1,0,143
Straight Party,0041,580,284,844,1197,70.51%,255,322,3,0,580
Straight Party,0042,505,139,844,1121,57.45%,8,524,0,0,532
Straight Party,0043,521,372,893,1844,54.32%,283,289,8,5,585
Straight Party,0044,493,314,807,1978,40.84%,94,410,1,8,511
Straight Party,0045,2434,1138,3572,8031,59.23%,405,2304,8,4,2719
Straight Party,0048,539,433,972,2488,39.38%,88,583,4,4,859
Straight Party,0047,538,345,881,1824,54.25%,12,759,0,0,771
Straight Party,0048,371,193,584,992,58.85%,24,413,1,1,439
Straight Party,0049,1229,559,1898,3144,80.37%,999,358,4,4,1383
Straight Party,0050,1908,1110,3018,4782,83.38%,1123,982,21,3,2109
Straight Party,0051,880,349,1009,1588,84.35%,524,181,3,2,890
Straight Party,0052,985,820,1805,2299,89.81%,520,358,14,1,891
Straight Party,0053,1110,884,1994,2808,71.01%,514,458,18,2,992
Straight Party,0054,810,402,1012,1408,71.88%,329,200,9,0,538
Straight Party,0055,443,394,837,1305,84.14%,208,233,9,2,452
Straight Party,0058,552,307,859,1285,88.85%,359,150,8,2,517
Straight Party,0057,1280,958,2238,3082,73.02%,507,484,13,3,1007
Straight Party,0058,885,747,1832,2521,84.74%,425,449,11,7,892
Straight Party,0059,915,751,1888,2283,72.97%,408,409,4,4,825
Straight Party,0080,849,884,1513,2283,88.88%,230,488,8,5,707
Straight Party,0081,439,528,987,2250,42.98%,154,530,8,1,891
Straight Party,0082,420,528,948,2190,43.29%,105,487,4,5,801
Straight Party,0083,875,400,1075,1784,80.28%,802,101,1,0,704
Straight Party,0084,410,420,830,2090,39.71%,98,474,3,5,580
Straight Party,0085,404,532,938,2178,42.98%,115,587,3,8,893
Straight Party,0088,172,279,451,1090,41.38%,44,289,3,1,337
Straight Party,0087,888,574,1240,2742,45.22%,189,872,5,9,855
Straight Party,0088,1200,488,1888,2782,80.80%,15,1378,0,2,1393
Straight Party,0069,218,284,502,1303,38.53%,52,293,4,1,350
Straight Party,0070,1645,726,2371,3142,75.46%,889,355,18,3,1265
Straight Party,0071,1434,948,2382,3662,65.05%,825,596,22,1,1444
Straight Party,0072,442,562,1004,1882,53.35%,154,452,5,6,617
Straight Party,0073,502,496,998,1494,66.80%,346,164,5,1,516
Straight Party,0074,2221,530,2751,3632,75.74%,1519,256,9,3,1787
Straight Party,0075,488,370,858,1329,64.56%,204,240,3,3,450
Straight Party,0076,815,569,1384,2328,59.45%,518,353,5,1,877
Straight Party,0077,169,81,250,565,44.25%,42,147,0,0,189
Straight Party,0078,360,344,704,1479,47.60%,126,305,0,2,433
Straight Party,0079,511,717,1228,2959,41.50%,133,681,0,2,816
Straight Party,0080,1159,481,1640,2712,60.47%,221,938,3,6,1168
Straight Party,0081,540,309,849,1839,46.17%,164,390,0,3,557
Straight Party,0082,1354,816,2170,3284,66.08%,1189,312,12,2,1515
Straight Party,0083,2636,1181,3817,5598,68.19%,1214,1298,10,3,2525
Straight Party,0084,445,346,791,1389,56.95%,403,144,3,1,551
Straight Party,0085,735,548,1283,2079,61.71%,12,887,1,1,901
Straight Party,0086,1059,689,1748,2637,66.29%,508,477,17,3,1005
Straight Party,0087,1230,861,2091,2749,76.06%,766,243,7,3,1019
Straight Party,0088,235,162,397,678,58.55%,188,82,1,1,272
Straight Party,0089,345,454,799,1104,72.37%,241,102,0,0,343
Straight Party,0090,1500,958,2458,3571,68.83%,1345,316,13,4,1678
Straight Party,0091,466,333,799,1248,64.02%,351,175,9,1,536
Straight Party,0092,1106,534,1640,2228,73.61%,767,234,7,1,1009
Straight Party,0093,782,643,1425,3295,43.25%,354,642,8,1,1005
Straight Party,0094,148,104,252,537,46.93%,33,139,1,3,176
Straight Party,0095,1694,671,2365,3179,74.39%,1152,346,8,3,1509
Straight Party,0096,365,237,602,1241,48.51%,36,427,1,2,466
Straight Party,0097,2398,764,3162,4566,69.25%,1467,447,13,3,1930
Straight Party,0098,875,607,1482,2403,61.67%,894,131,7,1,1033
Straight Party,0099,568,311,879,2040,43.09%,286,369,3,2,660
Straight Party,0100,427,324,751,1754,42.82%,237,289,4,3,533
Straight Party,0101,204,186,390,941,41.45%,60,236,0,0,296
Straight Party,0102,493,268,761,1910,39.84%,136,442,1,0,579
Straight Party,0103,1915,1065,2980,4751,62.72%,1089,972,10,6,2077
Straight Party,0104,993,238,1231,1847,66.65%,14,1007,1,0,1022
Straight Party,0105,462,453,915,2153,42.50%,147,479,5,2,633
Straight Party,0106,49,37,86,284,30.28%,31,27,0,1,59
Straight Party,0107,412,441,853,1905,44.78%,101,573,0,1,675
Straight Party,0108,1195,514,1709,3229,52.93%,673,571,8,4,1256
Straight Party,0109,1161,430,1591,2884,55.17%,18,1253,1,0,1272
Straight Party,0110,1465,589,2054,2853,71.99%,894,471,12,2,1379
Straight Party,0111,1872,848,2720,3638,74.77%,1421,366,16,1,1804
Straight Party,0112,1263,668,1931,2894,66.72%,956,295,14,1,1266
Straight Party,0113,1126,590,1716,2537,67.64%,697,449,9,2,1157
Straight Party,0114,1457,546,2003,2650,75.58%,1185,252,8,2,1447
Straight Party,0115,599,305,904,1764,51.25%,65,674,2,2,743
Straight Party,0116,1631,747,2378,3014,78.90%,1204,189,11,0,1404
Straight Party,0117,398,452,860,1878,45.79%,241,332,6,3,582
Straight Party,0118,460,148,608,743,81.83%,337,41,0,0,378
Straight Party,0119,1925,1265,3190,4892,65.21%,1990,400,5,4,2399
Straight Party,0120,1206,632,1838,2986,61.55%,796,421,9,1,1227
Straight Party,0121,193,244,437,679,64.36%,222,98,0,2,322
Straight Party,0122,895,349,1244,2199,56.57%,21,952,1,2,976
Straight Party,0123,445,350,796,1356,58.70%,128,266,7,4,405
Straight Party,0124,3527,1281,4808,5952,80.78%,2854,503,17,3,3377
Straight Party,0125,897,534,1431,2281,62.74%,594,382,9,3,988
Straight Party,0126,1631,407,2038,2799,72.81%,1373,142,10,3,1528
Straight Party,0127,854,182,1036,1703,60.83%,574,206,2,0,782
Straight Party,0128,938,736,1674,2257,74.17%,616,200,6,2,824
Straight Party,0129,2303,1449,3752,5495,68.28%,1530,726,22,9,2287
Straight Party,0130,1210,523,1733,2240,77.37%,902,192,4,0,1098
Straight Party,0131,607,374,981,1721,57.00%,159,546,3,3,711
Straight Party,0132,1121,397,1518,2449,61.98%,16,1201,0,3,1220
Straight Party,0133,1091,940,2031,2605,77.97%,720,300,7,3,1030
Straight Party,0134,420,392,812,1444,56.23%,241,273,3,0,517
Straight Party,0135,1438,634,2072,2750,75.35%,813,274,11,2,1100
Straight Party,0136,986,451,1437,2111,68.07%,22,946,5,1,974
Straight Party,0137,305,193,498,740,67.30%,142,88,1,3,234
Straight Party,0138,661,259,920,1749,52.60%,11,755,2,1,769
Straight Party,0139,1307,747,2054,2746,74.80%,596,439,14,1,1050
Straight Party,0140,1317,683,2000,3104,64.43%,166,1072,7,3,1248
Straight Party,0141,181,143,324,872,37.16%,137,75,0,2,214
Straight Party,0142,212,171,383,870,44.02%,65,196,2,0,263
Straight Party,0143,3002,660,3662,4598,79.64%,1901,634,11,1,2547
Straight Party,0144,477,204,681,1143,59.58%,4,550,0,1,555
Straight Party,0145,663,245,908,1580,57.47%,11,785,0,1,797
Straight Party,0146,760,614,1374,1953,70.35%,361,355,8,4,728
Straight Party,0147,1259,485,1744,2813,62.00%,126,1197,2,1,1326
Straight Party,0148,917,924,1841,2467,74.63%,430,444,4,3,881
Straight Party,0149,2868,1322,4190,6103,68.65%,1351,1621,16,6,2994
Straight Party,0150,539,207,746,1212,61.55%,16,616,0,2,634
Straight Party,0151,316,148,464,846,54.85%,14,359,1,1,375
Straight Party,0152,484,602,1086,2701,40.21%,146,621,7,2,776
Straight Party,0153,328,437,765,1755,43.59%,117,409,3,1,530
Straight Party,0154,593,360,953,2133,44.68%,121,466,4,5,596
Straight Party,0155,1964,834,2798,4087,68.46%,1434,523,3,5,1965
Straight Party,0156,1432,457,1889,3134,60.27%,23,1381,2,0,1406
Straight Party,0157,881,382,1263,2311,54.65%,21,992,0,1,1014
Straight Party,0158,1304,435,1739,3016,57.66%,15,1401,1,1,1418
Straight Party,0159,313,187,500,976,51.23%,39,331,1,0,371
Straight Party,0160,246,140,386,688,56.10%,5,306,0,0,311
Straight Party,0161,395,190,585,1030,56.80%,5,472,0,0,477
Straight Party,0162,232,262,494,1249,39.55%,82,234,3,3,322
Straight Party,0163,781,635,1416,3054,46.37%,215,647,6,3,871
Straight Party,0164,505,304,809,1434,56.42%,5,679,0,1,685
Straight Party,0165,922,557,1479,2284,64.75%,633,273,10,6,922
Straight Party,0166,281,311,592,1016,58.27%,103,209,5,2,319
Straight Party,0167,5,2,7,23,30.43%,0,6,0,0,6
Straight Party,0168,189,126,315,519,60.69%,2,263,0,0,265
Straight Party,0169,1060,433,1493,2531,58.99%,8,1208,0,0,1216
Straight Party,0170,481,353,834,1887,44.20%,292,269,6,3,570
Straight Party,0171,514,294,808,1613,50.09%,15,650,2,2,669
Straight Party,0172,162,147,309,600,51.50%,59,117,1,2,179
Straight Party,0173,1801,619,2420,3105,77.94%,1399,305,6,5,1715
Straight Party,0174,1556,767,2323,3159,73.54%,1068,354,10,2,1434
Straight Party,0175,1075,867,1942,2506,77.49%,571,394,7,5,977
Straight Party,0176,629,530,1159,1581,73.31%,330,192,3,0,525
Straight Party,0177,677,385,1062,1478,71.85%,385,187,4,0,576
Straight Party,0178,918,368,1286,1718,74.85%,531,159,10,2,702
Straight Party,0179,451,321,772,1508,51.19%,219,255,10,1,485
Straight Party,0180,957,552,1519,2795,54.35%,20,1194,0,3,1217
Straight Party,0181,418,514,932,1968,47.36%,175,473,4,3,655
Straight Party,0182,1334,1081,2415,3289,73.43%,810,327,3,4,1144
Straight Party,0183,977,943,1920,2451,78.34%,727,187,9,1,924
Straight Party,0184,214,256,470,969,48.50%,87,229,2,2,320
Straight Party,0185,593,494,1087,1910,56.91%,222,482,3,1,708
Straight Party,0186,204,170,374,795,47.04%,31,260,2,0,293
Straight Party,0187,48,65,113,309,36.57%,17,64,1,0,82
Straight Party,0188,307,378,685,1616,42.39%,169,322,5,0,496
Straight Party,0189,495,473,968,1453,66.62%,306,189,8,2,505
Straight Party,0190,275,401,676,1720,39.30%,165,314,1,2,482
Straight Party,0191,197,313,510,1391,36.66%,124,236,1,2,363
Straight Party,0192,746,332,1078,2045,52.71%,25,838,0,2,865
Straight Party,0193,341,269,610,1050,58.10%,9,448,0,2,459
Straight Party,0194,711,504,1215,1735,70.03%,207,460,6,4,677
Straight Party,0195,539,419,958,1721,55.67%,19,729,2,1,751
Straight Party,0196,121,55,176,323,54.49%,4,126,0,0,130
Straight Party,0197,1111,497,1608,2895,55.54%,18,1272,1,0,1291
Straight Party,0198,144,158,302,657,45.97%,1,245,0,0,246
Straight Party,0199,1410,773,2183,3159,69.10%,1186,265,8,6,1465
Straight Party,0200,1654,585,2239,3222,69.49%,637,523,11,5,1176
Straight Party,0201,229,125,354,728,48.63%,8,292,0,2,302
Straight Party,0202,488,332,820,1479,55.44%,6,654,0,1,661
Straight Party,0203,266,156,422,900,46.89%,58,245,3,1,307
Straight Party,0204,1505,914,2419,3462,69.87%,868,446,11,5,1330
Straight Party,0205,856,201,1057,1667,63.41%,12,851,1,0,864
Straight Party,0206,652,659,1311,2662,49.25%,233,532,6,7,778
Straight Party,0207,410,310,720,1144,62.94%,126,223,3,1,353
Straight Party,0208,808,364,1172,2201,53.25%,187,635,3,0,825
Straight Party,0209,0,4,4,0,0.00%,3,0,0,0,3
Straight Party,0210,1018,542,1560,2300,67.83%,100,937,1,3,1041
Straight Party,0211,712,686,1398,2797,49.98%,339,587,8,4,938
Straight Party,0212,219,314,533,1266,42.10%,58,325,6,2,391
Straight Party,0213,1613,939,2552,3308,77.15%,1296,179,6,2,1483
Straight Party,0214,804,544,1348,1795,75.10%,488,202,4,3,697
Straight Party,0215,850,786,1636,2168,75.46%,580,246,9,4,839
Straight Party,0216,784,320,1104,1917,57.59%,52,800,2,3,857
Straight Party,0217,1404,651,2055,2637,77.93%,740,238,4,4,986
Straight Party,0218,692,608,1300,2274,57.17%,209,532,8,2,751
Straight Party,0219,1122,587,1709,2654,64.39%,81,1175,4,3,1263
Straight Party,0220,711,353,1064,2360,45.08%,460,185,3,2,650
Straight Party,0221,700,611,1311,2489,52.67%,340,447,4,1,792
Straight Party,0222,1017,792,1809,2384,75.88%,443,343,1,3,790
Straight Party,0223,1361,760,2121,3528,60.12%,340,870,16,10,1236
Straight Party,0224,906,649,1555,2259,68.84%,416,396,6,2,820
Straight Party,0225,1114,720,1834,3155,58.13%,567,743,7,2,1319
Straight Party,0226,529,545,1074,2393,44.88%,148,569,2,3,722
Straight Party,0227,952,451,1403,1767,79.40%,587,93,4,0,684
Straight Party,0228,584,165,749,1073,69.80%,14,465,0,1,480
Straight Party,0229,152,207,359,811,44.27%,64,194,2,3,263
Straight Party,0230,421,153,574,1096,52.37%,8,460,0,1,469
Straight Party,0231,564,471,1035,2219,46.64%,170,546,4,1,721
Straight Party,0232,691,546,1237,1696,72.94%,413,171,1,3,588
Straight Party,0233,1847,1063,2910,4132,70.43%,924,612,24,5,1565
Straight Party,0234,2104,885,2989,3854,77.56%,1480,272,8,2,1762
Straight Party,0235,466,242,708,1305,54.25%,15,554,0,2,571
Straight Party,0236,779,342,1121,2144,52.29%,13,892,1,1,907
Straight Party,0237,794,441,1235,2181,56.63%,7,1034,0,0,1041
Straight Party,0238,641,422,1063,1901,55.92%,9,858,3,0,870
Straight Party,0239,766,357,1123,1997,56.23%,12,902,0,0,914
Straight Party,0240,1160,402,1562,2688,58.11%,8,1255,4,2,1269
Straight Party,0241,494,479,973,2296,42.38%,261,413,1,3,678
Straight Party,0242,363,323,686,1570,43.69%,257,225,2,1,485
Straight Party,0243,254,50,304,452,67.26%,3,246,1,0,250
Straight Party,0244,1102,656,1758,2912,60.37%,672,565,10,1,1248
Straight Party,0245,2344,1115,3459,5240,66.01%,1742,756,24,3,2525
Straight Party,0246,1585,624,2209,2999,73.66%,1093,411,11,0,1515
Straight Party,0247,422,403,825,1607,51.34%,10,662,0,0,672
Straight Party,0248,408,405,813,2122,38.31%,125,486,6,3,620
Straight Party,0249,1032,481,1513,2676,56.54%,707,319,4,2,1032
Straight Party,0250,307,247,554,951,58.25%,6,462,0,0,468
Straight Party,0251,810,529,1339,2072,64.62%,30,1042,0,0,1072
Straight Party,0252,1111,356,1467,2350,62.43%,9,1247,1,1,1258
Straight Party,0253,924,325,1249,2252,55.46%,10,1093,1,0,1104
Straight Party,0254,220,282,502,1476,34.01%,81,295,1,2,379
Straight Party,0255,1004,797,1801,2411,74.70%,509,460,8,1,978
Straight Party,0256,1060,766,1826,3226,56.60%,481,695,3,8,1187
Straight Party,0257,554,571,1125,2403,46.82%,179,667,3,3,852
Straight Party,0258,1586,888,2474,3286,75.29%,1185,236,6,2,1429
Straight Party,0259,1210,460,1670,2408,69.35%,14,1264,1,1,1280
Straight Party,0260,420,290,710,1187,59.81%,283,217,3,0,503
Straight Party,0261,176,133,309,749,41.26%,62,156,0,0,218
Straight Party,0262,1474,906,2380,4232,56.24%,904,559,15,4,1482
Straight Party,0263,1789,719,2508,3319,75.56%,1420,380,10,2,1812
Straight Party,0264,938,639,1577,2939,53.66%,570,423,12,1,1006
Straight Party,0265,1944,674,2618,3617,72.38%,1277,284,9,0,1570
Straight Party,0266,553,542,1095,2119,51.68%,287,394,7,4,692
Straight Party,0267,294,305,599,1346,44.50%,185,224,3,0,412
Straight Party,0268,936,810,1746,2387,73.15%,603,234,7,3,847
Straight Party,0269,1148,444,1592,1981,80.36%,792,93,5,0,890
Straight Party,0270,1403,870,2273,3517,64.63%,788,458,13,1,1260
Straight Party,0271,1303,371,1674,2469,67.80%,9,1318,2,1,1330
Straight Party,0272,614,484,1098,2112,51.99%,267,426,5,2,700
Straight Party,0273,1143,634,1777,2426,73.25%,1004,129,6,2,1141
Straight Party,0274,1056,364,1420,2063,68.83%,598,223,9,3,833
Straight Party,0275,570,410,980,1730,56.65%,103,605,2,2,712
Straight Party,0276,1140,404,1544,2532,60.98%,4,1261,2,2,1269
Straight Party,0277,344,305,649,1473,44.06%,179,273,3,0,455
Straight Party,0278,758,607,1365,2405,56.76%,490,421,3,1,915
Straight Party,0279,549,383,932,1899,49.08%,405,213,1,0,619
Straight Party,0280,303,360,663,1515,43.76%,153,300,5,0,458
Straight Party,0281,1091,903,1994,2610,76.40%,511,335,4,3,853
Straight Party,0282,694,591,1285,1988,64.64%,481,330,13,4,828
Straight Party,0283,0,0,0,0,0.00%,0,0,0,0,0
Straight Party,0284,1139,595,1734,3262,53.16%,445,730,5,2,1182
Straight Party,0285,989,509,1498,2505,59.80%,69,1090,3,3,1165
Straight Party,0286,2659,1053,3712,5719,64.91%,192,2503,7,7,2709
Straight Party,0287,549,542,1191,1616,73.70%,392,242,10,2,646
Straight Party,0288,1036,380,1416,2259,62.68%,10,1109,2,3,1124
Straight Party,0289,376,397,773,1510,51.19%,214,305,1,1,521
Straight Party,0290,579,429,1008,1567,64.33%,581,128,2,0,711
Straight Party,0291,543,298,841,1203,69.91%,231,211,1,1,444
Straight Party,0292,479,236,715,1272,56.21%,68,492,0,1,561
Straight Party,0293,522,557,1179,1733,68.03%,354,327,4,1,686
Straight Party,0294,989,298,1287,2107,61.08%,5,1008,0,0,1013
Straight Party,0295,315,189,504,862,58.47%,4,430,1,0,435
Straight Party,0296,605,432,1037,1693,61.25%,390,234,4,2,630
Straight Party,0297,580,445,1025,1978,51.82%,253,432,5,3,693
Straight Party,0298,851,475,1326,2083,63.66%,505,311,11,5,832
Straight Party,0299,328,213,541,1231,43.95%,112,254,2,0,368
Straight Party,0300,3020,922,3942,5040,78.21%,2165,416,14,0,2595
Straight Party,0301,450,655,1105,2397,46.10%,287,500,5,6,798
Straight Party,0302,713,635,1348,2724,49.49%,531,416,8,4,959
Straight Party,0303,1780,755,2535,3172,79.92%,1324,198,7,1,1530
Straight Party,0304,979,648,1627,2266,71.80%,548,295,7,6,856
Straight Party,0305,1321,858,2179,3621,60.18%,601,1018,7,4,1630
Straight Party,0306,1020,323,1343,1847,72.71%,677,134,5,0,816
Straight Party,0307,1248,876,2124,2931,72.47%,1043,309,9,5,1366
Straight Party,0308,445,238,683,1266,53.95%,122,346,3,0,471
Straight Party,0309,1389,612,2001,2529,79.12%,1073,132,1,3,1209
Straight Party,0310,525,348,973,1437,67.71%,452,145,6,1,604
Straight Party,0311,866,699,1565,2997,52.22%,452,520,7,5,984
Straight Party,0312,1603,718,2321,3669,63.26%,909,616,9,4,1538
Straight Party,0313,22,1,23,60,38.33%,9,7,0,0,16
Straight Party,0314,2499,1221,3720,5225,71.20%,1662,943,15,1,2621
Straight Party,0315,714,479,1193,1618,73.73%,441,195,4,0,640
Straight Party,0316,686,411,1097,1522,72.08%,360,199,5,7,571
Straight Party,0317,557,336,893,1469,60.79%,176,419,1,3,599
Straight Party,0318,1709,611,2320,3531,65.70%,51,1590,3,2,1646
Straight Party,0319,967,290,1257,2081,60.40%,48,894,1,1,944
Straight Party,0320,464,300,764,1505,50.76%,225,291,2,0,518
Straight Party,0321,442,305,748,2029,36.87%,166,361,5,1,533
Straight Party,0322,398,237,635,1322,48.03%,107,344,2,1,454
Straight Party,0323,483,332,815,1719,47.41%,205,281,6,0,492
Straight Party,0324,970,718,1688,2339,72.17%,640,247,5,0,892
Straight Party,0325,658,397,1055,2251,46.87%,151,645,4,0,800
Straight Party,0326,202,128,330,678,48.67%,84,117,4,2,207
Straight Party,0327,725,244,970,1751,55.40%,9,769,1,0,779
Straight Party,0328,345,270,615,1361,45.19%,157,283,1,1,442
Straight Party,0329,405,307,712,1367,52.08%,127,310,3,3,443
Straight Party,0330,591,376,967,1849,52.30%,310,342,4,3,659
Straight Party,0331,0,1,1,0,0.00%,0,0,0,0,0
Straight Party,0332,24,4,28,128,21.88%,8,14,0,0,22
Straight Party,0333,1020,939,1959,2901,67.53%,1033,268,12,4,1317
Straight Party,0334,255,114,369,755,48.87%,56,230,1,0,287
Straight Party,0335,286,246,532,1227,43.36%,109,252,1,1,363
Straight Party,0336,1828,588,2416,3161,76.43%,133,1661,6,3,1803
Straight Party,0337,310,207,517,951,54.36%,58,341,0,1,400
Straight Party,0338,1543,824,2367,4673,50.65%,489,1292,6,4,1791
Straight Party,0339,369,373,742,1716,43.24%,97,395,6,1,499
Straight Party,0340,1782,833,2615,3717,70.35%,1405,320,23,8,1756
Straight Party,0341,248,318,582,1248,45.03%,88,301,4,1,392
Straight Party,0342,2032,1113,3145,5718,55.00%,305,2094,9,5,2413
Straight Party,0343,438,483,921,1904,48.37%,140,483,4,3,810
Straight Party,0344,397,245,842,1207,53.19%,13,508,0,2,521
Straight Party,0345,430,357,787,1708,48.08%,105,440,5,4,554
Straight Party,0348,1,2,3,1,300.00%,3,0,0,0,3
Straight Party,0347,1251,814,1885,3299,58.53%,825,451,9,1,1288
Straight Party,0348,753,280,1033,1740,59.37%,551,175,3,0,729
Straight Party,0349,407,407,814,1315,81.90%,325,201,7,2,535
Straight Party,0350,1129,780,1909,2908,85.89%,481,542,11,4,1038
Straight Party,0351,2502,793,3295,4537,72.83%,1940,334,7,3,2284
Straight Party,0352,1153,583,1738,3193,54.37%,908,335,9,0,1252
Straight Party,0353,1548,703,2249,3897,80.83%,239,1422,5,2,1888
Straight Party,0354,1478,517,1995,3193,82.48%,288,1111,0,2,1401
Straight Party,0355,703,288,989,1384,71.48%,83,889,1,0,753
Straight Party,0358,1387,818,2005,2838,70.70%,759,471,12,1,1243
Straight Party,0357,1835,709,2344,3371,89.53%,1214,299,15,0,1528
Straight Party,0358,742,484,1208,2297,52.50%,85,921,2,3,991
Straight Party,0359,708,482,1190,3008,39.58%,82,894,0,3,959
Straight Party,0380,980,515,1495,2190,88.28%,498,298,3,2,799
Straight Party,0381,138,591,829,1585,52.30%,83,308,7,3,401
Straight Party,0382,2138,1200,3338,4952,87.41%,1850,509,19,9,2387
Straight Party,0383,1349,887,2038,3291,81.87%,881,794,4,0,1459
Straight Party,0384,913,802,1515,2539,59.87%,531,445,10,0,988
Straight Party,0385,737,245,982,1302,75.42%,49,835,1,3,888
Straight Party,0388,838,488,1104,2089,52.85%,183,882,3,2,850
Straight Party,0387,328,212,540,1019,52.99%,83,330,1,2,398
Straight Party,0388,418,143,581,929,80.39%,97,293,0,1,391
Straight Party,0389,108,53,181,490,32.88%,37,83,0,2,102
Straight Party,0370,3147,1178,4325,5781,74.81%,2434,559,20,7,3020
Straight Party,0371,228,89,295,475,82.11%,4,247,0,0,251
Straight Party,0372,500,231,731,1215,80.18%,53,478,1,0,532
Straight Party,0373,81,18,77,159,48.43%,0,84,0,0,84
Straight Party,0374,139,187,328,748,43.58%,83,157,0,0,220
Straight Party,0375,579,524,1103,2607,42.31%,288,447,2,4,741
Straight Party,0376,530,334,964,1916,50.31%,264,396,4,3,667
