Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0282,691,591,1282,1988,64.49%,783,222,1005
"Judge, Court of Criminal Appeals, Place 8",0283,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0284,1136,595,1731,3262,53.07%,764,314,1078
"Judge, Court of Criminal Appeals, Place 8",0285,989,509,1498,2505,59.80%,218,290,508
"Judge, Court of Criminal Appeals, Place 8",0286,2659,1053,3712,5719,64.91%,640,955,1595
"Judge, Court of Criminal Appeals, Place 8",0287,647,542,1189,1616,73.58%,680,229,909
"Judge, Court of Criminal Appeals, Place 8",0288,1036,380,1416,2259,62.68%,58,303,361
"Judge, Court of Criminal Appeals, Place 8",0289,374,397,771,1510,51.06%,399,95,494
"Judge, Court of Criminal Appeals, Place 8",0290,577,429,1006,1567,64.20%,780,84,864
"Judge, Court of Criminal Appeals, Place 8",0291,541,298,839,1203,69.74%,440,160,600
"Judge, Court of Criminal Appeals, Place 8",0292,478,236,714,1272,56.13%,129,167,296
"Judge, Court of Criminal Appeals, Place 8",0293,620,557,1177,1733,67.92%,610,225,835
"Judge, Court of Criminal Appeals, Place 8",0294,989,298,1287,2107,61.08%,55,278,333
"Judge, Court of Criminal Appeals, Place 8",0295,315,189,504,862,58.47%,18,98,116
"Judge, Court of Criminal Appeals, Place 8",0296,603,432,1035,1693,61.13%,643,141,784
"Judge, Court of Criminal Appeals, Place 8",0297,579,445,1024,1978,51.77%,439,168,607
"Judge, Court of Criminal Appeals, Place 8",0298,849,475,1324,2083,63.56%,771,273,1044
"Judge, Court of Criminal Appeals, Place 8",0299,328,213,541,1231,43.95%,221,88,309
"Judge, Court of Criminal Appeals, Place 8",0300,3017,922,3939,5040,78.15%,3070,353,3423
"Judge, Court of Criminal Appeals, Place 8",0301,450,655,1105,2397,46.10%,517,123,640
"Judge, Court of Criminal Appeals, Place 8",0302,713,635,1348,2724,49.49%,786,155,941
"Judge, Court of Criminal Appeals, Place 8",0303,1775,755,2530,3172,79.76%,2054,175,2229
"Judge, Court of Criminal Appeals, Place 8",0304,970,648,1618,2266,71.40%,1025,201,1226
"Judge, Court of Criminal Appeals, Place 8",0305,1321,858,2179,3621,60.18%,944,478,1422
"Judge, Court of Criminal Appeals, Place 8",0306,1014,323,1337,1847,72.39%,1015,125,1140
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0307,1242,876,2118,2931,72.26%,1496,254,1750
"Judge, Court of Criminal Appeals, Place 8",0308,444,238,682,1266,53.87%,247,127,374
"Judge, Court of Criminal Appeals, Place 8",0309,1386,612,1998,2529,79.00%,1634,128,1762
"Judge, Court of Criminal Appeals, Place 8",0310,619,348,967,1437,67.29%,686,88,774
"Judge, Court of Criminal Appeals, Place 8",0311,862,699,1561,2997,52.09%,766,259,1025
"Judge, Court of Criminal Appeals, Place 8",0312,1601,718,2319,3669,63.21%,1362,420,1782
"Judge, Court of Criminal Appeals, Place 8",0313,22,1,23,60,38.33%,11,4,15
"Judge, Court of Criminal Appeals, Place 8",0314,2496,1221,3717,5225,71.14%,2378,576,2954
"Judge, Court of Criminal Appeals, Place 8",0315,711,479,1190,1618,73.55%,775,138,913
"Judge, Court of Criminal Appeals, Place 8",0316,682,411,1093,1522,71.81%,682,160,842
"Judge, Court of Criminal Appeals, Place 8",0317,555,336,891,1469,60.65%,320,250,570
"Judge, Court of Criminal Appeals, Place 8",0318,1709,611,2320,3531,65.70%,246,595,841
"Judge, Court of Criminal Appeals, Place 8",0319,965,290,1255,2081,60.31%,167,320,487
"Judge, Court of Criminal Appeals, Place 8",0320,464,300,764,1505,50.76%,398,96,494
"Judge, Court of Criminal Appeals, Place 8",0321,442,306,748,2029,36.87%,333,101,434
"Judge, Court of Criminal Appeals, Place 8",0322,397,237,634,1322,47.96%,184,141,325
"Judge, Court of Criminal Appeals, Place 8",0323,483,332,815,1719,47.41%,378,189,567
"Judge, Court of Criminal Appeals, Place 8",0324,967,718,1685,2339,72.04%,1157,207,1364
"Judge, Court of Criminal Appeals, Place 8",0325,658,397,1055,2251,46.87%,307,177,484
"Judge, Court of Criminal Appeals, Place 8",0326,202,128,330,678,48.67%,179,45,224
"Judge, Court of Criminal Appeals, Place 8",0327,726,244,970,1751,55.40%,47,174,221
"Judge, Court of Criminal Appeals, Place 8",0328,345,270,615,1361,45.19%,291,90,381
"Judge, Court of Criminal Appeals, Place 8",0329,405,307,712,1367,52.08%,317,114,431
"Judge, Court of Criminal Appeals, Place 8",0330,591,376,967,1849,52.30%,491,195,686
"Judge, Court of Criminal Appeals, Place 8",0331,0,1,1,0,0.00%,1,0,1
"Judge, Court of Criminal Appeals, Place 8",0332,24,4,28,128,21.88%,11,4,15
"Judge, Court of Criminal Appeals, Place 8",0333,1019,939,1958,2901,67.49%,1404,242,1646
"Judge, Court of Criminal Appeals, Place 8",0334,255,114,369,755,48.87%,88,87,175
"Judge, Court of Criminal Appeals, Place 8",0335,285,246,531,1227,43.28%,194,100,294
"Judge, Court of Criminal Appeals, Place 8",0336,1825,588,2413,3161,76.34%,374,738,1112
"Judge, Court of Criminal Appeals, Place 8",0337,310,207,517,951,54.36%,122,136,258
"Judge, Court of Criminal Appeals, Place 8",0338,1543,824,2367,4673,50.65%,792,461,1253
"Judge, Court of Criminal Appeals, Place 8",0339,369,373,742,1716,43.24%,245,124,369
"Judge, Court of Criminal Appeals, Place 8",0340,1779,833,2612,3717,70.27%,1955,288,2243
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0341,246,316,562,1248,45.03%,214,93,307
"Judge, Court of Criminal Appeals, Place 8",0342,2031,1113,3144,5718,54.98%,666,682,1348
"Judge, Court of Criminal Appeals, Place 8",0343,436,483,919,1904,48.27%,346,158,504
"Judge, Court of Criminal Appeals, Place 8",0344,395,245,640,1207,53.02%,58,112,170
"Judge, Court of Criminal Appeals, Place 8",0345,430,357,787,1708,46.08%,235,226,461
"Judge, Court of Criminal Appeals, Place 8",0346,1,2,3,1,300.00%,3,0,3
"Judge, Court of Criminal Appeals, Place 8",0347,1250,614,1864,3299,56.50%,1226,204,1430
"Judge, Court of Criminal Appeals, Place 8",0348,753,280,1033,1740,59.37%,751,86,837
"Judge, Court of Criminal Appeals, Place 8",0349,407,407,814,1315,61.90%,481,148,629
"Judge, Court of Criminal Appeals, Place 8",0350,1120,780,1900,2906,65.38%,951,443,1394
"Judge, Court of Criminal Appeals, Place 8",0351,2495,793,3288,4537,72.47%,2632,271,2903
"Judge, Court of Criminal Appeals, Place 8",0352,1152,583,1735,3193,54.34%,1210,179,1389
"Judge, Court of Criminal Appeals, Place 8",0353,1544,703,2247,3697,60.78%,561,360,921
"Judge, Court of Criminal Appeals, Place 8",0354,1477,517,1994,3193,62.45%,595,381,976
"Judge, Court of Criminal Appeals, Place 8",0355,703,286,989,1384,71.46%,143,254,397
"Judge, Court of Criminal Appeals, Place 8",0356,1383,618,2001,2836,70.56%,1239,306,1545
"Judge, Court of Criminal Appeals, Place 8",0357,1633,709,2342,3371,69.47%,1747,286,2033
"Judge, Court of Criminal Appeals, Place 8",0358,742,464,1206,2297,52.50%,162,251,413
"Judge, Court of Criminal Appeals, Place 8",0359,707,482,1189,3008,39.53%,165,313,478
"Judge, Court of Criminal Appeals, Place 8",0360,973,515,1488,2190,67.95%,865,241,1106
"Judge, Court of Criminal Appeals, Place 8",0361,136,691,827,1585,52.18%,244,334,578
"Judge, Court of Criminal Appeals, Place 8",0362,2132,1200,3332,4952,67.29%,2490,338,2828
"Judge, Court of Criminal Appeals, Place 8",0363,1348,687,2035,3291,61.84%,990,334,1324
"Judge, Court of Criminal Appeals, Place 8",0364,913,602,1515,2539,59.67%,847,250,1097
"Judge, Court of Criminal Appeals, Place 8",0365,735,245,980,1302,75.27%,136,200,336
"Judge, Court of Criminal Appeals, Place 8",0366,638,466,1104,2089,52.85%,335,204,539
"Judge, Court of Criminal Appeals, Place 8",0367,328,212,540,1019,52.99%,121,126,247
"Judge, Court of Criminal Appeals, Place 8",0368,418,143,561,929,60.39%,184,117,301
"Judge, Court of Criminal Appeals, Place 8",0369,108,53,161,490,32.86%,69,36,105
"Judge, Court of Criminal Appeals, Place 8",0370,3145,1178,4323,5781,74.78%,3289,439,3728
"Judge, Court of Criminal Appeals, Place 8",0371,226,69,295,475,62.11%,13,47,60
"Judge, Court of Criminal Appeals, Place 8",0372,499,231,730,1215,60.08%,136,201,337
"Judge, Court of Criminal Appeals, Place 8",0373,61,16,77,159,48.43%,4,9,13
"Judge, Court of Criminal Appeals, Place 8",0374,139,187,326,748,43.58%,140,41,181
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0375,578,524,1102,2607,42.27%,561,131,692
"Judge, Court of Criminal Appeals, Place 8",0376,630,334,964,1916,50.31%,450,128,578
"Judge, Court of Criminal Appeals, Place 8",0377,1055,707,1762,2871,61.37%,1319,162,1481
"Judge, Court of Criminal Appeals, Place 8",0378,559,521,1080,1777,60.78%,712,163,875
"Judge, Court of Criminal Appeals, Place 8",0379,802,338,1140,2017,56.52%,150,263,413
"Judge, Court of Criminal Appeals, Place 8",0380,2505,1183,3688,4753,77.59%,2253,573,2826
"Judge, Court of Criminal Appeals, Place 8",0381,957,424,1381,2715,50.87%,673,241,914
"Judge, Court of Criminal Appeals, Place 8",0382,276,231,507,841,60.29%,362,50,412
"Judge, Court of Criminal Appeals, Place 8",0383,601,493,1094,2076,52.70%,381,188,569
"Judge, Court of Criminal Appeals, Place 8",0384,1176,505,1681,2596,64.75%,441,391,832
"Judge, Court of Criminal Appeals, Place 8",0385,1099,621,1720,2175,79.08%,1356,122,1478
"Judge, Court of Criminal Appeals, Place 8",0386,1466,460,1926,2872,67.06%,1396,184,1580
"Judge, Court of Criminal Appeals, Place 8",0387,1369,802,2171,3727,58.25%,1501,212,1713
"Judge, Court of Criminal Appeals, Place 8",0388,2780,1222,4002,5329,75.10%,2371,655,3026
"Judge, Court of Criminal Appeals, Place 8",0389,290,261,551,975,56.51%,123,182,305
"Judge, Court of Criminal Appeals, Place 8",0390,651,368,1019,1565,65.11%,189,290,479
"Judge, Court of Criminal Appeals, Place 8",0391,856,355,1211,1805,67.09%,818,133,951
"Judge, Court of Criminal Appeals, Place 8",0392,737,197,934,1441,64.82%,43,188,231
"Judge, Court of Criminal Appeals, Place 8",0393,346,318,664,1206,55.06%,329,149,478
"Judge, Court of Criminal Appeals, Place 8",0394,166,176,342,860,39.77%,161,48,209
"Judge, Court of Criminal Appeals, Place 8",0395,830,491,1321,1820,72.58%,941,181,1122
"Judge, Court of Criminal Appeals, Place 8",0396,1158,219,1377,2073,66.43%,52,209,261
"Judge, Court of Criminal Appeals, Place 8",0397,163,148,311,750,41.47%,147,40,187
"Judge, Court of Criminal Appeals, Place 8",0398,1443,840,2283,3816,59.83%,1231,426,1657
"Judge, Court of Criminal Appeals, Place 8",0399,897,593,1490,2542,58.62%,778,235,1013
"Judge, Court of Criminal Appeals, Place 8",0400,1052,506,1558,2238,69.62%,1153,154,1307
"Judge, Court of Criminal Appeals, Place 8",0401,724,284,1008,1876,53.73%,84,163,247
"Judge, Court of Criminal Appeals, Place 8",0402,892,245,1137,1737,65.46%,104,260,364
"Judge, Court of Criminal Appeals, Place 8",0403,792,527,1319,1703,77.45%,842,160,1002
"Judge, Court of Criminal Appeals, Place 8",0404,778,552,1330,2589,51.37%,752,150,902
"Judge, Court of Criminal Appeals, Place 8",0405,0,1,1,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0406,282,72,354,610,58.03%,13,65,78
"Judge, Court of Criminal Appeals, Place 8",0407,1320,1000,2320,3652,63.53%,1552,327,1879
"Judge, Court of Criminal Appeals, Place 8",0408,154,179,333,933,35.69%,160,43,203
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0409,277,289,566,1371,41.28%,235,87,322
"Judge, Court of Criminal Appeals, Place 8",0410,337,102,439,849,51.71%,106,75,181
"Judge, Court of Criminal Appeals, Place 8",0411,542,462,1004,2302,43.61%,386,134,520
"Judge, Court of Criminal Appeals, Place 8",0412,193,74,267,433,61.66%,17,50,67
"Judge, Court of Criminal Appeals, Place 8",0413,1493,525,2018,3023,66.75%,878,289,1167
"Judge, Court of Criminal Appeals, Place 8",0414,1453,593,2046,3457,59.18%,1462,219,1681
"Judge, Court of Criminal Appeals, Place 8",0415,951,633,1584,2124,74.58%,1123,170,1293
"Judge, Court of Criminal Appeals, Place 8",0416,1181,916,2097,3582,58.54%,1161,373,1534
"Judge, Court of Criminal Appeals, Place 8",0417,777,619,1396,2465,56.63%,695,235,930
"Judge, Court of Criminal Appeals, Place 8",0418,1059,758,1817,3420,53.13%,798,324,1122
"Judge, Court of Criminal Appeals, Place 8",0419,1006,578,1584,2697,58.73%,1064,166,1230
"Judge, Court of Criminal Appeals, Place 8",0420,2174,1089,3263,4639,70.34%,2634,235,2869
"Judge, Court of Criminal Appeals, Place 8",0421,124,92,216,467,46.25%,57,56,113
"Judge, Court of Criminal Appeals, Place 8",0422,1456,585,2041,3345,61.02%,120,439,559
"Judge, Court of Criminal Appeals, Place 8",0423,190,309,499,894,55.82%,238,50,288
"Judge, Court of Criminal Appeals, Place 8",0424,435,157,592,888,66.67%,373,110,483
"Judge, Court of Criminal Appeals, Place 8",0425,228,234,462,875,52.80%,175,101,276
"Judge, Court of Criminal Appeals, Place 8",0426,415,283,698,1224,57.03%,432,74,506
"Judge, Court of Criminal Appeals, Place 8",0427,325,249,574,1115,51.48%,236,113,349
"Judge, Court of Criminal Appeals, Place 8",0428,1284,907,2191,4316,50.76%,796,351,1147
"Judge, Court of Criminal Appeals, Place 8",0429,1093,777,1870,3929,47.59%,457,415,872
"Judge, Court of Criminal Appeals, Place 8",0430,406,335,741,1654,44.80%,186,158,344
"Judge, Court of Criminal Appeals, Place 8",0431,824,403,1227,3188,38.49%,399,283,682
"Judge, Court of Criminal Appeals, Place 8",0432,312,271,583,1344,43.38%,201,160,361
"Judge, Court of Criminal Appeals, Place 8",0433,139,106,245,573,42.76%,56,71,127
"Judge, Court of Criminal Appeals, Place 8",0434,633,371,1004,1386,72.44%,676,163,839
"Judge, Court of Criminal Appeals, Place 8",0435,1537,768,2305,3097,74.43%,1588,277,1865
"Judge, Court of Criminal Appeals, Place 8",0436,1342,709,2051,3012,68.09%,1334,297,1631
"Judge, Court of Criminal Appeals, Place 8",0437,952,542,1494,2007,74.44%,1090,153,1243
"Judge, Court of Criminal Appeals, Place 8",0438,1047,387,1434,1802,79.58%,1114,104,1218
"Judge, Court of Criminal Appeals, Place 8",0439,1527,905,2432,3416,71.19%,1780,272,2052
"Judge, Court of Criminal Appeals, Place 8",0440,1326,876,2202,2867,76.81%,1768,148,1916
"Judge, Court of Criminal Appeals, Place 8",0441,699,513,1212,1616,75.00%,924,115,1039
"Judge, Court of Criminal Appeals, Place 8",0442,1366,513,1879,2504,75.04%,1542,148,1690
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0443,335,148,483,605,79.83%,345,55,400
"Judge, Court of Criminal Appeals, Place 8",0444,1258,731,1989,3172,62.70%,1278,289,1567
"Judge, Court of Criminal Appeals, Place 8",0445,861,443,1304,1938,67.29%,835,179,1014
"Judge, Court of Criminal Appeals, Place 8",0446,70,52,122,268,45.52%,53,28,81
"Judge, Court of Criminal Appeals, Place 8",0447,271,108,379,583,65.01%,152,103,255
"Judge, Court of Criminal Appeals, Place 8",0448,1240,869,2109,3081,68.45%,1341,371,1712
"Judge, Court of Criminal Appeals, Place 8",0449,62,37,99,164,60.37%,16,15,31
"Judge, Court of Criminal Appeals, Place 8",0450,856,537,1393,2622,53.13%,422,297,719
"Judge, Court of Criminal Appeals, Place 8",0451,1575,515,2090,2674,78.16%,1704,150,1854
"Judge, Court of Criminal Appeals, Place 8",0452,1110,639,1749,2810,62.24%,1319,180,1499
"Judge, Court of Criminal Appeals, Place 8",0453,559,475,1034,1885,54.85%,409,202,611
"Judge, Court of Criminal Appeals, Place 8",0454,1227,311,1538,2571,59.82%,44,209,253
"Judge, Court of Criminal Appeals, Place 8",0455,748,216,964,1679,57.42%,57,148,205
"Judge, Court of Criminal Appeals, Place 8",0456,1271,593,1864,3350,55.64%,1027,245,1272
"Judge, Court of Criminal Appeals, Place 8",0457,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 8",0458,909,271,1180,1893,62.33%,116,270,386
"Judge, Court of Criminal Appeals, Place 8",0459,1639,476,2115,2950,71.69%,1695,176,1871
"Judge, Court of Criminal Appeals, Place 8",0460,1251,402,1653,2346,70.46%,547,337,884
"Judge, Court of Criminal Appeals, Place 8",0461,1959,828,2787,3733,74.66%,1925,298,2223
"Judge, Court of Criminal Appeals, Place 8",0462,1320,865,2185,3367,64.89%,897,489,1386
"Judge, Court of Criminal Appeals, Place 8",0463,1130,656,1786,2962,60.30%,806,456,1262
"Judge, Court of Criminal Appeals, Place 8",0464,788,612,1400,2126,65.85%,975,171,1146
"Judge, Court of Criminal Appeals, Place 8",0465,1466,702,2168,3343,64.85%,1223,358,1581
"Judge, Court of Criminal Appeals, Place 8",0466,2052,729,2781,4072,68.30%,1643,353,1996
"Judge, Court of Criminal Appeals, Place 8",0467,479,229,708,1230,57.56%,200,117,317
"Judge, Court of Criminal Appeals, Place 8",0468,986,793,1779,3354,53.04%,646,308,954
"Judge, Court of Criminal Appeals, Place 8",0469,2039,638,2677,3779,70.84%,2095,237,2332
"Judge, Court of Criminal Appeals, Place 8",0470,443,323,766,1349,56.78%,534,93,627
"Judge, Court of Criminal Appeals, Place 8",0471,793,597,1390,2349,59.17%,1068,134,1202
"Judge, Court of Criminal Appeals, Place 8",0472,372,337,709,1027,69.04%,388,141,529
"Judge, Court of Criminal Appeals, Place 8",0473,914,442,1356,1827,74.22%,970,149,1119
"Judge, Court of Criminal Appeals, Place 8",0474,1149,766,1915,3006,63.71%,1345,238,1583
"Judge, Court of Criminal Appeals, Place 8",0475,485,473,958,1651,58.03%,469,172,641
"Judge, Court of Criminal Appeals, Place 8",0476,809,658,1467,2412,60.82%,916,190,1106
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0477,1442,742,2184,3195,68.36%,1660,236,1896
"Judge, Court of Criminal Appeals, Place 8",0478,1963,898,2861,4150,68.94%,1942,400,2342
"Judge, Court of Criminal Appeals, Place 8",0479,1302,588,1890,2648,71.37%,1414,219,1633
"Judge, Court of Criminal Appeals, Place 8",0480,936,555,1491,2267,65.77%,1058,177,1235
"Judge, Court of Criminal Appeals, Place 8",0481,1466,852,2318,3298,70.29%,1748,225,1973
"Judge, Court of Criminal Appeals, Place 8",0482,1964,836,2800,4129,67.81%,1993,367,2360
"Judge, Court of Criminal Appeals, Place 8",0483,1870,759,2629,4141,63.49%,1513,501,2014
"Judge, Court of Criminal Appeals, Place 8",0484,2239,1008,3247,4594,70.68%,2375,384,2759
"Judge, Court of Criminal Appeals, Place 8",0485,2422,990,3412,4838,70.53%,2554,351,2905
"Judge, Court of Criminal Appeals, Place 8",0486,1844,805,2649,3572,74.16%,2053,249,2302
"Judge, Court of Criminal Appeals, Place 8",0487,1006,612,1618,3318,48.76%,556,283,839
"Judge, Court of Criminal Appeals, Place 8",0488,580,440,1020,1713,59.54%,409,215,624
"Judge, Court of Criminal Appeals, Place 8",0489,784,378,1162,1823,63.74%,420,267,687
"Judge, Court of Criminal Appeals, Place 8",0490,881,439,1320,1944,67.90%,554,244,798
"Judge, Court of Criminal Appeals, Place 8",0491,670,489,1159,1782,65.04%,707,213,920
"Judge, Court of Criminal Appeals, Place 8",0492,1072,504,1576,2351,67.04%,885,275,1160
"Judge, Court of Criminal Appeals, Place 8",0493,859,400,1259,1804,69.79%,841,177,1018
"Judge, Court of Criminal Appeals, Place 8",0494,761,431,1192,2176,54.78%,218,233,451
"Judge, Court of Criminal Appeals, Place 8",0495,1121,494,1615,2284,70.71%,1186,160,1346
"Judge, Court of Criminal Appeals, Place 8",0496,496,571,1067,2086,51.15%,469,165,634
"Judge, Court of Criminal Appeals, Place 8",0497,1124,303,1427,2226,64.11%,95,227,322
"Judge, Court of Criminal Appeals, Place 8",0498,760,499,1259,2123,59.30%,574,246,820
"Judge, Court of Criminal Appeals, Place 8",0499,1302,517,1819,2304,78.95%,1382,172,1554
"Judge, Court of Criminal Appeals, Place 8",0500,1507,746,2253,3175,70.96%,1583,275,1858
"Judge, Court of Criminal Appeals, Place 8",0501,653,487,1140,1647,69.22%,500,294,794
"Judge, Court of Criminal Appeals, Place 8",0502,1152,332,1484,2364,62.77%,1152,120,1272
"Judge, Court of Criminal Appeals, Place 8",0503,359,273,632,1363,46.37%,224,93,317
"Judge, Court of Criminal Appeals, Place 8",0504,1129,538,1667,2197,75.88%,1149,238,1387
"Judge, Court of Criminal Appeals, Place 8",0505,1213,829,2042,3654,55.88%,998,437,1435
"Judge, Court of Criminal Appeals, Place 8",0506,1471,801,2272,3380,67.22%,506,561,1067
"Judge, Court of Criminal Appeals, Place 8",0507,582,385,967,2435,39.71%,210,176,386
"Judge, Court of Criminal Appeals, Place 8",0508,946,760,1706,3248,52.52%,679,287,966
"Judge, Court of Criminal Appeals, Place 8",0509,1341,864,2205,3536,62.36%,1577,259,1836
"Judge, Court of Criminal Appeals, Place 8",0510,1495,682,2177,3511,62.01%,1080,453,1533
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0511,0,8,8,0,0.00%,1,2,3
"Judge, Court of Criminal Appeals, Place 8",0512,1588,1127,2895,4582,58.82%,1383,489,1852
"Judge, Court of Criminal Appeals, Place 8",0513,1808,507,2113,2752,78.78%,1808,208,1818
"Judge, Court of Criminal Appeals, Place 8",0514,1989,880,2829,3941,71.78%,2105,310,2415
"Judge, Court of Criminal Appeals, Place 8",0515,1892,708,2400,3173,75.84%,1938,189,2127
"Judge, Court of Criminal Appeals, Place 8",0518,2181,1088,3247,4934,85.81%,1744,539,2283
"Judge, Court of Criminal Appeals, Place 8",0517,1208,853,1881,3320,58.05%,1043,309,1352
"Judge, Court of Criminal Appeals, Place 8",0518,1479,919,2398,3755,83.88%,1580,338,1898
"Judge, Court of Criminal Appeals, Place 8",0519,1235,845,1880,2951,83.71%,1390,224,1814
"Judge, Court of Criminal Appeals, Place 8",0520,1548,857,2403,4084,59.13%,494,534,1028
"Judge, Court of Criminal Appeals, Place 8",0521,1014,894,1708,2725,82.88%,955,287,1222
"Judge, Court of Criminal Appeals, Place 8",0522,1173,858,1831,2882,88.27%,1379,207,1588
"Judge, Court of Criminal Appeals, Place 8",0523,1340,889,2029,3080,88.31%,1352,274,1828
"Judge, Court of Criminal Appeals, Place 8",0524,1242,875,1917,3292,58.23%,894,387,1081
"Judge, Court of Criminal Appeals, Place 8",0525,1383,810,1993,2947,87.83%,499,433,932
"Judge, Court of Criminal Appeals, Place 8",0528,187,171,338,731,48.24%,128,50,178
"Judge, Court of Criminal Appeals, Place 8",0527,80,24,104,589,18.28%,54,10,84
"Judge, Court of Criminal Appeals, Place 8",0528,38,12,48,92,52.17%,5,5,10
"Judge, Court of Criminal Appeals, Place 8",0529,1989,441,2430,3818,87.20%,2011,172,2183
"Judge, Court of Criminal Appeals, Place 8",0530,259,235,494,1198,41.30%,170,84,254
"Judge, Court of Criminal Appeals, Place 8",0531,872,113,785,1094,71.78%,803,88,889
"Judge, Court of Criminal Appeals, Place 8",0532,452,184,838,1039,81.21%,437,74,511
"Judge, Court of Criminal Appeals, Place 8",0533,317,207,524,1089,49.02%,285,75,380
"Judge, Court of Criminal Appeals, Place 8",0534,1880,875,2335,3795,81.53%,1748,194,1940
"Judge, Court of Criminal Appeals, Place 8",0535,80,94,174,421,41.33%,79,19,98
"Judge, Court of Criminal Appeals, Place 8",0538,1335,1195,2530,4578,55.29%,1185,440,1805
"Judge, Court of Criminal Appeals, Place 8",0537,1455,823,2278,2971,78.87%,1710,190,1900
"Judge, Court of Criminal Appeals, Place 8",0538,433,237,870,1282,52.28%,38,133,189
"Judge, Court of Criminal Appeals, Place 8",0539,28,209,235,71,330.99%,87,80,127
"Judge, Court of Criminal Appeals, Place 8",0540,888,380,1048,1491,70.15%,522,221,743
"Judge, Court of Criminal Appeals, Place 8",0541,1838,779,2815,4183,82.51%,541,803,1344
"Judge, Court of Criminal Appeals, Place 8",0542,997,501,1498,2525,59.33%,197,343,540
"Judge, Court of Criminal Appeals, Place 8",0543,287,378,885,1528,43.52%,298,125,423
"Judge, Court of Criminal Appeals, Place 8",0544,93,53,148,318,45.91%,24,28,50
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0545,1314,857,2171,3339,65.02%,1163,324,1487
"Judge, Court of Criminal Appeals, Place 8",0546,4,4,8,30,26.67%,2,4,6
"Judge, Court of Criminal Appeals, Place 8",0547,877,647,1524,2408,63.29%,1058,211,1269
"Judge, Court of Criminal Appeals, Place 8",0548,720,476,1196,2129,56.18%,594,223,817
"Judge, Court of Criminal Appeals, Place 8",0549,944,586,1530,2530,60.47%,295,301,596
"Judge, Court of Criminal Appeals, Place 8",0550,1134,629,1763,2847,61.92%,932,312,1244
"Judge, Court of Criminal Appeals, Place 8",0551,3092,1527,4619,6135,75.29%,3447,485,3932
"Judge, Court of Criminal Appeals, Place 8",0552,1621,844,2465,3241,76.06%,2023,184,2207
"Judge, Court of Criminal Appeals, Place 8",0553,1465,951,2416,4355,55.48%,1193,468,1661
"Judge, Court of Criminal Appeals, Place 8",0554,562,340,902,1731,52.11%,190,187,377
"Judge, Court of Criminal Appeals, Place 8",0555,598,447,1045,2119,49.32%,245,229,474
"Judge, Court of Criminal Appeals, Place 8",0556,585,421,1006,2249,44.73%,274,218,492
"Judge, Court of Criminal Appeals, Place 8",0557,822,556,1378,2726,50.55%,527,244,771
"Judge, Court of Criminal Appeals, Place 8",0558,1592,824,2416,4084,59.16%,922,575,1497
"Judge, Court of Criminal Appeals, Place 8",0559,1794,899,2693,4633,58.13%,795,795,1590
"Judge, Court of Criminal Appeals, Place 8",0560,172,289,461,1176,39.20%,149,59,208
"Judge, Court of Criminal Appeals, Place 8",0561,837,759,1596,3033,52.62%,910,171,1081
"Judge, Court of Criminal Appeals, Place 8",0562,201,146,347,645,53.80%,55,46,101
"Judge, Court of Criminal Appeals, Place 8",0563,1700,415,2115,2969,71.24%,1651,187,1838
"Judge, Court of Criminal Appeals, Place 8",0564,1159,713,1872,3096,60.47%,638,583,1221
