Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0066,172,279,451,1090,41.38%,111,70,181
"Judge, Court of Criminal Appeals, Place 8",0067,666,574,1240,2742,45.22%,420,226,646
"Judge, Court of Criminal Appeals, Place 8",0068,1199,486,1685,2782,60.57%,81,352,433
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0069,218,284,502,1303,38.53%,151,93,244
"Judge, Court of Criminal Appeals, Place 8",0070,1640,726,2366,3142,75.30%,1572,390,1962
"Judge, Court of Criminal Appeals, Place 8",0071,1430,948,2378,3662,64.94%,1327,538,1865
"Judge, Court of Criminal Appeals, Place 8",0072,442,562,1004,1882,53.35%,429,169,598
"Judge, Court of Criminal Appeals, Place 8",0073,500,496,996,1494,66.67%,607,173,780
"Judge, Court of Criminal Appeals, Place 8",0074,2217,530,2747,3632,75.63%,2147,228,2375
"Judge, Court of Criminal Appeals, Place 8",0075,487,370,857,1329,64.48%,409,203,612
"Judge, Court of Criminal Appeals, Place 8",0076,814,559,1383,2328,59.41%,856,204,1060
"Judge, Court of Criminal Appeals, Place 8",0077,169,81,250,565,44.25%,75,50,125
"Judge, Court of Criminal Appeals, Place 8",0078,360,344,704,1479,47.60%,315,104,419
"Judge, Court of Criminal Appeals, Place 8",0079,511,717,1228,2959,41.50%,417,197,614
"Judge, Court of Criminal Appeals, Place 8",0080,1159,481,1640,2712,60.47%,475,276,751
"Judge, Court of Criminal Appeals, Place 8",0081,540,309,849,1839,46.17%,371,96,467
"Judge, Court of Criminal Appeals, Place 8",0082,1353,816,2169,3284,66.05%,1637,213,1850
"Judge, Court of Criminal Appeals, Place 8",0083,2532,1181,3813,5598,68.11%,1987,631,2618
"Judge, Court of Criminal Appeals, Place 8",0084,445,346,791,1389,56.95%,561,88,649
"Judge, Court of Criminal Appeals, Place 8",0085,734,548,1282,2079,61.66%,108,353,461
"Judge, Court of Criminal Appeals, Place 8",0086,1055,689,1744,2637,66.14%,904,379,1283
"Judge, Court of Criminal Appeals, Place 8",0087,1224,861,2085,2749,75.85%,1440,234,1674
"Judge, Court of Criminal Appeals, Place 8",0088,235,162,397,678,58.55%,259,42,301
"Judge, Court of Criminal Appeals, Place 8",0089,344,454,798,1104,72.28%,504,128,632
"Judge, Court of Criminal Appeals, Place 8",0090,1499,958,2457,3571,68.80%,1828,274,2102
"Judge, Court of Criminal Appeals, Place 8",0091,466,333,799,1248,64.02%,511,128,639
"Judge, Court of Criminal Appeals, Place 8",0092,1105,534,1639,2228,73.56%,1160,175,1335
"Judge, Court of Criminal Appeals, Place 8",0093,782,643,1425,3295,43.25%,661,168,829
"Judge, Court of Criminal Appeals, Place 8",0094,148,104,252,537,46.93%,87,50,137
"Judge, Court of Criminal Appeals, Place 8",0095,1585,571,2357,3179,74.14%,1684,302,1986
"Judge, Court of Criminal Appeals, Place 8",0096,365,237,602,1241,48.51%,98,197,295
"Judge, Court of Criminal Appeals, Place 8",0097,2395,764,3159,4566,69.19%,2310,324,2634
"Judge, Court of Criminal Appeals, Place 8",0098,875,607,1482,2403,61.67%,1202,115,1317
"Judge, Court of Criminal Appeals, Place 8",0099,568,311,879,2040,43.09%,435,110,545
"Judge, Court of Criminal Appeals, Place 8",0100,427,324,751,1754,42.82%,363,121,484
"Judge, Court of Criminal Appeals, Place 8",0101,204,186,390,941,41.45%,106,85,191
"Judge, Court of Criminal Appeals, Place 8",0102,493,268,761,1910,39.84%,245,105,350
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0103,1915,1065,2980,4751,62.72%,1657,404,2061
"Judge, Court of Criminal Appeals, Place 8",0104,993,238,1231,1847,66.65%,51,202,253
"Judge, Court of Criminal Appeals, Place 8",0105,462,453,915,2153,42.50%,372,155,527
"Judge, Court of Criminal Appeals, Place 8",0106,49,37,86,284,30.28%,48,12,60
"Judge, Court of Criminal Appeals, Place 8",0107,412,441,853,1905,44.78%,216,119,335
"Judge, Court of Criminal Appeals, Place 8",0108,1194,514,1708,3229,52.90%,953,255,1208
"Judge, Court of Criminal Appeals, Place 8",0109,1161,430,1591,2884,55.17%,75,329,404
"Judge, Court of Criminal Appeals, Place 8",0110,1465,589,2054,2853,71.99%,1314,324,1638
"Judge, Court of Criminal Appeals, Place 8",0111,1869,848,2717,3638,74.68%,2036,284,2320
"Judge, Court of Criminal Appeals, Place 8",0112,1262,668,1930,2894,66.69%,1390,260,1650
"Judge, Court of Criminal Appeals, Place 8",0113,1125,590,1715,2537,67.60%,1045,247,1292
"Judge, Court of Criminal Appeals, Place 8",0114,1457,546,2003,2650,75.58%,1560,177,1737
"Judge, Court of Criminal Appeals, Place 8",0115,598,305,903,1764,51.19%,142,164,306
"Judge, Court of Criminal Appeals, Place 8",0116,1628,747,2375,3014,78.80%,1867,213,2080
"Judge, Court of Criminal Appeals, Place 8",0117,398,462,860,1878,45.79%,430,152,582
"Judge, Court of Criminal Appeals, Place 8",0118,460,148,608,743,81.83%,506,37,543
"Judge, Court of Criminal Appeals, Place 8",0119,1924,1265,3189,4892,65.19%,2529,256,2785
"Judge, Court of Criminal Appeals, Place 8",0120,1200,632,1832,2986,61.35%,1180,268,1448
"Judge, Court of Criminal Appeals, Place 8",0121,193,244,437,679,64.36%,288,49,337
"Judge, Court of Criminal Appeals, Place 8",0122,895,349,1244,2199,56.57%,102,230,332
"Judge, Court of Criminal Appeals, Place 8",0123,441,350,791,1356,58.33%,284,240,524
"Judge, Court of Criminal Appeals, Place 8",0124,3523,1281,4804,5952,80.71%,3845,397,4242
"Judge, Court of Criminal Appeals, Place 8",0125,897,534,1431,2281,62.74%,886,218,1104
"Judge, Court of Criminal Appeals, Place 8",0126,1630,407,2037,2799,72.78%,1739,112,1851
"Judge, Court of Criminal Appeals, Place 8",0127,854,182,1036,1703,60.83%,731,86,817
"Judge, Court of Criminal Appeals, Place 8",0128,936,736,1672,2257,74.08%,1160,198,1358
"Judge, Court of Criminal Appeals, Place 8",0129,2296,1449,3745,5495,68.15%,2462,577,3039
"Judge, Court of Criminal Appeals, Place 8",0130,1204,523,1727,2240,77.10%,1307,166,1473
"Judge, Court of Criminal Appeals, Place 8",0131,607,374,981,1721,57.00%,297,245,542
"Judge, Court of Criminal Appeals, Place 8",0132,1121,397,1518,2449,61.98%,81,289,370
"Judge, Court of Criminal Appeals, Place 8",0133,1088,940,2028,2605,77.85%,1322,301,1623
"Judge, Court of Criminal Appeals, Place 8",0134,420,392,812,1444,56.23%,403,161,564
"Judge, Court of Criminal Appeals, Place 8",0135,1431,634,2065,2750,75.09%,1394,305,1699
"Judge, Court of Criminal Appeals, Place 8",0136,985,451,1436,2111,68.02%,138,405,543
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elsa Alcala,"LIB William Bryan Strange, |||",Totals
"Judge, Court of Criminal Appeals, Place 8",0137,305,193,498,740,67.30%,295,99,394
"Judge, Court of Criminal Appeals, Place 8",0138,661,259,920,1749,52.60%,51,137,188
"Judge, Court of Criminal Appeals, Place 8",0139,1297,747,2044,2746,74.44%,1115,416,1531
"Judge, Court of Criminal Appeals, Place 8",0140,1317,683,2000,3104,64.43%,441,539,980
"Judge, Court of Criminal Appeals, Place 8",0141,181,143,324,872,37.16%,201,40,241
"Judge, Court of Criminal Appeals, Place 8",0142,212,171,383,870,44.02%,152,70,222
