Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0273,1141,634,1775,2426,73.17%,1350,317,36,1703
"Presiding Judge, Court of Criminal Appeals",0274,1054,364,1418,2063,68.73%,871,440,44,1355
"Presiding Judge, Court of Criminal Appeals",0275,570,410,980,1730,56.65%,162,771,13,946
"Presiding Judge, Court of Criminal Appeals",0276,1139,404,1543,2532,60.94%,14,1485,8,1507
"Presiding Judge, Court of Criminal Appeals",0277,342,305,647,1473,43.92%,264,346,17,627
"Presiding Judge, Court of Criminal Appeals",0278,756,607,1363,2405,56.67%,678,591,22,1291
"Presiding Judge, Court of Criminal Appeals",0279,548,383,931,1899,49.03%,551,321,16,888
"Presiding Judge, Court of Criminal Appeals",0280,303,360,663,1515,43.76%,230,384,12,626
"Presiding Judge, Court of Criminal Appeals",0281,1088,903,1991,2610,76.28%,907,859,46,1812
"Presiding Judge, Court of Criminal Appeals",0282,691,591,1282,1988,64.49%,699,487,40,1226
"Presiding Judge, Court of Criminal Appeals",0283,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0284,1136,595,1731,3262,53.07%,620,1002,30,1652
"Presiding Judge, Court of Criminal Appeals",0285,989,509,1498,2505,59.80%,110,1330,10,1450
"Presiding Judge, Court of Criminal Appeals",0286,2659,1053,3712,5719,64.91%,326,3225,26,3577
"Presiding Judge, Court of Criminal Appeals",0287,547,542,1189,1616,73.58%,585,499,43,1127
"Presiding Judge, Court of Criminal Appeals",0288,1036,380,1416,2259,62.68%,22,1349,8,1379
"Presiding Judge, Court of Criminal Appeals",0289,374,397,771,1510,51.06%,295,410,10,715
"Presiding Judge, Court of Criminal Appeals",0290,577,429,1006,1567,64.20%,749,204,25,978
"Presiding Judge, Court of Criminal Appeals",0291,541,298,839,1203,69.74%,379,393,19,791
"Presiding Judge, Court of Criminal Appeals",0292,478,236,714,1272,56.13%,95,590,7,692
"Presiding Judge, Court of Criminal Appeals",0293,520,557,1177,1733,67.92%,507,558,46,1111
"Presiding Judge, Court of Criminal Appeals",0294,989,298,1287,2107,61.08%,9,1237,6,1252
"Presiding Judge, Court of Criminal Appeals",0295,315,189,504,862,58.47%,4,482,4,490
"Presiding Judge, Court of Criminal Appeals",0296,603,432,1035,1693,61.13%,557,370,26,953
"Presiding Judge, Court of Criminal Appeals",0297,579,445,1024,1978,51.77%,369,572,18,959
"Presiding Judge, Court of Criminal Appeals",0298,849,475,1324,2083,63.56%,695,508,57,1260
"Presiding Judge, Court of Criminal Appeals",0299,328,213,541,1231,43.95%,173,326,8,507
"Presiding Judge, Court of Criminal Appeals",0300,3017,922,3939,5040,78.15%,2933,731,93,3757
"Presiding Judge, Court of Criminal Appeals",0301,450,655,1105,2397,46.10%,392,633,25,1050
"Presiding Judge, Court of Criminal Appeals",0302,713,635,1348,2724,49.49%,688,557,30,1275
"Presiding Judge, Court of Criminal Appeals",0303,1775,755,2530,3172,79.76%,1896,469,35,2400
"Presiding Judge, Court of Criminal Appeals",0304,970,648,1618,2266,71.40%,861,617,30,1508
"Presiding Judge, Court of Criminal Appeals",0305,1321,858,2179,3621,60.18%,791,1271,37,2099
"Presiding Judge, Court of Criminal Appeals",0306,1014,323,1337,1847,72.39%,908,338,27,1273
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0307,1242,876,2118,2931,72.26%,1385,557,72,2014
"Presiding Judge, Court of Criminal Appeals",0308,444,238,682,1266,53.87%,183,454,15,652
"Presiding Judge, Court of Criminal Appeals",0309,1386,612,1998,2529,79.00%,1523,348,30,1901
"Presiding Judge, Court of Criminal Appeals",0310,519,348,967,1437,67.29%,620,282,14,916
"Presiding Judge, Court of Criminal Appeals",0311,862,699,1561,2997,52.09%,659,724,35,1418
"Presiding Judge, Court of Criminal Appeals",0312,1601,718,2319,3669,63.21%,1207,942,59,2208
"Presiding Judge, Court of Criminal Appeals",0313,22,1,23,60,38.33%,11,8,1,20
"Presiding Judge, Court of Criminal Appeals",0314,2496,1221,3717,5225,71.14%,2177,1337,79,3593
"Presiding Judge, Court of Criminal Appeals",0315,711,479,1190,1618,73.55%,653,428,28,1109
"Presiding Judge, Court of Criminal Appeals",0316,682,411,1093,1522,71.81%,554,434,29,1017
"Presiding Judge, Court of Criminal Appeals",0317,555,336,891,1469,60.65%,254,592,12,858
"Presiding Judge, Court of Criminal Appeals",0318,1709,611,2320,3531,65.70%,98,2122,19,2239
"Presiding Judge, Court of Criminal Appeals",0319,965,290,1255,2081,60.31%,77,1121,5,1203
"Presiding Judge, Court of Criminal Appeals",0320,464,300,764,1505,50.76%,329,380,14,723
"Presiding Judge, Court of Criminal Appeals",0321,442,305,748,2029,36.87%,251,449,12,712
"Presiding Judge, Court of Criminal Appeals",0322,397,237,634,1322,47.96%,156,445,12,613
"Presiding Judge, Court of Criminal Appeals",0323,483,332,815,1719,47.41%,319,411,31,761
"Presiding Judge, Court of Criminal Appeals",0324,967,718,1685,2339,72.04%,1038,507,33,1578
"Presiding Judge, Court of Criminal Appeals",0325,658,397,1055,2251,46.87%,227,765,21,1013
"Presiding Judge, Court of Criminal Appeals",0326,202,128,330,678,48.67%,129,168,8,305
"Presiding Judge, Court of Criminal Appeals",0327,725,244,970,1751,55.40%,13,922,1,936
"Presiding Judge, Court of Criminal Appeals",0328,345,270,615,1361,45.19%,226,354,12,592
"Presiding Judge, Court of Criminal Appeals",0329,405,307,712,1367,52.08%,207,445,15,667
"Presiding Judge, Court of Criminal Appeals",0330,591,376,967,1849,52.30%,417,451,38,906
"Presiding Judge, Court of Criminal Appeals",0331,0,1,1,0,0.00%,1,0,0,1
"Presiding Judge, Court of Criminal Appeals",0332,24,4,28,128,21.88%,8,15,2,25
"Presiding Judge, Court of Criminal Appeals",0333,1019,939,1958,2901,67.49%,1352,451,69,1872
"Presiding Judge, Court of Criminal Appeals",0334,255,114,369,755,48.87%,73,283,4,360
"Presiding Judge, Court of Criminal Appeals",0335,285,246,531,1227,43.28%,152,317,11,480
"Presiding Judge, Court of Criminal Appeals",0336,1825,588,2413,3161,76.34%,200,2115,35,2350
"Presiding Judge, Court of Criminal Appeals",0337,310,207,517,951,54.36%,84,418,2,504
"Presiding Judge, Court of Criminal Appeals",0338,1543,824,2367,4673,50.65%,629,1554,41,2224
"Presiding Judge, Court of Criminal Appeals",0339,369,373,742,1716,43.24%,152,514,18,684
"Presiding Judge, Court of Criminal Appeals",0340,1779,833,2612,3717,70.27%,1854,537,99,2490
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0341,246,316,562,1248,45.03%,136,390,12,538
"Presiding Judge, Court of Criminal Appeals",0342,2031,1113,3144,5718,54.98%,426,2594,37,3057
"Presiding Judge, Court of Criminal Appeals",0343,436,483,919,1904,48.27%,223,591,24,838
"Presiding Judge, Court of Criminal Appeals",0344,395,245,640,1207,53.02%,21,589,3,613
"Presiding Judge, Court of Criminal Appeals",0345,430,357,787,1708,46.08%,155,577,22,754
"Presiding Judge, Court of Criminal Appeals",0346,1,2,3,1,300.00%,3,0,0,3
"Presiding Judge, Court of Criminal Appeals",0347,1250,614,1864,3299,56.50%,1107,641,44,1792
"Presiding Judge, Court of Criminal Appeals",0348,753,280,1033,1740,59.37%,709,260,19,988
"Presiding Judge, Court of Criminal Appeals",0349,407,407,814,1315,61.90%,457,292,27,776
"Presiding Judge, Court of Criminal Appeals",0350,1120,780,1900,2906,65.38%,736,974,62,1772
"Presiding Judge, Court of Criminal Appeals",0351,2495,793,3288,4537,72.47%,2519,605,66,3190
"Presiding Judge, Court of Criminal Appeals",0352,1152,583,1735,3193,54.34%,1154,472,47,1673
"Presiding Judge, Court of Criminal Appeals",0353,1544,703,2247,3697,60.78%,364,1792,18,2174
"Presiding Judge, Court of Criminal Appeals",0354,1477,517,1994,3193,62.45%,442,1452,20,1914
"Presiding Judge, Court of Criminal Appeals",0355,703,286,989,1384,71.46%,90,858,9,957
"Presiding Judge, Court of Criminal Appeals",0356,1383,618,2001,2836,70.56%,1104,732,58,1894
"Presiding Judge, Court of Criminal Appeals",0357,1633,709,2342,3371,69.47%,1642,527,79,2248
"Presiding Judge, Court of Criminal Appeals",0358,742,464,1206,2297,52.50%,82,1071,12,1165
"Presiding Judge, Court of Criminal Appeals",0359,707,482,1189,3008,39.53%,91,1047,8,1146
"Presiding Judge, Court of Criminal Appeals",0360,973,515,1488,2190,67.95%,740,581,54,1375
"Presiding Judge, Court of Criminal Appeals",0361,136,691,827,1585,52.18%,142,545,38,725
"Presiding Judge, Court of Criminal Appeals",0362,2132,1200,3332,4952,67.29%,2349,761,80,3190
"Presiding Judge, Court of Criminal Appeals",0363,1348,687,2035,3291,61.84%,876,1063,34,1973
"Presiding Judge, Court of Criminal Appeals",0364,913,602,1515,2539,59.67%,737,671,40,1448
"Presiding Judge, Court of Criminal Appeals",0365,735,245,980,1302,75.27%,77,864,10,951
"Presiding Judge, Court of Criminal Appeals",0366,638,466,1104,2089,52.85%,225,826,13,1064
"Presiding Judge, Court of Criminal Appeals",0367,328,212,540,1019,52.99%,91,417,15,523
"Presiding Judge, Court of Criminal Appeals",0368,418,143,561,929,60.39%,146,396,3,545
"Presiding Judge, Court of Criminal Appeals",0369,108,53,161,490,32.86%,60,89,8,157
"Presiding Judge, Court of Criminal Appeals",0370,3145,1178,4323,5781,74.78%,3158,901,104,4163
"Presiding Judge, Court of Criminal Appeals",0371,226,69,295,475,62.11%,4,283,0,287
"Presiding Judge, Court of Criminal Appeals",0372,499,231,730,1215,60.08%,80,622,4,706
"Presiding Judge, Court of Criminal Appeals",0373,61,16,77,159,48.43%,1,73,0,74
"Presiding Judge, Court of Criminal Appeals",0374,139,187,326,748,43.58%,96,206,6,308
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0375,578,524,1102,2607,42.27%,446,589,17,1052
"Presiding Judge, Court of Criminal Appeals",0376,530,334,964,1916,50.31%,393,511,10,914
"Presiding Judge, Court of Criminal Appeals",0377,1055,707,1762,2871,61.37%,1260,357,58,1675
"Presiding Judge, Court of Criminal Appeals",0378,559,521,1080,1777,60.78%,643,362,36,1041
"Presiding Judge, Court of Criminal Appeals",0379,802,338,1140,2017,56.52%,84,1005,9,1098
"Presiding Judge, Court of Criminal Appeals",0380,2505,1183,3688,4753,77.59%,2031,1433,90,3554
"Presiding Judge, Court of Criminal Appeals",0381,957,424,1381,2715,50.87%,541,757,22,1320
"Presiding Judge, Court of Criminal Appeals",0382,275,231,507,841,60.29%,343,134,10,487
"Presiding Judge, Court of Criminal Appeals",0383,601,493,1094,2076,52.70%,331,699,18,1048
"Presiding Judge, Court of Criminal Appeals",0384,1176,505,1681,2596,64.75%,318,1290,13,1621
"Presiding Judge, Court of Criminal Appeals",0385,1099,621,1720,2175,79.08%,1219,364,38,1621
"Presiding Judge, Court of Criminal Appeals",0386,1466,460,1926,2872,67.06%,1344,484,38,1866
"Presiding Judge, Court of Criminal Appeals",0387,1369,802,2171,3727,58.25%,1450,595,35,2080
"Presiding Judge, Court of Criminal Appeals",0388,2780,1222,4002,5329,75.10%,2188,1598,76,3862
"Presiding Judge, Court of Criminal Appeals",0389,290,251,551,975,56.51%,82,411,31,524
"Presiding Judge, Court of Criminal Appeals",0390,651,368,1019,1565,65.11%,110,854,15,979
"Presiding Judge, Court of Criminal Appeals",0391,856,355,1211,1805,67.09%,738,382,35,1155
"Presiding Judge, Court of Criminal Appeals",0392,737,197,934,1441,64.82%,7,897,8,912
"Presiding Judge, Court of Criminal Appeals",0393,346,318,664,1206,55.06%,284,334,18,636
"Presiding Judge, Court of Criminal Appeals",0394,166,176,342,860,39.77%,131,184,9,324
"Presiding Judge, Court of Criminal Appeals",0395,830,491,1321,1820,72.58%,859,336,50,1245
"Presiding Judge, Court of Criminal Appeals",0396,1158,219,1377,2073,66.43%,13,1320,7,1340
"Presiding Judge, Court of Criminal Appeals",0397,163,148,311,750,41.47%,119,167,3,289
"Presiding Judge, Court of Criminal Appeals",0398,1443,840,2283,3816,59.83%,1074,1079,45,2198
"Presiding Judge, Court of Criminal Appeals",0399,897,593,1490,2542,58.62%,703,718,26,1447
"Presiding Judge, Court of Criminal Appeals",0400,1052,506,1558,2238,69.62%,1069,382,36,1487
"Presiding Judge, Court of Criminal Appeals",0401,724,284,1008,1876,53.73%,40,939,6,985
"Presiding Judge, Court of Criminal Appeals",0402,892,245,1137,1737,65.46%,54,1050,4,1108
"Presiding Judge, Court of Criminal Appeals",0403,792,527,1319,1703,77.45%,690,492,32,1214
"Presiding Judge, Court of Criminal Appeals",0404,778,552,1330,2589,51.37%,655,592,26,1273
"Presiding Judge, Court of Criminal Appeals",0405,0,1,1,0,0.00%,0,1,0,1
"Presiding Judge, Court of Criminal Appeals",0406,282,72,354,610,58.03%,5,331,2,338
"Presiding Judge, Court of Criminal Appeals",0407,1320,1000,2320,3652,63.53%,1390,732,60,2182
"Presiding Judge, Court of Criminal Appeals",0408,154,179,333,933,35.69%,135,173,8,316
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0409,277,289,566,1371,41.28%,173,348,9,530
"Presiding Judge, Court of Criminal Appeals",0410,337,102,439,849,51.71%,74,348,2,424
"Presiding Judge, Court of Criminal Appeals",0411,542,462,1004,2302,43.61%,291,639,12,942
"Presiding Judge, Court of Criminal Appeals",0412,193,74,267,433,61.66%,13,241,0,254
"Presiding Judge, Court of Criminal Appeals",0413,1493,525,2018,3023,66.75%,735,1157,24,1916
"Presiding Judge, Court of Criminal Appeals",0414,1453,593,2046,3457,59.18%,1398,486,50,1934
"Presiding Judge, Court of Criminal Appeals",0415,951,633,1584,2124,74.58%,1044,422,37,1503
"Presiding Judge, Court of Criminal Appeals",0416,1181,916,2097,3582,58.54%,1025,894,71,1990
"Presiding Judge, Court of Criminal Appeals",0417,777,619,1396,2465,56.63%,595,700,34,1329
"Presiding Judge, Court of Criminal Appeals",0418,1059,758,1817,3420,53.13%,663,1046,28,1737
"Presiding Judge, Court of Criminal Appeals",0419,1006,578,1584,2697,58.73%,983,503,27,1513
"Presiding Judge, Court of Criminal Appeals",0420,2174,1089,3263,4639,70.34%,2572,478,70,3120
"Presiding Judge, Court of Criminal Appeals",0421,124,92,216,467,46.25%,44,163,2,209
"Presiding Judge, Court of Criminal Appeals",0422,1456,585,2041,3345,61.02%,38,1940,7,1985
"Presiding Judge, Court of Criminal Appeals",0423,190,309,499,894,55.82%,200,263,7,470
"Presiding Judge, Court of Criminal Appeals",0424,435,157,592,888,66.67%,325,232,21,578
"Presiding Judge, Court of Criminal Appeals",0425,228,234,462,875,52.80%,138,286,14,438
"Presiding Judge, Court of Criminal Appeals",0426,415,283,698,1224,57.03%,371,256,16,643
"Presiding Judge, Court of Criminal Appeals",0427,325,249,574,1115,51.48%,194,329,15,538
"Presiding Judge, Court of Criminal Appeals",0428,1284,907,2191,4316,50.76%,634,1402,16,2052
"Presiding Judge, Court of Criminal Appeals",0429,1093,777,1870,3929,47.59%,330,1375,34,1739
"Presiding Judge, Court of Criminal Appeals",0430,406,335,741,1654,44.80%,143,526,20,689
"Presiding Judge, Court of Criminal Appeals",0431,824,403,1227,3188,38.49%,292,830,34,1156
"Presiding Judge, Court of Criminal Appeals",0432,312,271,583,1344,43.38%,150,388,23,561
"Presiding Judge, Court of Criminal Appeals",0433,139,106,245,573,42.76%,45,183,6,234
"Presiding Judge, Court of Criminal Appeals",0434,633,371,1004,1386,72.44%,592,324,36,952
"Presiding Judge, Court of Criminal Appeals",0435,1537,768,2305,3097,74.43%,1423,693,60,2176
"Presiding Judge, Court of Criminal Appeals",0436,1342,709,2051,3012,68.09%,1163,718,58,1939
"Presiding Judge, Court of Criminal Appeals",0437,952,542,1494,2007,74.44%,974,395,45,1414
"Presiding Judge, Court of Criminal Appeals",0438,1047,387,1434,1802,79.58%,1013,303,23,1339
"Presiding Judge, Court of Criminal Appeals",0439,1527,905,2432,3416,71.19%,1611,626,63,2300
"Presiding Judge, Court of Criminal Appeals",0440,1326,876,2202,2867,76.81%,1632,406,42,2080
"Presiding Judge, Court of Criminal Appeals",0441,699,513,1212,1616,75.00%,843,280,25,1148
"Presiding Judge, Court of Criminal Appeals",0442,1366,513,1879,2504,75.04%,1484,279,38,1801
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0443,335,148,483,605,79.83%,315,125,17,457
"Presiding Judge, Court of Criminal Appeals",0444,1258,731,1989,3172,62.70%,1126,701,55,1882
"Presiding Judge, Court of Criminal Appeals",0445,861,443,1304,1938,67.29%,764,440,37,1241
"Presiding Judge, Court of Criminal Appeals",0446,70,52,122,268,45.52%,40,73,2,115
"Presiding Judge, Court of Criminal Appeals",0447,271,108,379,583,65.01%,120,223,11,354
"Presiding Judge, Court of Criminal Appeals",0448,1240,869,2109,3081,68.45%,1177,733,81,1991
"Presiding Judge, Court of Criminal Appeals",0449,62,37,99,164,60.37%,12,81,0,93
"Presiding Judge, Court of Criminal Appeals",0450,856,537,1393,2622,53.13%,327,980,32,1339
"Presiding Judge, Court of Criminal Appeals",0451,1575,515,2090,2674,78.16%,1636,343,39,2018
"Presiding Judge, Court of Criminal Appeals",0452,1110,639,1749,2810,62.24%,1261,388,45,1694
"Presiding Judge, Court of Criminal Appeals",0453,559,475,1034,1885,54.85%,344,622,13,979
"Presiding Judge, Court of Criminal Appeals",0454,1227,311,1538,2571,59.82%,12,1482,2,1496
"Presiding Judge, Court of Criminal Appeals",0455,748,216,964,1679,57.42%,29,900,4,933
"Presiding Judge, Court of Criminal Appeals",0456,1271,593,1864,3350,55.64%,954,788,36,1778
"Presiding Judge, Court of Criminal Appeals",0457,0,0,0,0,0.00%,0,0,0,0
"Presiding Judge, Court of Criminal Appeals",0458,909,271,1180,1893,62.33%,51,1085,4,1140
"Presiding Judge, Court of Criminal Appeals",0459,1639,476,2115,2950,71.69%,1613,372,42,2027
"Presiding Judge, Court of Criminal Appeals",0460,1251,402,1653,2346,70.46%,421,1161,15,1597
"Presiding Judge, Court of Criminal Appeals",0461,1959,828,2787,3733,74.66%,1715,825,63,2603
"Presiding Judge, Court of Criminal Appeals",0462,1320,865,2185,3367,64.89%,757,1267,39,2063
"Presiding Judge, Court of Criminal Appeals",0463,1130,656,1786,2962,60.30%,676,983,61,1720
"Presiding Judge, Court of Criminal Appeals",0464,788,612,1400,2126,65.85%,919,374,46,1339
"Presiding Judge, Court of Criminal Appeals",0465,1466,702,2168,3343,64.85%,1083,990,36,2109
"Presiding Judge, Court of Criminal Appeals",0466,2052,729,2781,4072,68.30%,1497,1153,45,2695
"Presiding Judge, Court of Criminal Appeals",0467,479,229,708,1230,57.56%,164,506,11,681
"Presiding Judge, Court of Criminal Appeals",0468,986,793,1779,3354,53.04%,494,1168,28,1690
"Presiding Judge, Court of Criminal Appeals",0469,2039,638,2677,3779,70.84%,2001,490,62,2553
"Presiding Judge, Court of Criminal Appeals",0470,443,323,766,1349,56.78%,503,195,30,728
"Presiding Judge, Court of Criminal Appeals",0471,793,597,1390,2349,59.17%,1038,265,40,1343
"Presiding Judge, Court of Criminal Appeals",0472,372,337,709,1027,69.04%,305,332,19,656
"Presiding Judge, Court of Criminal Appeals",0473,914,442,1356,1827,74.22%,872,380,27,1279
"Presiding Judge, Court of Criminal Appeals",0474,1149,766,1915,3006,63.71%,1268,512,54,1834
"Presiding Judge, Court of Criminal Appeals",0475,485,473,958,1651,58.03%,399,489,21,909
"Presiding Judge, Court of Criminal Appeals",0476,809,658,1467,2412,60.82%,820,558,30,1408
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0477,1442,742,2184,3195,68.36%,1579,481,53,2113
"Presiding Judge, Court of Criminal Appeals",0478,1963,898,2861,4150,68.94%,1786,877,77,2740
"Presiding Judge, Court of Criminal Appeals",0479,1302,588,1890,2648,71.37%,1313,437,71,1821
"Presiding Judge, Court of Criminal Appeals",0480,935,555,1491,2267,65.77%,993,389,38,1420
"Presiding Judge, Court of Criminal Appeals",0481,1466,852,2318,3298,70.29%,1639,519,62,2220
"Presiding Judge, Court of Criminal Appeals",0482,1964,836,2800,4129,67.81%,1872,757,69,2698
"Presiding Judge, Court of Criminal Appeals",0483,1870,759,2629,4141,63.49%,1325,1105,88,2518
"Presiding Judge, Court of Criminal Appeals",0484,2239,1008,3247,4594,70.68%,2210,829,89,3128
"Presiding Judge, Court of Criminal Appeals",0485,2422,990,3412,4838,70.53%,2421,778,106,3305
"Presiding Judge, Court of Criminal Appeals",0486,1844,805,2649,3572,74.16%,1985,492,78,2555
"Presiding Judge, Court of Criminal Appeals",0487,1006,612,1618,3318,48.76%,457,1019,20,1496
"Presiding Judge, Court of Criminal Appeals",0488,580,440,1020,1713,59.54%,333,604,18,955
"Presiding Judge, Court of Criminal Appeals",0489,784,378,1162,1823,63.74%,315,757,25,1097
"Presiding Judge, Court of Criminal Appeals",0490,881,439,1320,1944,67.90%,459,776,21,1256
"Presiding Judge, Court of Criminal Appeals",0491,570,489,1159,1782,65.04%,616,439,45,1100
"Presiding Judge, Court of Criminal Appeals",0492,1072,504,1576,2351,67.04%,787,654,44,1485
"Presiding Judge, Court of Criminal Appeals",0493,859,400,1259,1804,69.79%,766,383,38,1187
"Presiding Judge, Court of Criminal Appeals",0494,761,431,1192,2176,54.78%,142,1009,7,1158
"Presiding Judge, Court of Criminal Appeals",0495,1121,494,1615,2284,70.71%,1107,403,29,1539
"Presiding Judge, Court of Criminal Appeals",0496,496,571,1067,2086,51.15%,382,601,26,1009
"Presiding Judge, Court of Criminal Appeals",0497,1124,303,1427,2226,64.11%,52,1323,6,1381
"Presiding Judge, Court of Criminal Appeals",0498,760,499,1259,2123,59.30%,498,672,36,1206
"Presiding Judge, Court of Criminal Appeals",0499,1302,517,1819,2304,78.95%,1254,440,35,1729
"Presiding Judge, Court of Criminal Appeals",0500,1507,746,2253,3175,70.96%,1482,621,61,2164
"Presiding Judge, Court of Criminal Appeals",0501,653,487,1140,1647,69.22%,401,613,60,1074
"Presiding Judge, Court of Criminal Appeals",0502,1152,332,1484,2364,62.77%,1109,285,27,1421
"Presiding Judge, Court of Criminal Appeals",0503,359,273,632,1363,46.37%,187,387,13,587
"Presiding Judge, Court of Criminal Appeals",0504,1129,538,1667,2197,75.88%,1041,506,45,1592
"Presiding Judge, Court of Criminal Appeals",0505,1213,829,2042,3654,55.88%,852,1000,69,1921
"Presiding Judge, Court of Criminal Appeals",0506,1471,801,2272,3380,67.22%,363,1813,23,2199
"Presiding Judge, Court of Criminal Appeals",0507,582,385,967,2435,39.71%,147,674,13,834
"Presiding Judge, Court of Criminal Appeals",0508,946,760,1706,3248,52.52%,543,1003,34,1580
"Presiding Judge, Court of Criminal Appeals",0509,1341,864,2205,3536,62.36%,1483,570,66,2119
"Presiding Judge, Court of Criminal Appeals",0510,1495,582,2177,3511,62.01%,939,1080,68,2087
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0511,0,8,8,0,0.00%,1,5,0,8
"Presiding Judge, Court of Criminal Appeals",0512,1588,1127,2895,4582,58.82%,1175,1355,89,2599
"Presiding Judge, Court of Criminal Appeals",0513,1808,507,2113,2752,78.78%,1517,453,44,2014
"Presiding Judge, Court of Criminal Appeals",0514,1989,880,2829,3941,71.78%,1984,855,89,2728
"Presiding Judge, Court of Criminal Appeals",0515,1892,708,2400,3173,75.84%,1851,388,80,2299
"Presiding Judge, Court of Criminal Appeals",0518,2181,1088,3247,4934,85.81%,1525,1489,79,3093
"Presiding Judge, Court of Criminal Appeals",0517,1208,853,1881,3320,58.05%,932,793,52,1777
"Presiding Judge, Court of Criminal Appeals",0518,1479,919,2398,3755,83.88%,1439,788,80,2285
"Presiding Judge, Court of Criminal Appeals",0519,1235,845,1880,2951,83.71%,1300,450,81,1811
"Presiding Judge, Court of Criminal Appeals",0520,1548,857,2403,4084,59.13%,358,1932,30,2320
"Presiding Judge, Court of Criminal Appeals",0521,1014,894,1708,2725,82.88%,842,788,28,1838
"Presiding Judge, Court of Criminal Appeals",0522,1173,858,1831,2882,88.27%,1311,387,82,1780
"Presiding Judge, Court of Criminal Appeals",0523,1340,889,2029,3080,88.31%,1275,571,87,1913
"Presiding Judge, Court of Criminal Appeals",0524,1242,875,1917,3292,58.23%,545,1282,33,1840
"Presiding Judge, Court of Criminal Appeals",0525,1383,810,1993,2947,87.83%,384,1504,23,1911
"Presiding Judge, Court of Criminal Appeals",0528,187,171,338,731,48.24%,83,230,8,319
"Presiding Judge, Court of Criminal Appeals",0527,80,24,104,589,18.28%,48,52,2,100
"Presiding Judge, Court of Criminal Appeals",0528,38,12,48,92,52.17%,4,42,1,47
"Presiding Judge, Court of Criminal Appeals",0529,1989,441,2430,3818,87.20%,1985,328,57,2348
"Presiding Judge, Court of Criminal Appeals",0530,259,235,494,1198,41.30%,100,352,8,480
"Presiding Judge, Court of Criminal Appeals",0531,872,113,785,1094,71.78%,592,142,11,745
"Presiding Judge, Court of Criminal Appeals",0532,452,184,838,1039,81.21%,424,171,18,811
"Presiding Judge, Court of Criminal Appeals",0533,317,207,524,1089,49.02%,250,239,13,502
"Presiding Judge, Court of Criminal Appeals",0534,1880,875,2335,3795,81.53%,1832,558,58,2248
"Presiding Judge, Court of Criminal Appeals",0535,80,94,174,421,41.33%,81,98,8,185
"Presiding Judge, Court of Criminal Appeals",0538,1335,1195,2530,4578,55.29%,900,1479,48,2425
"Presiding Judge, Court of Criminal Appeals",0537,1455,823,2278,2971,78.87%,1803,548,40,2189
"Presiding Judge, Court of Criminal Appeals",0538,433,237,870,1282,52.28%,15,828,5,848
"Presiding Judge, Court of Criminal Appeals",0539,28,209,235,71,330.99%,44,182,10,218
"Presiding Judge, Court of Criminal Appeals",0540,888,380,1048,1491,70.15%,408,530,35,973
"Presiding Judge, Court of Criminal Appeals",0541,1838,779,2815,4183,82.51%,339,2133,48,2518
"Presiding Judge, Court of Criminal Appeals",0542,997,501,1498,2525,59.33%,84,1382,10,1458
"Presiding Judge, Court of Criminal Appeals",0543,287,378,885,1528,43.52%,208,415,11,834
"Presiding Judge, Court of Criminal Appeals",0544,93,53,148,318,45.91%,15,124,1,140
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0545,1314,857,2171,3339,65.02%,992,1025,53,2070
"Presiding Judge, Court of Criminal Appeals",0546,4,4,8,30,26.67%,2,6,0,8
