Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0084,410,420,830,2090,39.71%,149,818,18,781
"Presiding Judge, Court of Criminal Appeals",0085,404,532,938,2178,42.98%,170,897,15,882
"Presiding Judge, Court of Criminal Appeals",0088,172,279,451,1090,41.38%,84,340,8,412
"Presiding Judge, Court of Criminal Appeals",0087,888,574,1240,2742,45.22%,288,855,23,1148
"Presiding Judge, Court of Criminal Appeals",0088,1199,488,1885,2782,80.57%,23,1807,8,1838
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0069,218,284,502,1303,38.53%,77,367,4,448
"Presiding Judge, Court of Criminal Appeals",0070,1640,726,2366,3142,75.30%,1331,813,86,2230
"Presiding Judge, Court of Criminal Appeals",0071,1430,948,2378,3662,64.94%,1141,985,130,2256
"Presiding Judge, Court of Criminal Appeals",0072,442,562,1004,1882,53.35%,269,632,28,929
"Presiding Judge, Court of Criminal Appeals",0073,500,496,996,1494,66.67%,524,376,37,937
"Presiding Judge, Court of Criminal Appeals",0074,2217,530,2747,3632,75.63%,2037,515,58,2610
"Presiding Judge, Court of Criminal Appeals",0075,487,370,857,1329,64.48%,334,446,26,806
"Presiding Judge, Court of Criminal Appeals",0076,814,559,1383,2328,59.41%,748,539,24,1311
"Presiding Judge, Court of Criminal Appeals",0077,169,81,250,565,44.25%,54,180,3,237
"Presiding Judge, Court of Criminal Appeals",0078,360,344,704,1479,47.60%,198,424,12,634
"Presiding Judge, Court of Criminal Appeals",0079,511,717,1228,2959,41.50%,225,889,16,1130
"Presiding Judge, Court of Criminal Appeals",0080,1159,481,1640,2712,60.47%,334,1210,15,1559
"Presiding Judge, Court of Criminal Appeals",0081,540,309,849,1839,46.17%,252,515,19,786
"Presiding Judge, Court of Criminal Appeals",0082,1353,816,2169,3284,66.05%,1563,479,49,2091
"Presiding Judge, Court of Criminal Appeals",0083,2532,1181,3813,5598,68.11%,1737,1882,70,3689
"Presiding Judge, Court of Criminal Appeals",0084,445,346,791,1389,56.95%,546,195,19,760
"Presiding Judge, Court of Criminal Appeals",0085,734,548,1282,2079,61.66%,21,1205,14,1240
"Presiding Judge, Court of Criminal Appeals",0086,1055,689,1744,2637,66.14%,756,814,68,1638
"Presiding Judge, Court of Criminal Appeals",0087,1224,861,2085,2749,75.85%,1209,674,42,1925
"Presiding Judge, Court of Criminal Appeals",0088,235,162,397,678,58.55%,242,132,8,382
"Presiding Judge, Court of Criminal Appeals",0089,344,454,798,1104,72.28%,424,300,21,745
"Presiding Judge, Court of Criminal Appeals",0090,1499,958,2457,3571,68.80%,1718,551,77,2346
"Presiding Judge, Court of Criminal Appeals",0091,466,333,799,1248,64.02%,467,280,26,773
"Presiding Judge, Court of Criminal Appeals",0092,1105,534,1639,2228,73.56%,1066,437,48,1551
"Presiding Judge, Court of Criminal Appeals",0093,782,643,1425,3295,43.25%,511,798,32,1341
"Presiding Judge, Court of Criminal Appeals",0094,148,104,252,537,46.93%,47,184,6,237
"Presiding Judge, Court of Criminal Appeals",0095,1585,571,2357,3179,74.14%,1523,655,70,2248
"Presiding Judge, Court of Criminal Appeals",0096,365,237,602,1241,48.51%,52,525,9,586
"Presiding Judge, Court of Criminal Appeals",0097,2395,764,3159,4566,69.19%,2226,734,71,3031
"Presiding Judge, Court of Criminal Appeals",0098,875,607,1482,2403,61.67%,1175,220,38,1433
"Presiding Judge, Court of Criminal Appeals",0099,568,311,879,2040,43.09%,383,444,21,848
"Presiding Judge, Court of Criminal Appeals",0100,427,324,751,1754,42.82%,322,372,28,722
"Presiding Judge, Court of Criminal Appeals",0101,204,186,390,941,41.45%,84,290,5,379
"Presiding Judge, Court of Criminal Appeals",0102,493,268,761,1910,39.84%,182,543,9,734
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0103,1915,1065,2980,4751,62.72%,1532,1293,49,2874
"Presiding Judge, Court of Criminal Appeals",0104,993,238,1231,1847,66.65%,22,1179,3,1204
"Presiding Judge, Court of Criminal Appeals",0105,462,453,915,2153,42.50%,224,611,15,850
"Presiding Judge, Court of Criminal Appeals",0106,49,37,86,284,30.28%,41,40,1,82
"Presiding Judge, Court of Criminal Appeals",0107,412,441,853,1905,44.78%,135,670,10,815
"Presiding Judge, Court of Criminal Appeals",0108,1194,514,1708,3229,52.90%,878,722,26,1626
"Presiding Judge, Court of Criminal Appeals",0109,1161,430,1591,2884,55.17%,26,1516,6,1548
"Presiding Judge, Court of Criminal Appeals",0110,1465,589,2054,2853,71.99%,1203,725,46,1974
"Presiding Judge, Court of Criminal Appeals",0111,1869,848,2717,3638,74.68%,1941,573,78,2592
"Presiding Judge, Court of Criminal Appeals",0112,1262,668,1930,2894,66.69%,1325,477,66,1868
"Presiding Judge, Court of Criminal Appeals",0113,1125,590,1715,2537,67.60%,944,673,39,1656
"Presiding Judge, Court of Criminal Appeals",0114,1457,546,2003,2650,75.58%,1514,371,47,1932
"Presiding Judge, Court of Criminal Appeals",0115,598,305,903,1764,51.19%,102,762,11,875
"Presiding Judge, Court of Criminal Appeals",0116,1628,747,2375,3014,78.80%,1741,485,45,2271
"Presiding Judge, Court of Criminal Appeals",0117,398,452,860,1878,45.79%,340,449,30,819
"Presiding Judge, Court of Criminal Appeals",0118,460,148,608,743,81.83%,467,107,9,583
"Presiding Judge, Court of Criminal Appeals",0119,1924,1265,3189,4892,65.19%,2451,587,56,3094
"Presiding Judge, Court of Criminal Appeals",0120,1200,632,1832,2986,61.35%,1066,628,45,1739
"Presiding Judge, Court of Criminal Appeals",0121,193,244,437,679,64.36%,280,132,6,418
"Presiding Judge, Court of Criminal Appeals",0122,895,349,1244,2199,56.57%,32,1158,4,1194
"Presiding Judge, Court of Criminal Appeals",0123,441,350,791,1356,58.33%,209,495,39,743
"Presiding Judge, Court of Criminal Appeals",0124,3523,1281,4804,5952,80.71%,3697,838,91,4626
"Presiding Judge, Court of Criminal Appeals",0125,897,534,1431,2281,62.74%,794,541,45,1380
"Presiding Judge, Court of Criminal Appeals",0126,1630,407,2037,2799,72.78%,1708,222,34,1964
"Presiding Judge, Court of Criminal Appeals",0127,854,182,1036,1703,60.83%,695,278,26,999
"Presiding Judge, Court of Criminal Appeals",0128,936,736,1672,2257,74.08%,1001,497,33,1531
"Presiding Judge, Court of Criminal Appeals",0129,2295,1449,3745,5495,68.15%,2202,1238,116,3556
"Presiding Judge, Court of Criminal Appeals",0130,1204,523,1727,2240,77.10%,1217,396,31,1644
"Presiding Judge, Court of Criminal Appeals",0131,607,374,981,1721,57.00%,224,706,13,943
"Presiding Judge, Court of Criminal Appeals",0132,1121,397,1518,2449,61.98%,29,1437,7,1473
"Presiding Judge, Court of Criminal Appeals",0133,1088,940,2028,2605,77.85%,1142,687,57,1886
"Presiding Judge, Court of Criminal Appeals",0134,420,392,812,1444,56.23%,341,403,23,767
"Presiding Judge, Court of Criminal Appeals",0135,1431,634,2065,2750,75.09%,1196,672,68,1936
"Presiding Judge, Court of Criminal Appeals",0136,985,451,1436,2111,68.02%,47,1321,22,1390
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0137,305,193,498,740,67.30%,228,228,12,468
"Presiding Judge, Court of Criminal Appeals",0138,661,259,920,1749,52.60%,19,864,6,889
"Presiding Judge, Court of Criminal Appeals",0139,1297,747,2044,2746,74.44%,907,889,91,1887
"Presiding Judge, Court of Criminal Appeals",0140,1317,683,2000,3104,64.43%,266,1599,37,1902
"Presiding Judge, Court of Criminal Appeals",0141,181,143,324,872,37.16%,190,109,6,305
"Presiding Judge, Court of Criminal Appeals",0142,212,171,383,870,44.02%,102,252,7,361
"Presiding Judge, Court of Criminal Appeals",0143,2999,660,3659,4598,79.58%,2497,978,69,3544
"Presiding Judge, Court of Criminal Appeals",0144,477,204,681,1143,59.58%,8,648,4,660
"Presiding Judge, Court of Criminal Appeals",0145,663,245,908,1580,57.47%,13,879,1,893
"Presiding Judge, Court of Criminal Appeals",0146,759,614,1373,1953,70.30%,552,698,47,1297
"Presiding Judge, Court of Criminal Appeals",0147,1256,485,1741,2813,61.89%,196,1498,14,1708
"Presiding Judge, Court of Criminal Appeals",0148,911,924,1835,2467,74.38%,698,975,48,1721
"Presiding Judge, Court of Criminal Appeals",0149,2866,1322,4188,6103,68.62%,1804,2138,94,4036
"Presiding Judge, Court of Criminal Appeals",0150,539,207,746,1212,61.55%,16,710,3,729
"Presiding Judge, Court of Criminal Appeals",0151,316,148,464,846,54.85%,18,422,1,441
"Presiding Judge, Court of Criminal Appeals",0152,483,602,1085,2701,40.17%,228,782,21,1031
"Presiding Judge, Court of Criminal Appeals",0153,328,437,765,1755,43.59%,187,516,19,722
"Presiding Judge, Court of Criminal Appeals",0154,593,360,953,2133,44.68%,220,633,16,869
"Presiding Judge, Court of Criminal Appeals",0155,1957,834,2791,4087,68.29%,1816,815,48,2679
"Presiding Judge, Court of Criminal Appeals",0156,1428,457,1885,3134,60.15%,47,1746,18,1811
"Presiding Judge, Court of Criminal Appeals",0157,881,382,1263,2311,54.65%,37,1183,10,1230
"Presiding Judge, Court of Criminal Appeals",0158,1304,435,1739,3016,57.66%,33,1664,6,1703
"Presiding Judge, Court of Criminal Appeals",0159,313,187,500,976,51.23%,61,407,10,478
"Presiding Judge, Court of Criminal Appeals",0160,246,140,386,688,56.10%,11,355,2,368
"Presiding Judge, Court of Criminal Appeals",0161,395,190,585,1030,56.80%,8,557,3,568
"Presiding Judge, Court of Criminal Appeals",0162,232,262,494,1249,39.55%,127,309,11,447
"Presiding Judge, Court of Criminal Appeals",0163,778,635,1413,3054,46.27%,400,831,30,1261
"Presiding Judge, Court of Criminal Appeals",0164,505,304,809,1434,56.42%,12,771,2,785
"Presiding Judge, Court of Criminal Appeals",0165,919,557,1476,2284,64.62%,882,483,39,1404
"Presiding Judge, Court of Criminal Appeals",0166,281,311,592,1016,58.27%,187,352,23,562
"Presiding Judge, Court of Criminal Appeals",0167,5,2,7,23,30.43%,0,7,0,7
"Presiding Judge, Court of Criminal Appeals",0168,189,126,315,519,60.69%,7,289,4,300
"Presiding Judge, Court of Criminal Appeals",0169,1060,433,1493,2531,58.99%,18,1442,3,1463
"Presiding Judge, Court of Criminal Appeals",0170,481,353,834,1887,44.20%,386,381,19,786
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sharon Keller,DEM Keith Hampton,LIB Lance Stott,Totals
"Presiding Judge, Court of Criminal Appeals",0171,514,294,808,1613,50.09%,27,743,6,776
"Presiding Judge, Court of Criminal Appeals",0172,161,147,308,600,51.33%,89,180,12,281
"Presiding Judge, Court of Criminal Appeals",0173,1799,619,2418,3105,77.87%,1807,460,58,2325
"Presiding Judge, Court of Criminal Appeals",0174,1554,767,2321,3159,73.47%,1499,630,59,2188
"Presiding Judge, Court of Criminal Appeals",0175,1066,867,1933,2506,77.13%,930,824,51,1805
"Presiding Judge, Court of Criminal Appeals",0176,627,530,1157,1581,73.18%,587,459,26,1072
"Presiding Judge, Court of Criminal Appeals",0177,676,385,1061,1478,71.79%,594,369,45,1008
"Presiding Judge, Court of Criminal Appeals",0178,914,368,1282,1718,74.62%,782,381,36,1199
"Presiding Judge, Court of Criminal Appeals",0179,449,321,770,1508,51.06%,329,362,33,724
"Presiding Judge, Court of Criminal Appeals",0180,966,552,1518,2795,54.31%,32,1412,10,1454
"Presiding Judge, Court of Criminal Appeals",0181,418,514,932,1968,47.36%,265,605,14,884
"Presiding Judge, Court of Criminal Appeals",0182,1326,1081,2407,3289,73.18%,1376,793,59,2228
"Presiding Judge, Court of Criminal Appeals",0183,973,943,1916,2451,78.17%,1181,581,41,1803
"Presiding Judge, Court of Criminal Appeals",0184,214,256,470,969,48.50%,132,293,9,434
"Presiding Judge, Court of Criminal Appeals",0185,593,494,1087,1910,56.91%,339,671,15,1025
"Presiding Judge, Court of Criminal Appeals",0186,204,170,374,795,47.04%,38,305,5,348
"Presiding Judge, Court of Criminal Appeals",0187,48,65,113,309,36.57%,26,80,4,110
"Presiding Judge, Court of Criminal Appeals",0188,307,378,685,1616,42.39%,240,405,12,657
"Presiding Judge, Court of Criminal Appeals",0189,493,473,966,1453,66.48%,482,377,38,897
"Presiding Judge, Court of Criminal Appeals",0190,275,401,676,1720,39.30%,230,395,15,640
"Presiding Judge, Court of Criminal Appeals",0191,197,313,510,1391,36.66%,173,308,6,487
"Presiding Judge, Court of Criminal Appeals",0192,746,332,1078,2045,52.71%,35,997,7,1039
"Presiding Judge, Court of Criminal Appeals",0193,341,269,610,1050,58.10%,12,576,6,594
"Presiding Judge, Court of Criminal Appeals",0194,709,504,1213,1735,69.91%,321,780,45,1146
"Presiding Judge, Court of Criminal Appeals",0195,539,419,958,1721,55.67%,26,887,14,927
"Presiding Judge, Court of Criminal Appeals",0196,121,55,176,323,54.49%,9,159,3,171
"Presiding Judge, Court of Criminal Appeals",0197,1109,497,1606,2895,55.47%,28,1522,12,1562
"Presiding Judge, Court of Criminal Appeals",0198,143,158,301,657,45.81%,4,286,2,292
"Presiding Judge, Court of Criminal Appeals",0199,1408,773,2181,3159,69.04%,1581,454,70,2105
"Presiding Judge, Court of Criminal Appeals",0200,1643,585,2228,3222,69.15%,969,1027,84,2080
