Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
"Northampton M.U.D., PROPOSITION 4",0452,3,4,7,14,50.00%,2,0,2
"Northampton M.U.D., PROPOSITION 4",0735,2,0,2,0,0.00%,2,0,2
