Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0074,2212,530,2742,3632,75.50%,2087,471,57,2615
County Tax Assessor-Collector,0075,481,370,851,1329,64.03%,331,431,35,797
County Tax Assessor-Collector,0076,814,559,1383,2328,59.41%,744,550,22,1316
County Tax Assessor-Collector,0077,168,81,249,565,44.07%,51,178,5,234
County Tax Assessor-Collector,0078,359,344,703,1479,47.53%,195,430,15,640
County Tax Assessor-Collector,0079,511,717,1228,2959,41.50%,214,903,20,1137
County Tax Assessor-Collector,0080,1159,481,1640,2712,60.47%,333,1211,22,1566
County Tax Assessor-Collector,0081,540,309,849,1839,46.17%,254,526,13,793
County Tax Assessor-Collector,0082,1353,816,2169,3284,66.05%,1569,478,52,2099
County Tax Assessor-Collector,0083,2525,1181,3806,5598,67.99%,1746,1853,85,3684
County Tax Assessor-Collector,0084,444,346,790,1389,56.88%,537,205,20,762
County Tax Assessor-Collector,0085,730,548,1278,2079,61.47%,24,1184,15,1223
County Tax Assessor-Collector,0086,1054,689,1743,2637,66.10%,769,798,72,1639
County Tax Assessor-Collector,0087,1222,861,2083,2749,75.77%,1335,554,46,1935
County Tax Assessor-Collector,0088,235,162,397,678,58.55%,252,124,11,387
County Tax Assessor-Collector,0089,342,454,796,1104,72.10%,455,256,25,736
County Tax Assessor-Collector,0090,1498,958,2456,3571,68.78%,1770,508,79,2357
County Tax Assessor-Collector,0091,466,333,799,1248,64.02%,461,283,33,777
County Tax Assessor-Collector,0092,1105,534,1639,2228,73.56%,1114,417,39,1570
County Tax Assessor-Collector,0093,782,643,1425,3295,43.25%,491,832,24,1347
County Tax Assessor-Collector,0094,148,104,252,537,46.93%,50,184,5,239
County Tax Assessor-Collector,0095,1584,571,2355,3179,74.08%,1579,592,76,2247
County Tax Assessor-Collector,0096,364,237,601,1241,48.43%,55,521,7,583
County Tax Assessor-Collector,0097,2393,764,3157,4566,69.14%,2251,719,67,3037
County Tax Assessor-Collector,0098,874,607,1481,2403,61.63%,1168,220,44,1432
County Tax Assessor-Collector,0099,568,311,879,2040,43.09%,379,450,16,845
County Tax Assessor-Collector,0100,427,324,751,1754,42.82%,315,398,16,729
County Tax Assessor-Collector,0101,203,186,389,941,41.34%,83,292,4,379
County Tax Assessor-Collector,0102,493,268,761,1910,39.84%,184,541,11,736
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0103,1915,1065,2980,4751,62.72%,1522,1306,51,2879
County Tax Assessor-Collector,0104,992,238,1230,1847,66.59%,23,1173,4,1200
County Tax Assessor-Collector,0105,462,453,915,2153,42.50%,214,629,13,856
County Tax Assessor-Collector,0106,49,37,86,284,30.28%,38,40,3,81
County Tax Assessor-Collector,0107,412,441,853,1905,44.78%,129,681,9,819
County Tax Assessor-Collector,0108,1193,514,1707,3229,52.86%,869,736,29,1634
County Tax Assessor-Collector,0109,1160,430,1590,2884,55.13%,25,1514,7,1546
County Tax Assessor-Collector,0110,1465,589,2054,2853,71.99%,1209,711,53,1973
County Tax Assessor-Collector,0111,1868,848,2716,3638,74.66%,1945,575,75,2595
County Tax Assessor-Collector,0112,1262,668,1930,2894,66.69%,1308,500,63,1871
County Tax Assessor-Collector,0113,1125,590,1715,2537,67.60%,951,664,34,1649
County Tax Assessor-Collector,0114,1454,546,2000,2650,75.47%,1511,381,42,1934
County Tax Assessor-Collector,0115,598,305,903,1764,51.19%,97,770,11,878
County Tax Assessor-Collector,0116,1626,747,2373,3014,78.73%,1810,433,45,2288
County Tax Assessor-Collector,0117,398,462,860,1878,45.79%,340,462,21,823
County Tax Assessor-Collector,0118,460,148,608,743,81.83%,482,88,10,580
County Tax Assessor-Collector,0119,1924,1265,3189,4892,65.19%,2452,590,65,3107
County Tax Assessor-Collector,0120,1197,632,1829,2986,61.25%,1086,621,40,1747
County Tax Assessor-Collector,0121,193,244,437,679,64.36%,280,129,11,420
County Tax Assessor-Collector,0122,895,349,1244,2199,56.57%,37,1156,9,1202
County Tax Assessor-Collector,0123,440,350,790,1356,58.26%,221,483,33,737
County Tax Assessor-Collector,0124,3522,1281,4803,5952,80.70%,3714,821,101,4636
County Tax Assessor-Collector,0125,896,534,1430,2281,62.69%,803,541,42,1386
County Tax Assessor-Collector,0126,1630,407,2037,2799,72.78%,1708,224,34,1966
County Tax Assessor-Collector,0127,854,182,1036,1703,60.83%,704,276,17,997
County Tax Assessor-Collector,0128,936,736,1672,2257,74.08%,1074,444,30,1548
County Tax Assessor-Collector,0129,2294,1449,3743,5495,68.12%,2274,1175,122,3571
County Tax Assessor-Collector,0130,1201,523,1724,2240,76.96%,1294,326,29,1649
County Tax Assessor-Collector,0131,604,374,978,1721,56.83%,223,707,11,941
County Tax Assessor-Collector,0132,1119,397,1516,2449,61.90%,27,1433,10,1470
County Tax Assessor-Collector,0133,1083,940,2023,2605,77.66%,1205,627,69,1901
County Tax Assessor-Collector,0134,419,392,811,1444,56.16%,343,404,26,773
County Tax Assessor-Collector,0135,1424,634,2058,2750,74.84%,1309,560,68,1937
County Tax Assessor-Collector,0136,981,451,1432,2111,67.84%,45,1319,23,1387
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0137,305,193,498,740,67.30%,254,200,12,466
County Tax Assessor-Collector,0138,661,259,920,1749,52.60%,19,867,4,890
County Tax Assessor-Collector,0139,1290,747,2037,2746,74.18%,981,846,73,1900
County Tax Assessor-Collector,0140,1311,683,1994,3104,64.24%,285,1567,42,1894
County Tax Assessor-Collector,0141,181,143,324,872,37.16%,190,109,3,302
County Tax Assessor-Collector,0142,212,171,383,870,44.02%,91,262,8,361
County Tax Assessor-Collector,0143,2993,660,3653,4598,79.45%,2494,979,69,3542
County Tax Assessor-Collector,0144,476,204,680,1143,59.49%,6,651,3,660
County Tax Assessor-Collector,0145,663,245,908,1580,57.47%,12,874,3,889
County Tax Assessor-Collector,0146,759,614,1373,1953,70.30%,611,646,44,1301
County Tax Assessor-Collector,0147,1255,485,1740,2813,61.86%,196,1485,22,1703
County Tax Assessor-Collector,0148,908,924,1832,2467,74.26%,808,868,43,1719
County Tax Assessor-Collector,0149,2859,1322,4181,6103,68.51%,1774,2168,106,4048
County Tax Assessor-Collector,0150,539,207,746,1212,61.55%,17,707,5,729
County Tax Assessor-Collector,0151,316,148,464,846,54.85%,20,419,3,442
County Tax Assessor-Collector,0152,483,602,1085,2701,40.17%,224,782,29,1035
County Tax Assessor-Collector,0153,328,437,765,1755,43.59%,185,519,12,716
County Tax Assessor-Collector,0154,593,360,953,2133,44.68%,199,647,21,867
County Tax Assessor-Collector,0155,1957,834,2791,4087,68.29%,1853,768,53,2674
County Tax Assessor-Collector,0156,1427,457,1884,3134,60.11%,51,1741,21,1813
County Tax Assessor-Collector,0157,881,382,1263,2311,54.65%,40,1182,8,1230
County Tax Assessor-Collector,0158,1304,435,1739,3016,57.66%,25,1671,3,1699
County Tax Assessor-Collector,0159,313,187,500,976,51.23%,63,408,7,478
County Tax Assessor-Collector,0160,246,140,386,688,56.10%,8,363,2,373
County Tax Assessor-Collector,0161,395,190,585,1030,56.80%,9,557,0,566
County Tax Assessor-Collector,0162,232,262,494,1249,39.55%,134,306,11,451
County Tax Assessor-Collector,0163,778,635,1413,3054,46.27%,370,875,24,1269
County Tax Assessor-Collector,0164,505,304,809,1434,56.42%,10,777,2,789
County Tax Assessor-Collector,0165,918,557,1475,2284,64.58%,921,458,41,1420
County Tax Assessor-Collector,0166,281,311,592,1016,58.27%,187,350,27,564
County Tax Assessor-Collector,0167,5,2,7,23,30.43%,0,7,0,7
County Tax Assessor-Collector,0168,188,126,314,519,60.50%,6,290,4,300
County Tax Assessor-Collector,0169,1059,433,1492,2531,58.95%,18,1436,9,1463
County Tax Assessor-Collector,0170,481,353,834,1887,44.20%,384,382,17,783
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0171,514,294,808,1613,50.09%,28,747,7,782
County Tax Assessor-Collector,0172,161,147,308,600,51.33%,101,175,8,284
County Tax Assessor-Collector,0173,1798,619,2417,3105,77.84%,1816,462,55,2333
County Tax Assessor-Collector,0174,1554,767,2321,3159,73.47%,1572,578,56,2206
County Tax Assessor-Collector,0175,1064,867,1931,2506,77.06%,1020,748,43,1811
County Tax Assessor-Collector,0176,626,530,1156,1581,73.12%,631,417,31,1079
County Tax Assessor-Collector,0177,672,385,1057,1478,71.52%,638,336,28,1002
County Tax Assessor-Collector,0178,913,368,1281,1718,74.56%,864,321,27,1212
County Tax Assessor-Collector,0179,449,321,770,1508,51.06%,328,370,35,733
County Tax Assessor-Collector,0180,966,552,1518,2795,54.31%,36,1410,12,1458
County Tax Assessor-Collector,0181,416,514,930,1968,47.26%,246,611,20,877
County Tax Assessor-Collector,0182,1321,1081,2402,3289,73.03%,1430,737,60,2227
