Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0322,397,237,634,1322,47.96%,159,444,13,616
County Tax Assessor-Collector,0323,482,332,814,1719,47.35%,327,411,24,762
County Tax Assessor-Collector,0324,967,718,1685,2339,72.04%,1076,478,39,1593
County Tax Assessor-Collector,0325,656,397,1053,2251,46.78%,227,769,16,1012
County Tax Assessor-Collector,0326,202,128,330,678,48.67%,127,166,11,304
County Tax Assessor-Collector,0327,725,244,970,1751,55.40%,12,926,2,940
County Tax Assessor-Collector,0328,344,270,614,1361,45.11%,219,357,14,590
County Tax Assessor-Collector,0329,405,307,712,1367,52.08%,218,441,15,674
County Tax Assessor-Collector,0330,590,376,966,1849,52.24%,415,464,35,914
County Tax Assessor-Collector,0331,0,1,1,0,0.00%,1,0,0,1
County Tax Assessor-Collector,0332,23,4,27,128,21.09%,12,15,0,27
County Tax Assessor-Collector,0333,1018,939,1957,2901,67.46%,1353,455,69,1877
County Tax Assessor-Collector,0334,255,114,369,755,48.87%,71,283,5,359
County Tax Assessor-Collector,0335,285,246,531,1227,43.28%,151,319,15,485
County Tax Assessor-Collector,0336,1818,588,2406,3161,76.12%,201,2103,33,2337
County Tax Assessor-Collector,0337,309,207,516,951,54.26%,81,416,5,502
County Tax Assessor-Collector,0338,1540,824,2364,4673,50.59%,630,1572,36,2238
County Tax Assessor-Collector,0339,369,373,742,1716,43.24%,148,523,17,688
County Tax Assessor-Collector,0340,1778,833,2611,3717,70.24%,1895,522,91,2508
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0341,246,316,562,1248,45.03%,128,396,15,539
County Tax Assessor-Collector,0342,2029,1113,3142,5718,54.95%,402,2617,39,3058
County Tax Assessor-Collector,0343,436,483,919,1904,48.27%,216,603,26,845
County Tax Assessor-Collector,0344,395,245,640,1207,53.02%,20,594,3,617
County Tax Assessor-Collector,0345,428,357,785,1708,45.96%,159,563,24,746
County Tax Assessor-Collector,0346,1,2,3,1,300.00%,3,0,0,3
County Tax Assessor-Collector,0347,1250,614,1864,3299,56.50%,1109,641,46,1796
County Tax Assessor-Collector,0348,751,280,1031,1740,59.25%,723,253,16,992
County Tax Assessor-Collector,0349,405,407,812,1315,61.75%,449,291,33,773
County Tax Assessor-Collector,0350,1112,780,1892,2906,65.11%,757,950,60,1767
County Tax Assessor-Collector,0351,2495,793,3288,4537,72.47%,2574,554,75,3203
County Tax Assessor-Collector,0352,1151,583,1734,3193,54.31%,1157,471,47,1675
County Tax Assessor-Collector,0353,1544,703,2247,3697,60.78%,364,1794,17,2175
County Tax Assessor-Collector,0354,1476,517,1993,3193,62.42%,431,1457,25,1913
County Tax Assessor-Collector,0355,700,286,986,1384,71.24%,86,864,12,962
County Tax Assessor-Collector,0356,1382,618,2000,2836,70.52%,1143,701,63,1907
County Tax Assessor-Collector,0357,1633,709,2342,3371,69.47%,1688,487,90,2265
County Tax Assessor-Collector,0358,740,464,1204,2297,52.42%,88,1065,14,1167
County Tax Assessor-Collector,0359,706,482,1188,3008,39.49%,88,1046,14,1148
County Tax Assessor-Collector,0360,969,515,1484,2190,67.76%,798,529,39,1366
County Tax Assessor-Collector,0361,135,691,826,1585,52.11%,143,525,44,712
County Tax Assessor-Collector,0362,2131,1200,3331,4952,67.27%,2338,789,78,3205
County Tax Assessor-Collector,0363,1346,687,2033,3291,61.77%,867,1074,36,1977
County Tax Assessor-Collector,0364,912,602,1514,2539,59.63%,750,668,37,1455
County Tax Assessor-Collector,0365,734,245,979,1302,75.19%,74,861,10,945
County Tax Assessor-Collector,0366,638,466,1104,2089,52.85%,227,828,13,1068
County Tax Assessor-Collector,0367,328,212,540,1019,52.99%,85,427,12,524
County Tax Assessor-Collector,0368,418,143,561,929,60.39%,143,399,3,545
County Tax Assessor-Collector,0369,107,53,160,490,32.65%,58,91,7,156
County Tax Assessor-Collector,0370,3143,1178,4321,5781,74.74%,3177,897,100,4174
County Tax Assessor-Collector,0371,226,69,295,475,62.11%,6,281,1,288
County Tax Assessor-Collector,0372,498,231,729,1215,60.00%,78,620,4,702
County Tax Assessor-Collector,0373,61,16,77,159,48.43%,0,74,1,75
County Tax Assessor-Collector,0374,139,187,326,748,43.58%,86,215,6,307
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0375,577,524,1101,2607,42.23%,425,610,19,1054
County Tax Assessor-Collector,0376,529,334,963,1916,50.26%,381,513,11,905
County Tax Assessor-Collector,0377,1055,707,1762,2871,61.37%,1275,353,54,1682
County Tax Assessor-Collector,0378,559,521,1080,1777,60.78%,652,356,37,1045
County Tax Assessor-Collector,0379,800,338,1138,2017,56.42%,81,1000,16,1097
County Tax Assessor-Collector,0380,2500,1183,3683,4753,77.49%,2031,1429,85,3545
County Tax Assessor-Collector,0381,957,424,1381,2715,50.87%,545,763,22,1330
County Tax Assessor-Collector,0382,275,231,507,841,60.29%,343,132,14,489
County Tax Assessor-Collector,0383,599,493,1092,2076,52.60%,316,715,24,1055
County Tax Assessor-Collector,0384,1172,505,1677,2596,64.60%,335,1279,12,1626
County Tax Assessor-Collector,0385,1099,621,1720,2175,79.08%,1308,290,34,1632
County Tax Assessor-Collector,0386,1464,460,1924,2872,66.99%,1344,490,31,1865
County Tax Assessor-Collector,0387,1369,802,2171,3727,58.25%,1443,611,31,2085
County Tax Assessor-Collector,0388,2780,1222,4002,5329,75.10%,2176,1607,81,3864
County Tax Assessor-Collector,0389,283,251,544,975,55.79%,80,394,33,507
County Tax Assessor-Collector,0390,644,368,1012,1565,64.66%,114,836,24,974
County Tax Assessor-Collector,0391,856,355,1211,1805,67.09%,763,366,36,1165
County Tax Assessor-Collector,0392,737,197,934,1441,64.82%,8,903,5,916
County Tax Assessor-Collector,0393,346,318,664,1206,55.06%,273,330,26,629
County Tax Assessor-Collector,0394,166,176,342,860,39.77%,129,189,8,326
County Tax Assessor-Collector,0395,830,491,1321,1820,72.58%,896,320,51,1267
County Tax Assessor-Collector,0396,1157,219,1376,2073,66.38%,11,1323,7,1341
County Tax Assessor-Collector,0397,163,148,311,750,41.47%,113,172,4,289
County Tax Assessor-Collector,0398,1438,840,2278,3816,59.70%,1074,1068,52,2194
County Tax Assessor-Collector,0399,896,593,1489,2542,58.58%,701,714,28,1443
County Tax Assessor-Collector,0400,1048,506,1554,2238,69.44%,1097,359,38,1494
County Tax Assessor-Collector,0401,723,284,1007,1876,53.68%,40,933,14,987
County Tax Assessor-Collector,0402,891,245,1136,1737,65.40%,49,1055,4,1108
County Tax Assessor-Collector,0403,791,527,1318,1703,77.39%,742,455,29,1226
County Tax Assessor-Collector,0404,778,552,1330,2589,51.37%,652,594,28,1274
County Tax Assessor-Collector,0405,0,1,1,0,0.00%,0,1,0,1
County Tax Assessor-Collector,0406,281,72,353,610,57.87%,5,330,2,337
County Tax Assessor-Collector,0407,1317,1000,2317,3652,63.44%,1424,713,65,2202
County Tax Assessor-Collector,0408,154,179,333,933,35.69%,135,174,4,313
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0409,277,289,566,1371,41.28%,164,364,9,537
County Tax Assessor-Collector,0410,337,102,439,849,51.71%,77,348,1,426
County Tax Assessor-Collector,0411,542,462,1004,2302,43.61%,277,657,10,944
County Tax Assessor-Collector,0412,193,74,267,433,61.66%,10,250,0,260
County Tax Assessor-Collector,0413,1493,525,2018,3023,66.75%,741,1167,21,1929
County Tax Assessor-Collector,0414,1452,593,2045,3457,59.16%,1416,477,45,1938
County Tax Assessor-Collector,0415,950,633,1583,2124,74.53%,1071,396,45,1512
County Tax Assessor-Collector,0416,1174,916,2090,3582,58.35%,1025,889,77,1991
County Tax Assessor-Collector,0417,777,619,1396,2465,56.63%,599,704,34,1337
County Tax Assessor-Collector,0418,1057,758,1815,3420,53.07%,658,1058,29,1745
County Tax Assessor-Collector,0419,1006,578,1584,2697,58.73%,991,511,31,1533
County Tax Assessor-Collector,0420,2174,1089,3263,4639,70.34%,2566,490,75,3131
County Tax Assessor-Collector,0421,124,92,216,467,46.25%,46,160,2,208
County Tax Assessor-Collector,0422,1456,585,2041,3345,61.02%,38,1946,13,1997
County Tax Assessor-Collector,0423,190,309,499,894,55.82%,198,267,7,472
County Tax Assessor-Collector,0424,435,1,57,592,888,66.67%,328,227,24,579
County Tax Assessor-Collector,0425,227,234,461,875,52.69%,142,282,15,439
County Tax Assessor-Collector,0426,415,283,698,1224,57.03%,389,248,11,648
County Tax Assessor-Collector,0427,325,249,574,1115,51.48%,201,322,13,536
County Tax Assessor-Collector,0428,1284,907,2191,4316,50.76%,617,1412,27,2056
County Tax Assessor-Collector,0429,1,1091,777,1868,3929,47.54%,332,1383,28,1743
County Tax Assessor-Collector,0430,403,335,738,1654,44.62%,147,523,16,686
County Tax Assessor-Collector,0431,819,403,1222,3188,38.33%,295,816,40,1151
County Tax Assessor-Collector,0432,311,271,582,1344,43.30%,151,375,28,554
County Tax Assessor-Collector,0433,139,106,245,573,42.76%,40,188,4,232
County Tax Assessor-Collector,0434,628,371,999,1386,72.08%,627,288,31,946
County Tax Assessor-Collector,0435,1534,768,2302,3097,74.33%,1495,624,60,2179
County Tax Assessor-Collector,0436,1334,709,2043,3012,67.83%,1207,672,58,1937
County Tax Assessor-Collector,0437,951,542,1493,2007,74.39%,1039,342,45,1426
County Tax Assessor-Collector,0438,1046,387,1433,1802,79.52%,1078,250,25,1353
County Tax Assessor-Collector,0439,1526,905,2431,3416,71.17%,1707,534,64,2305
County Tax Assessor-Collector,0440,1326,876,2202,2867,76.81%,1730,305,36,2071
County Tax Assessor-Collector,0441,698,513,1211,1616,74.94%,885,247,26,1158
County Tax Assessor-Collector,0442,1366,513,1879,2504,75.04%,1506,270,34,1810
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0443,335,148,483,605,79.83%,346,96,20,462
County Tax Assessor-Collector,0444,1258,731,1989,3172,62.70%,1159,672,63,1894
County Tax Assessor-Collector,0445,860,443,1303,1938,67.23%,802,412,35,1249
County Tax Assessor-Collector,0446,70,52,122,268,45.52%,46,66,4,116
County Tax Assessor-Collector,0447,271,108,379,583,65.01%,113,225,16,354
County Tax Assessor-Collector,0448,1239,869,2108,3081,68.42%,1203,699,83,1985
County Tax Assessor-Collector,0449,62,37,99,164,60.37%,11,81,0,92
County Tax Assessor-Collector,0450,856,537,1393,2622,53.13%,335,975,35,1345
County Tax Assessor-Collector,0451,1575,515,2090,2674,78.16%,1680,313,33,2026
County Tax Assessor-Collector,0452,1109,639,1748,2810,62.21%,1243,412,47,1702
County Tax Assessor-Collector,0453,559,475,1034,1885,54.85%,331,628,18,977
County Tax Assessor-Collector,0454,1226,311,1537,2571,59.78%,13,1475,9,1497
County Tax Assessor-Collector,0455,748,216,964,1679,57.42%,23,906,5,934
County Tax Assessor-Collector,0456,1266,593,1859,3350,55.49%,939,788,40,1767
County Tax Assessor-Collector,0457,0,0,0,0,0.00%,0,0,0,0
County Tax Assessor-Collector,0458,908,271,1179,1893,62.28%,42,1096,9,1147
County Tax Assessor-Collector,0459,1637,476,2113,2950,71.63%,1645,342,51,2038
County Tax Assessor-Collector,0460,1250,402,1652,2346,70.42%,413,1170,20,1603
County Tax Assessor-Collector,0461,1958,828,2786,3733,74.63%,1818,761,55,2634
County Tax Assessor-Collector,0462,1318,865,2183,3367,64.84%,761,1267,41,2069
County Tax Assessor-Collector,0463,1124,656,1780,2962,60.09%,675,985,56,1716
County Tax Assessor-Collector,0464,786,612,1398,2126,65.76%,922,377,49,1348
County Tax Assessor-Collector,0465,1465,702,2167,3343,64.82%,1105,960,47,2112
County Tax Assessor-Collector,0466,2052,729,2781,4072,68.30%,1505,1151,46,2702
County Tax Assessor-Collector,0467,478,229,707,1230,57.48%,159,513,6,678
County Tax Assessor-Collector,0468,984,793,1777,3354,52.98%,476,1187,27,1690
County Tax Assessor-Collector,0469,2039,638,2677,3779,70.84%,2048,467,62,2577
County Tax Assessor-Collector,0470,443,323,766,1349,56.78%,513,191,24,728
County Tax Assessor-Collector,0471,792,597,1389,2349,59.13%,1023,288,36,1347
County Tax Assessor-Collector,0472,370,337,707,1027,68.84%,325,300,23,648
County Tax Assessor-Collector,0473,914,442,1356,1827,74.22%,947,327,26,1300
County Tax Assessor-Collector,0474,1146,766,1912,3006,63.61%,1268,507,57,1832
County Tax Assessor-Collector,0475,485,473,958,1651,58.03%,401,481,26,908
County Tax Assessor-Collector,0476,809,658,1467,2412,60.82%,836,557,29,1422
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0477,1441,742,2183,3195,68.33%,1569,489,51,2109
County Tax Assessor-Collector,0478,1959,898,2857,4150,68.84%,1803,849,92,2744
County Tax Assessor-Collector,0479,1298,588,1886,2648,71.22%,1336,432,57,1825
County Tax Assessor-Collector,0480,935,555,1491,2267,65.77%,1003,381,38,1422
County Tax Assessor-Collector,0481,1463,852,2315,3298,70.19%,1656,508,64,2228
County Tax Assessor-Collector,0482,1963,836,2799,4129,67.79%,1856,787,68,2711
County Tax Assessor-Collector,0483,1868,759,2627,4141,63.44%,1352,1088,86,2526
County Tax Assessor-Collector,0484,2236,1008,3244,4594,70.61%,2251,814,78,3143
County Tax Assessor-Collector,0485,2421,990,3411,4838,70.50%,2432,777,98,3307
County Tax Assessor-Collector,0486,1843,805,2648,3572,74.13%,1999,497,66,2562
County Tax Assessor-Collector,0487,1005,612,1617,3318,48.73%,448,1037,15,1500
County Tax Assessor-Collector,0488,580,440,1020,1713,59.54%,324,611,20,955
County Tax Assessor-Collector,0489,783,378,1161,1823,63.69%,329,757,20,1106
County Tax Assessor-Collector,0490,876,439,1315,1944,67.64%,467,768,22,1257
County Tax Assessor-Collector,0491,557,489,1156,1782,64.87%,657,396,48,1101
County Tax Assessor-Collector,0492,1069,504,1573,2351,66.91%,822,641,36,1499
County Tax Assessor-Collector,0493,858,400,1258,1804,69.73%,795,369,39,1203
County Tax Assessor-Collector,0494,760,431,1191,2176,54.73%,134,1017,11,1162
County Tax Assessor-Collector,0495,1120,494,1614,2284,70.67%,1107,397,31,1535
County Tax Assessor-Collector,0496,496,571,1067,2086,51.15%,381,617,20,1018
County Tax Assessor-Collector,0497,1123,303,1426,2226,64.06%,55,1317,7,1379
County Tax Assessor-Collector,0498,759,499,1258,2123,59.26%,490,674,44,1208
County Tax Assessor-Collector,0499,1301,517,1818,2304,78.91%,1318,383,40,1741
County Tax Assessor-Collector,0500,1507,746,2253,3175,70.96%,1494,619,54,2167
County Tax Assessor-Collector,0501,653,487,1140,1647,69.22%,412,590,62,1064
County Tax Assessor-Collector,0502,1150,332,1482,2364,62.69%,1107,295,22,1424
County Tax Assessor-Collector,0503,359,273,632,1363,46.37%,186,384,17,587
County Tax Assessor-Collector,0504,1129,538,1667,2197,75.88%,1078,482,52,1612
County Tax Assessor-Collector,0505,1209,829,2038,3654,55.77%,869,999,74,1942
County Tax Assessor-Collector,0506,1470,801,2271,3380,67.19%,357,1827,20,2204
County Tax Assessor-Collector,0507,582,385,967,2435,39.71%,135,681,23,839
County Tax Assessor-Collector,0508,946,760,1706,3248,52.52%,519,1030,28,1577
County Tax Assessor-Collector,0509,1340,864,2204,3536,62.33%,1490,570,62,2122
County Tax Assessor-Collector,0510,1492,582,2174,3511,61.92%,956,1076,56,2088
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0511,0,8,8,0,0.00%,1,5,0,8
County Tax Assessor-Collector,0512,1558,1127,2885,4582,58.80%,1147,1389,78,2592
County Tax Assessor-Collector,0513,1805,507,2112,2752,78.74%,1579,415,48,2042
County Tax Assessor-Collector,0514,1988,880,2828,3941,71.71%,2003,854,77,2734
County Tax Assessor-Collector,0515,1892,708,2400,3173,75.84%,1873,393,42,2308
County Tax Assessor-Collector,0518,2179,1088,3245,4934,85.77%,1534,1493,79,3108
County Tax Assessor-Collector,0517,1208,853,1881,3320,58.05%,922,810,51,1783
County Tax Assessor-Collector,0518,1478,919,2397,3755,83.83%,1450,781,83,2294
County Tax Assessor-Collector,0519,1234,845,1879,2951,83.87%,1310,452,58,1820
County Tax Assessor-Collector,0520,1542,857,2399,4084,59.03%,384,1933,27,2324
County Tax Assessor-Collector,0521,1011,894,1705,2725,82.57%,830,778,29,1837
County Tax Assessor-Collector,0522,1171,858,1829,2882,88.20%,1312,394,55,1781
County Tax Assessor-Collector,0523,1338,889,2027,3080,88.24%,1308,555,87,1928
County Tax Assessor-Collector,0524,1237,875,1912,3292,58.08%,538,1288,38,1838
County Tax Assessor-Collector,0525,1380,810,1990,2947,87.53%,387,1497,28,1912
County Tax Assessor-Collector,0528,187,171,338,731,48.24%,84,230,7,321
County Tax Assessor-Collector,0527,80,24,104,589,18.28%,45,53,2,100
County Tax Assessor-Collector,0528,38,12,48,92,52.17%,2,44,2,48
County Tax Assessor-Collector,0529,1987,441,2428,3818,87.15%,1984,315,85,2344
County Tax Assessor-Collector,0530,259,235,494,1198,41.30%,99,382,2,483
County Tax Assessor-Collector,0531,872,113,785,1094,71.78%,801,143,11,755
County Tax Assessor-Collector,0532,452,184,838,1039,81.21%,419,187,10,818
County Tax Assessor-Collector,0533,317,207,524,1089,49.02%,255,232,12,499
County Tax Assessor-Collector,0534,1858,875,2333,3795,81.48%,1827,573,53,2253
County Tax Assessor-Collector,0535,80,94,174,421,41.33%,53,108,7,188
County Tax Assessor-Collector,0538,1332,1195,2527,4578,55.22%,910,1475,40,2425
County Tax Assessor-Collector,0537,1454,823,2277,2971,78.84%,1839,509,42,2190
County Tax Assessor-Collector,0538,433,237,870,1282,52.28%,15,834,2,851
County Tax Assessor-Collector,0539,28,209,235,71,330.99%,42,187,8,217
County Tax Assessor-Collector,0540,888,380,1048,1491,70.15%,480,474,38,970
County Tax Assessor-Collector,0541,1824,779,2803,4183,82.23%,328,2111,59,2498
County Tax Assessor-Collector,0542,997,501,1498,2525,59.33%,77,1372,14,1483
County Tax Assessor-Collector,0543,287,378,885,1528,43.52%,191,431,9,831
County Tax Assessor-Collector,0544,92,53,145,318,45.80%,18,124,1,141
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0545,1314,857,2171,3339,65.02%,1009,1023,50,2082
County Tax Assessor-Collector,0546,4,4,8,30,26.67%,2,6,0,8
County Tax Assessor-Collector,0547,877,647,1524,2408,63.29%,993,431,42,1466
County Tax Assessor-Collector,0548,720,476,1196,2129,56.18%,515,614,20,1149
County Tax Assessor-Collector,0549,944,586,1530,2530,60.47%,199,1255,30,1484
County Tax Assessor-Collector,0550,1134,629,1763,2847,61.92%,841,833,41,1715
County Tax Assessor-Collector,0551,3088,1527,4615,6135,75.22%,3270,1078,96,4444
County Tax Assessor-Collector,0552,1521,844,2465,3241,76.06%,1981,353,55,2389
County Tax Assessor-Collector,0553,1465,951,2416,4355,55.48%,968,1311,49,2328
County Tax Assessor-Collector,0554,562,340,902,1731,52.11%,138,697,12,847
County Tax Assessor-Collector,0555,597,447,1044,2119,49.27%,163,822,14,999
County Tax Assessor-Collector,0556,584,421,1005,2249,44.69%,206,742,12,960
County Tax Assessor-Collector,0557,822,556,1378,2726,50.55%,428,827,22,1277
County Tax Assessor-Collector,0558,1588,824,2412,4084,59.06%,730,1524,58,2312
County Tax Assessor-Collector,0559,1787,899,2686,4633,57.98%,593,1891,79,2563
County Tax Assessor-Collector,0560,172,289,461,1176,39.20%,82,335,13,430
County Tax Assessor-Collector,0561,837,759,1596,3033,52.62%,842,649,30,1521
County Tax Assessor-Collector,0562,201,146,347,645,53.80%,23,308,2,333
County Tax Assessor-Collector,0563,1699,415,2114,2969,71.20%,1615,383,47,2045
County Tax Assessor-Collector,0564,1150,713,1863,3096,60.17%,470,1215,62,1747
County Tax Assessor-Collector,0565,315,194,509,1373,37.07%,87,378,9,474
County Tax Assessor-Collector,0566,1122,478,1600,2950,54.24%,403,1099,43,1545
County Tax Assessor-Collector,0567,672,394,1066,2198,48.50%,270,690,20,980
County Tax Assessor-Collector,0568,1628,837,2465,3487,70.69%,1593,677,74,2344
County Tax Assessor-Collector,0569,1294,865,2159,3249,66.45%,1145,825,71,2041
County Tax Assessor-Collector,0570,525,409,934,1473,63.41%,392,425,50,867
County Tax Assessor-Collector,0571,333,312,645,1758,36.69%,191,404,7,602
County Tax Assessor-Collector,0572,1283,574,1857,2998,61.94%,831,890,59,1780
County Tax Assessor-Collector,0573,577,368,945,1618,58.41%,11,907,3,921
County Tax Assessor-Collector,0574,98,79,177,391,45.27%,16,149,2,167
County Tax Assessor-Collector,0575,27,9,36,79,45.57%,31,2,2,35
County Tax Assessor-Collector,0576,1050,552,1602,2671,59.98%,44,1504,9,1557
County Tax Assessor-Collector,0577,231,113,344,573,60.03%,181,139,10,330
County Tax Assessor-Collector,0578,745,553,1298,1689,76.85%,796,386,42,1224
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0579,487,351,838,1808,48.40%,181,810,11,802
County Tax Assessor-Collector,0580,429,148,575,1027,55.99%,12,548,2,580
County Tax Assessor-Collector,0581,510,182,872,1041,84.55%,14,831,3,848
County Tax Assessor-Collector,0582,814,258,870,1813,53.94%,43,794,8,843
County Tax Assessor-Collector,0583,544,127,871,1248,53.77%,15,833,8,854
County Tax Assessor-Collector,0584,392,139,531,971,54.89%,30,490,8,528
County Tax Assessor-Collector,0585,934,304,1238,2403,51.52%,31,1188,7,1204
County Tax Assessor-Collector,0588,1308,1189,2495,4230,58.98%,1448,908,59,2415
County Tax Assessor-Collector,0587,933,485,1398,2174,84.31%,479,858,18,1355
County Tax Assessor-Collector,0588,1538,871,2407,3488,89.41%,1830,830,89,2329
County Tax Assessor-Collector,0589,1033,738,1771,3130,58.58%,883,778,51,1712
County Tax Assessor-Collector,0590,1158,483,1821,2138,75.89%,1250,285,37,1572
County Tax Assessor-Collector,0591,420,449,889,2114,41.11%,212,599,10,821
County Tax Assessor-Collector,0592,370,288,858,1258,52.31%,144,479,10,833
County Tax Assessor-Collector,0593,1148,999,2147,4059,52.89%,918,1087,50,2055
County Tax Assessor-Collector,0594,1031,535,1588,2381,88.33%,430,1075,24,1529
County Tax Assessor-Collector,0595,497,380,877,1847,53.25%,131,711,12,854
County Tax Assessor-Collector,0598,945,890,1835,2848,57.41%,808,728,49,1581
County Tax Assessor-Collector,0597,1087,719,1788,3287,54.87%,587,1118,27,1730
County Tax Assessor-Collector,0598,335,103,438,724,80.50%,328,84,9,419
County Tax Assessor-Collector,0599,1895,888,2781,4135,88.77%,899,1749,39,2887
County Tax Assessor-Collector,0800,1383,889,2252,3820,58.95%,748,1392,31,2189
County Tax Assessor-Collector,0801,2028,858,2888,3990,72.33%,2124,818,83,2805
County Tax Assessor-Collector,0802,582,298,858,1237,89.38%,578,238,23,835
County Tax Assessor-Collector,0803,1437,1183,2800,3917,88.38%,1503,981,88,2530
County Tax Assessor-Collector,0804,1444,528,1972,2910,87.77%,1571,298,49,1918
County Tax Assessor-Collector,0805,2227,889,3118,5251,59.34%,708,2253,48,3007
County Tax Assessor-Collector,0808,420,122,542,1053,51.47%,5,517,3,525
County Tax Assessor-Collector,0807,194,118,312,731,42.88%,18,278,2,298
County Tax Assessor-Collector,0808,245,290,535,1258,42.80%,195,302,11,508
County Tax Assessor-Collector,0809,1384,844,2208,3281,87.71%,1315,730,57,2102
County Tax Assessor-Collector,0810,403,398,801,1825,43.89%,335,410,21,788
County Tax Assessor-Collector,0811,1120,301,1421,2450,58.00%,38,1348,8,1390
County Tax Assessor-Collector,0812,1700,579,2279,3272,89.85%,1729,419,81,2209
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Sullivan,DEM Ann Harris Bennett,LIB Jesse Hopson,Totals
County Tax Assessor-Collector,0613,495,309,804,1450,55.45%,116,656,7,779
County Tax Assessor-Collector,0614,1631,812,2443,3932,62.13%,786,1523,48,2357
County Tax Assessor-Collector,0615,931,404,1335,1926,69.31%,765,489,40,1294
County Tax Assessor-Collector,0616,1352,970,2322,3378,68.74%,1559,624,56,2239
County Tax Assessor-Collector,0617,1318,849,2167,3546,61.11%,720,1312,58,2090
County Tax Assessor-Collector,0618,1920,1021,2941,5344,55.03%,1225,1557,58,2840
County Tax Assessor-Collector,0619,2133,857,2990,4266,70.09%,2161,642,92,2895
County Tax Assessor-Collector,0620,2382,856,3238,5271,61.43%,1522,1501,53,3076
County Tax Assessor-Collector,0621,397,203,600,1173,51.15%,278,274,24,576
County Tax Assessor-Collector,0622,1722,829,2551,4305,59.26%,1415,980,61,2456
County Tax Assessor-Collector,0623,1708,626,2334,3481,67.05%,1455,734,46,2235
County Tax Assessor-Collector,0624,9,0,9,16,56.25%,4,5,0,9
County Tax Assessor-Collector,0625,862,454,1316,1796,73.27%,735,474,30,1239
County Tax Assessor-Collector,0626,1148,655,1803,2838,63.53%,859,807,43,1709
County Tax Assessor-Collector,0627,795,647,1442,2964,48.65%,396,941,19,1356
County Tax Assessor-Collector,0628,292,456,748,1600,46.75%,299,403,15,717
County Tax Assessor-Collector,0629,175,127,302,629,48.01%,20,272,3,295
County Tax Assessor-Collector,0630,2018,535,2553,3190,80.03%,216,2239,27,2482
County Tax Assessor-Collector,0631,1489,392,1881,2733,68.83%,1312,458,38,1808
County Tax Assessor-Collector,0632,12,9,21,231,9.09%,4,14,0,18
County Tax Assessor-Collector,0633,1782,678,2460,3257,75.53%,1745,581,50,2376
County Tax Assessor-Collector,0634,1020,734,1754,2922,60.03%,1025,608,48,1681
County Tax Assessor-Collector,0635,1326,706,2032,3280,61.95%,1506,395,69,1970
County Tax Assessor-Collector,0636,1791,974,2765,3881,71.24%,2301,341,56,2698
County Tax Assessor-Collector,0637,739,509,1248,2471,50.51%,283,855,29,1167
County Tax Assessor-Collector,0638,740,684,1424,2078,68.53%,91,1264,14,1369
County Tax Assessor-Collector,0639,828,711,1539,2501,61.54%,1163,286,38,1487
County Tax Assessor-Collector,0640,1382,723,2105,3548,59.33%,1144,828,62,2034
County Tax Assessor-Collector,0641,1265,878,2143,3375,63.50%,1272,757,42,2071
County Tax Assessor-Collector,0642,871,447,1318,1779,74.09%,1067,195,15,1277
County Tax Assessor-Collector,0643,2157,994,3151,5310,59.34%,1159,1812,68,3039
County Tax Assessor-Collector,0644,2123,1204,3327,5261,63.24%,1997,1095,99,3191
County Tax Assessor-Collector,0645,1639,895,2534,4035,62.80%,1128,1237,63,2428
County Tax Assessor-Collector,0646,708,456,1164,2163,53.81%,327,773,13,1113
