Page,Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Beth Prykryl,Elizabeth Rhoden Harrell,Totals
1596,"New Caney I.S.D., Trustee, Position 7",0340,337,93,430,591,72.76%,132,81,213
1596,"New Caney I.S.D., Trustee, Position 7",Totals,337,93,430,591,,132,81,213
