Page,Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Ty Trout,Totals
1595,"New Caney I.S.D., Trustee, Position 6",0340,337,93,430,591,72.76%,164,164
1595,"New Caney I.S.D., Trustee, Position 6",Totals,337,93,430,591,,164,164
